model,month,epoch,train_loss_scaled,clean_loss_scaled,candidate_mean_loss_scaled,candidate_max_loss_scaled,argmax_counts
tcn_shuffled_mean_20260911,2025-12,2,0.19070690125226974,0.19069192558526993,0.19072188301519913,0.1947828863154758,"[0, 0, 0, 44, 18, 89, 31, 129, 70, 1156, 1279]"
tcn_shuffled_mean_20260911,2025-12,3,0.18468398262153973,0.1846269965171814,0.1847409734671766,0.19513301212679257,"[0, 0, 0, 29, 12, 57, 25, 109, 53, 1184, 1347]"
tcn_shuffled_mean_20260911,2025-12,4,0.18149225887927142,0.18141271580349316,0.18157179992307315,0.19461276924068277,"[0, 0, 0, 21, 7, 42, 13, 105, 43, 1208, 1377]"
tcn_shuffled_mean_20260911,2025-12,5,0.18000737780874426,0.17993399568579413,0.18008075857704336,0.19289677861061963,"[0, 0, 0, 24, 8, 45, 9, 94, 42, 1265, 1329]"
tcn_shuffled_mean_20260911,2025-12,6,0.17790681665593927,0.1778022044084289,0.17801142958077518,0.19140564040704208,"[0, 0, 0, 16, 8, 47, 11, 90, 44, 1205, 1395]"
tcn_shuffled_mean_20260911,2025-12,7,0.176952717656439,0.17685653337023474,0.17704890126531775,0.18995293907143854,"[0, 0, 0, 26, 12, 48, 13, 107, 52, 1194, 1364]"
tcn_shuffled_mean_20260911,2025-12,8,0.17669273709708994,0.17659800093282352,0.17678747800263492,0.18830869617787274,"[0, 0, 0, 31, 17, 68, 22, 124, 73, 1207, 1274]"
tcn_shuffled_mean_20260911,2025-12,9,0.17434614964506842,0.17424222759225153,0.17445007305253635,0.18566630645231766,"[0, 0, 0, 50, 20, 87, 42, 167, 92, 1170, 1188]"
tcn_shuffled_mean_20260911,2025-12,10,0.1739780313589356,0.1738817278634418,0.17407433214512738,0.18506041440096768,"[0, 0, 0, 61, 32, 124, 38, 187, 105, 1157, 1112]"
tcn_shuffled_max_20260911,2025-12,1,0.19465816427360882,0.1944592141292312,0.19445933198386972,0.19485710629008032,"[128, 0, 0, 87, 52, 141, 82, 174, 118, 984, 1050]"
tcn_shuffled_max_20260911,2025-12,2,0.1926461939107288,0.19206127930771222,0.19206982986493545,0.19323110986839642,"[0, 0, 0, 77, 48, 106, 81, 119, 128, 956, 1301]"
tcn_shuffled_max_20260911,2025-12,3,0.18808900429443878,0.1869893805547194,0.18699956753037192,0.1891886219382286,"[0, 0, 0, 81, 65, 111, 113, 177, 169, 951, 1149]"
tcn_shuffled_max_20260911,2025-12,4,0.18421699648553674,0.18281189758669247,0.18282578817822717,0.18562209809368307,"[0, 3, 0, 98, 90, 152, 113, 194, 156, 958, 1052]"
tcn_shuffled_max_20260911,2025-12,5,0.1822041002186862,0.18084493685852399,0.18086014823480087,0.18356326832012695,"[0, 3, 2, 90, 81, 139, 123, 200, 172, 943, 1063]"
tcn_shuffled_max_20260911,2025-12,6,0.1799082410606471,0.17855312607505106,0.17857294529676437,0.1812633526596156,"[0, 3, 1, 104, 92, 136, 118, 185, 172, 987, 1018]"
tcn_shuffled_max_20260911,2025-12,7,0.17891969125379215,0.17760225927287882,0.17761774361133575,0.18023712052540344,"[0, 0, 2, 98, 91, 135, 105, 174, 171, 972, 1068]"
tcn_shuffled_max_20260911,2025-12,8,0.17861729792573236,0.17737550288438797,0.17738773944703015,0.17985909093510022,"[0, 3, 0, 88, 68, 108, 89, 183, 181, 1047, 1049]"
tcn_shuffled_max_20260911,2025-12,9,0.17604688555002213,0.1748110977086154,0.17482957311651923,0.17728267271410336,"[0, 2, 2, 86, 71, 129, 107, 164, 162, 1012, 1081]"
tcn_shuffled_max_20260911,2025-12,10,0.1757858693599701,0.17447392710230566,0.17449396577748386,0.17709781297228552,"[0, 0, 0, 77, 70, 111, 101, 177, 178, 1056, 1046]"
