name,family,term,kind,stage,difference,low95,high95,p_centered,n_boot,p_holm_19,p_holm_35
tcn_training_main,tcn,training_main,factorial,cal,-0.03128853492160888,-0.041219610424960876,-0.021840149598582763,0.0005,1999,0.0095,0.0175
tcn_training_main,tcn,training_main,factorial,raw,-0.03121222642003968,-0.04183736121316262,-0.021964683491287853,0.0005,1999,,
tcn_financial_main,tcn,financial_main,factorial,cal,-0.016434520506245928,-0.02139991379284244,-0.012037375993094013,0.0005,1999,0.0095,0.0175
tcn_financial_main,tcn,financial_main,factorial,raw,-0.01564290834169553,-0.019707929977279763,-0.011440618790943666,0.0005,1999,,
tcn_interaction,tcn,interaction,factorial,cal,-0.03181539623554968,-0.039633245879314445,-0.024051364231897288,0.0005,1999,0.0095,0.0175
tcn_interaction,tcn,interaction,factorial,raw,-0.030496717071473903,-0.03771068297664776,-0.022854090542310336,0.0005,1999,,
tcn_max_minus_mean_tick,tcn,max_minus_mean_tick,factorial,cal,-0.04719623303938372,-0.058252500406261704,-0.03648665963003043,0.0005,1999,0.0095,0.0175
tcn_max_minus_mean_tick,tcn,max_minus_mean_tick,factorial,raw,-0.04646058495577663,-0.05803092121715609,-0.03562636367864535,0.0005,1999,,
tcn_max_minus_mean_shuffled,tcn,max_minus_mean_shuffled,factorial,cal,-0.015380836803834046,-0.02591785164023296,-0.005898888092848234,0.004,1999,0.0095,0.028
tcn_max_minus_mean_shuffled,tcn,max_minus_mean_shuffled,factorial,raw,-0.015963867884302728,-0.02664228506413192,-0.006694931976572745,0.0015,1999,,
tcn_tick_minus_shuffled_mean,tcn,tick_minus_shuffled_mean,factorial,cal,-0.0005268223884710896,-0.0026672384605523846,0.0013003384506095708,0.592,1999,0.592,1.0
tcn_tick_minus_shuffled_mean,tcn,tick_minus_shuffled_mean,factorial,raw,-0.00039454980595857636,-0.0018608435778736674,0.0008442035128106246,0.57,1999,,
tcn_tick_minus_shuffled_max,tcn,tick_minus_shuffled_max,factorial,cal,-0.032342218624020765,-0.041125996261388256,-0.024255344634176442,0.0005,1999,0.0095,0.0175
tcn_tick_minus_shuffled_max,tcn,tick_minus_shuffled_max,factorial,raw,-0.030891266877432478,-0.03858010332237196,-0.023076495780574243,0.0005,1999,,
gru_training_main,gru,training_main,factorial,cal,-0.03715040190684986,-0.04435663621846667,-0.030222099204943,0.0005,1999,0.0095,0.0175
gru_training_main,gru,training_main,factorial,raw,-0.04127008312456262,-0.05054947357537216,-0.0329243829130085,0.0005,1999,,
gru_financial_main,gru,financial_main,factorial,cal,-0.011952909593263256,-0.015201298634010622,-0.008858324408595145,0.0005,1999,0.0095,0.0175
gru_financial_main,gru,financial_main,factorial,raw,-0.01164257940598008,-0.014801896493475658,-0.008450284050914593,0.0005,1999,,
gru_interaction,gru,interaction,factorial,cal,-0.020955889104471315,-0.026438751056046067,-0.01562239241816517,0.0005,1999,0.0095,0.0175
gru_interaction,gru,interaction,factorial,raw,-0.019861753650914034,-0.025265025966412103,-0.014801443712142178,0.0005,1999,,
gru_max_minus_mean_tick,gru,max_minus_mean_tick,factorial,cal,-0.047628346459085515,-0.054917094959564094,-0.04008710176592861,0.0005,1999,0.0095,0.0175
gru_max_minus_mean_tick,gru,max_minus_mean_tick,factorial,raw,-0.05120095995001964,-0.06008251404033661,-0.0427531387095484,0.0005,1999,,
gru_max_minus_mean_shuffled,gru,max_minus_mean_shuffled,factorial,cal,-0.026672457354614192,-0.03447759264942323,-0.019406795000778767,0.0005,1999,0.0095,0.0175
gru_max_minus_mean_shuffled,gru,max_minus_mean_shuffled,factorial,raw,-0.03133920629910561,-0.04179910020116139,-0.022075619649424717,0.0005,1999,,
gru_tick_minus_shuffled_mean,gru,tick_minus_shuffled_mean,factorial,cal,-0.0014749650410275995,-0.0024271577403857394,-0.000700227568137107,0.0025,1999,0.0095,0.0225
gru_tick_minus_shuffled_mean,gru,tick_minus_shuffled_mean,factorial,raw,-0.0017117025805230618,-0.0029359480053366867,-0.0007424252146551012,0.003,1999,,
gru_tick_minus_shuffled_max,gru,tick_minus_shuffled_max,factorial,cal,-0.022430854145498915,-0.028423430879895076,-0.016730902204740904,0.0005,1999,0.0095,0.0175
gru_tick_minus_shuffled_max,gru,tick_minus_shuffled_max,factorial,raw,-0.021573456231437093,-0.02735484417830181,-0.015854018232556104,0.0005,1999,,
gru_minus_tcn_interaction,cross,interaction_difference,factorial,cal,0.010859507131078364,0.004550928590684355,0.016766791343338132,0.0015,1999,0.0095,0.0175
gru_minus_tcn_interaction,cross,interaction_difference,factorial,raw,0.01063496342055987,0.004670878608277013,0.01671010589590492,0.001,1999,,
tcn_tick_max_vs_clean,tcn,clean,utility,cal,-0.05208763295724637,-0.0640583276428741,-0.04059181497094017,0.0005,1999,0.0095,0.0175
tcn_tick_max_vs_clean,tcn,clean,utility,raw,-0.05660635470151175,-0.0687932530216169,-0.04440116232971972,0.0005,1999,,
tcn_tick_max_vs_qr,tcn,qr,utility,cal,-0.0821372944997095,-0.09970385880130639,-0.06302768295010026,0.0005,1999,0.0095,0.0175
tcn_tick_max_vs_qr,tcn,qr,utility,raw,-0.08446302211518178,-0.10401466873797932,-0.06300348129903562,0.0005,1999,,
gru_tick_max_vs_clean,gru,clean,utility,cal,-0.051493540136806105,-0.060095824069059445,-0.0429902967823287,0.0005,1999,0.0095,0.0175
gru_tick_max_vs_clean,gru,clean,utility,raw,-0.05588195181616013,-0.06639544013139174,-0.04611547144824526,0.0005,1999,,
gru_tick_max_vs_qr,gru,qr,utility,cal,-0.1032709508540952,-0.11827724006233242,-0.08694820456050008,0.0005,1999,0.0095,0.0175
gru_tick_max_vs_qr,gru,qr,utility,raw,-0.11174811703969578,-0.12866554019344886,-0.09404862255106626,0.0005,1999,,
