model,min_ncal,strictly_past
gru_shuffled_max_20260910,619,True
gru_shuffled_max_20260911,619,True
gru_shuffled_max_20260912,619,True
gru_shuffled_max_ensemble,619,True
gru_shuffled_mean_20260910,619,True
gru_shuffled_mean_20260911,619,True
gru_shuffled_mean_20260912,619,True
gru_shuffled_mean_ensemble,619,True
gru_tick_max_20260910,619,True
gru_tick_max_20260911,619,True
gru_tick_max_20260912,619,True
gru_tick_max_ensemble,619,True
gru_tick_mean_20260910,619,True
gru_tick_mean_20260911,619,True
gru_tick_mean_20260912,619,True
gru_tick_mean_ensemble,619,True
tcn_shuffled_max_20260910,619,True
tcn_shuffled_max_20260911,619,True
tcn_shuffled_max_20260912,619,True
tcn_shuffled_max_ensemble,619,True
tcn_shuffled_mean_20260910,619,True
tcn_shuffled_mean_20260911,619,True
tcn_shuffled_mean_20260912,619,True
tcn_shuffled_mean_ensemble,619,True
tcn_tick_max_20260910,619,True
tcn_tick_max_20260911,619,True
tcn_tick_max_20260912,619,True
tcn_tick_max_ensemble,619,True
tcn_tick_mean_20260910,619,True
tcn_tick_mean_20260911,619,True
tcn_tick_mean_20260912,619,True
tcn_tick_mean_ensemble,619,True
