checkpoint,family,max_error_bp
tcn_shuffled_max_20260911_2026-01.pt,tcn,3.814697265625e-06
tcn_shuffled_max_20260911_2026-02.pt,tcn,1.9073486328125e-06
tcn_shuffled_max_20260911_2026-03.pt,tcn,1.9073486328125e-06
tcn_shuffled_max_20260912_2025-12.pt,tcn,1.9073486328125e-06
tcn_shuffled_max_20260912_2026-01.pt,tcn,9.5367431640625e-07
tcn_shuffled_max_20260912_2026-02.pt,tcn,1.9073486328125e-06
tcn_shuffled_max_20260912_2026-03.pt,tcn,1.9073486328125e-06
tcn_shuffled_mean_20260910_2025-12.pt,tcn,1.9073486328125e-06
tcn_shuffled_mean_20260910_2026-01.pt,tcn,9.5367431640625e-07
tcn_shuffled_mean_20260910_2026-02.pt,tcn,1.9073486328125e-06
tcn_shuffled_mean_20260910_2026-03.pt,tcn,1.9073486328125e-06
tcn_shuffled_mean_20260911_2025-12.pt,tcn,1.9073486328125e-06
tcn_shuffled_mean_20260911_2026-01.pt,tcn,3.814697265625e-06
tcn_shuffled_mean_20260911_2026-02.pt,tcn,3.814697265625e-06
tcn_shuffled_mean_20260911_2026-03.pt,tcn,1.9073486328125e-06
tcn_shuffled_mean_20260912_2025-12.pt,tcn,1.9073486328125e-06
tcn_shuffled_mean_20260912_2026-01.pt,tcn,9.5367431640625e-07
tcn_shuffled_mean_20260912_2026-02.pt,tcn,1.9073486328125e-06
tcn_shuffled_mean_20260912_2026-03.pt,tcn,1.9073486328125e-06
tcn_tick_max_20260910_2025-12.pt,tcn,1.9073486328125e-06
tcn_tick_max_20260910_2026-01.pt,tcn,9.5367431640625e-07
tcn_tick_max_20260910_2026-02.pt,tcn,1.9073486328125e-06
tcn_tick_max_20260910_2026-03.pt,tcn,1.9073486328125e-06
tcn_tick_max_20260911_2025-12.pt,tcn,1.9073486328125e-06
tcn_tick_max_20260911_2026-01.pt,tcn,3.814697265625e-06
tcn_tick_max_20260911_2026-02.pt,tcn,1.9073486328125e-06
tcn_tick_max_20260911_2026-03.pt,tcn,1.9073486328125e-06
tcn_tick_max_20260912_2025-12.pt,tcn,1.9073486328125e-06
tcn_tick_max_20260912_2026-01.pt,tcn,9.5367431640625e-07
tcn_tick_max_20260912_2026-02.pt,tcn,1.9073486328125e-06
tcn_tick_max_20260912_2026-03.pt,tcn,1.9073486328125e-06
tcn_tick_mean_20260910_2025-12.pt,tcn,1.9073486328125e-06
tcn_tick_mean_20260910_2026-01.pt,tcn,9.5367431640625e-07
tcn_tick_mean_20260910_2026-02.pt,tcn,1.9073486328125e-06
tcn_tick_mean_20260910_2026-03.pt,tcn,1.9073486328125e-06
tcn_tick_mean_20260911_2025-12.pt,tcn,1.9073486328125e-06
tcn_tick_mean_20260911_2026-01.pt,tcn,1.9073486328125e-06
tcn_tick_mean_20260911_2026-02.pt,tcn,1.9073486328125e-06
tcn_tick_mean_20260911_2026-03.pt,tcn,1.9073486328125e-06
tcn_tick_mean_20260912_2025-12.pt,tcn,1.9073486328125e-06
tcn_tick_mean_20260912_2026-01.pt,tcn,1.9073486328125e-06
tcn_tick_mean_20260912_2026-02.pt,tcn,1.9073486328125e-06
tcn_tick_mean_20260912_2026-03.pt,tcn,2.86102294921875e-06
