model,month,n,clean_tail,clean_q10,coverage80,width80,worst_tail_h1,sensitivity_h1,worst_tail_h6,sensitivity_h6,worst_tail_h24,sensitivity_h24,stress_excess
linear_clean_20260910_raw,2026-01,699,1.3997536209976427,1.341818961526842,0.8097281831187411,21.36312066673039,1.5726341089326032,2.7271299805593423,1.7295906561246859,4.875885337207451,1.7662450936668812,5.720434920811687,0.17288048793496072
linear_clean_20260910_raw,2026-02,672,1.860518634248808,1.8374008570952474,0.7604166666666666,26.242423901245708,2.065915136075131,3.023821315595082,2.2856338154538225,6.186775806404295,2.343848330416892,7.579005604698544,0.20539650182632316
linear_clean_20260910_raw,2026-03,443,1.8445178405097475,1.81788834996194,0.7832957110609481,27.182642260738742,2.005441167705592,2.6681954898360623,2.1879101087375994,5.371925334629033,2.279879667512974,7.122402105051561,0.16092332719584393
linear_clean_20260910_cal,2026-01,699,1.4122382375592186,1.3566245062583784,0.8397711015736766,22.606309831599532,1.5758784953940546,2.7271299805593423,1.7246941115088155,4.875885337207451,1.761246123149582,5.720434920811687,0.16364025783483563
linear_clean_20260910_cal,2026-02,672,1.8513759002430508,1.8414178499787384,0.7857142857142857,27.095759216130286,2.0541597751275296,3.023821315595082,2.269639975126929,6.186775806404295,2.33965210981649,7.579005604698544,0.20278387488447874
linear_clean_20260910_cal,2026-03,443,1.8599315241050935,1.8189799397703341,0.7923250564334086,28.747027772170878,2.0178764806709317,2.6681954898360623,2.184224051466348,5.371925334629033,2.2830033040598483,7.122402105051561,0.15794495656583826
linear_clean_20260911_raw,2026-01,699,1.4028319559747284,1.350414320354313,0.8426323319027181,22.723064833103503,1.5766170701405307,3.043880341902311,1.7247707817413083,5.338530613458548,1.7505191292540658,5.8959580334129935,0.1737851141658022
linear_clean_20260911_raw,2026-02,672,1.9774565515780573,1.965408155885625,0.7767857142857143,28.230089029563324,2.1494050550502672,3.1167371911661967,2.3136523300443534,5.878761798143387,2.374934828688046,7.428462736663365,0.17194850347221013
linear_clean_20260911_raw,2026-03,443,1.8447434783134304,1.8328276712378104,0.801354401805869,28.782909352408037,2.060873154723797,3.6907337782883483,2.242284590868933,7.237395163852528,2.231475810469025,6.782053936684912,0.2161296764103663
linear_clean_20260911_cal,2026-01,699,1.403918448484628,1.349644946170327,0.8240343347639485,22.28796943769362,1.5811643614356268,3.043880341902311,1.7347090366957525,5.338530613458548,1.7585692059594447,5.8959580334129935,0.17724591295099884
linear_clean_20260911_cal,2026-02,672,1.8954106834174829,1.860624519800493,0.78125,27.8447152793883,2.079721054988451,3.1167371911661967,2.2468534237423943,5.878761798143387,2.3228854638855703,7.428462736663365,0.184310371570968
linear_clean_20260911_cal,2026-03,443,1.9235655400979326,1.9355860728227807,0.7765237020316027,28.425025457423107,2.150247815714763,3.6907337782883483,2.3165271955076348,7.237395163852528,2.330729079360923,6.782053936684912,0.22668227561683063
linear_clean_20260912_raw,2026-01,699,1.403477832315068,1.342809188363066,0.8054363376251789,20.793391024776454,1.5702387764307222,2.580337598088473,1.7554945008106297,4.697300735631896,1.8288798172329641,5.916852835762995,0.1667609441156542
linear_clean_20260912_raw,2026-02,672,1.8428981240138698,1.8514218216145746,0.7901785714285714,27.795216564621246,2.0824679468871063,3.708256169444039,2.247796985937188,6.441320879118783,2.309398022682128,7.75488034884135,0.23956982287323672
linear_clean_20260912_raw,2026-03,443,1.8305699443583017,1.8015048262497158,0.8126410835214447,28.95516617949337,2.070758110359192,3.974507280181816,2.2804293103716318,7.2371091562792085,2.3336774816333783,8.533394634858212,0.24018816600089074
linear_clean_20260912_cal,2026-01,699,1.4052962988312343,1.342857116424522,0.7725321888412017,19.46814520463369,1.5840592754589347,2.580337598088473,1.7909923528770777,4.697300735631896,1.8641314408096443,5.916852835762995,0.1787629766277003
linear_clean_20260912_cal,2026-02,672,1.8438073546435014,1.8520978565738178,0.8050595238095238,28.278512865442806,2.074775807506305,3.708256169444039,2.236251900687246,6.441320879118783,2.307198535010276,7.75488034884135,0.23096845286280376
linear_clean_20260912_cal,2026-03,443,1.833222696811527,1.7962877844147016,0.8036117381489842,28.514574489670355,2.0763417841116634,3.974507280181816,2.2884611972435347,7.2371091562792085,2.3441716261256618,8.533394634858212,0.24311908730013632
linear_clean_ensemble_raw,2026-01,699,1.3946494626518666,1.3387770184936059,0.8226037195994278,21.626525508203446,1.5643238498310508,2.7797447731225446,1.7246533983306163,4.970572228765965,1.767043497476918,5.844415263329226,0.16967438717918448
linear_clean_ensemble_raw,2026-02,672,1.874375410715533,1.8641101561259887,0.7752976190476191,27.422576498476754,2.0776926266892266,3.2290339663861287,2.2583892604150706,6.168199533980991,2.3169867602442045,7.587449563401086,0.20331721597369376
linear_clean_ensemble_raw,2026-03,443,1.8296901477467367,1.798890666133272,0.801354401805869,28.306905930880053,2.027231374597964,3.426531848376456,2.2222912556448415,6.614872058412022,2.2522372698584934,7.467993989575617,0.19754122685122738
linear_clean_ensemble_cal,2026-01,699,1.397614271932586,1.3407508317965235,0.8125894134477826,21.26393512219037,1.5731434121987724,2.7797447731225438,1.7393367931232968,4.970572228765965,1.7795223102080882,5.844415263329225,0.17552914026618655
linear_clean_ensemble_cal,2026-02,672,1.8494658221249196,1.839453490999343,0.7901785714285714,27.59650934060347,2.0545225243886596,3.2290339663861287,2.2321652354253834,6.168199533980991,2.301774924165718,7.587449563401086,0.2050567022637399
