method,sample,h,q,term,n,effect,coefficient,replicate,block_days,refit_first_stage
sequential_ols,all,6,0.1,e_origin,576,0.41977990147766897,0.044124953039527355,137,3,False
sequential_ols,all,6,0.1,downside,576,2.5821954320196694,109655.44309940348,137,3,False
sequential_ols,all,6,0.1,btc_vol,576,-3.2715832147764345,-1445.180612312756,137,3,False
sequential_ols,all,6,0.1,btc_ret,576,-0.6859422648380633,-126.8371909297997,137,3,False
sequential_ols,all,6,0.1,account_ls,576,0.17854306490183905,0.3106694037863561,137,3,False
sequential_ols,all,6,0.5,e_origin,576,1.588905140482337,0.1670169640357982,137,3,False
sequential_ols,all,6,0.5,downside,576,-0.35664035331291744,-15145.079835830906,137,3,False
sequential_ols,all,6,0.5,btc_vol,576,0.5494156189191186,242.6974184784667,137,3,False
sequential_ols,all,6,0.5,btc_ret,576,-0.5240023505163681,-96.89297421525549,137,3,False
sequential_ols,all,6,0.5,account_ls,576,-0.2698079938290187,-0.46947266546442434,137,3,False
sequential_ols,matched,1,0.1,e_origin,228,1.5951159601245282,0.1681402763706218,137,3,False
sequential_ols,matched,1,0.1,downside,228,0.5967529326845761,26411.722489454474,137,3,False
sequential_ols,matched,1,0.1,btc_vol,228,-3.0119968343060792,-1368.6974723277717,137,3,False
sequential_ols,matched,1,0.1,btc_ret,228,-0.4247633368083665,-67.23907269519472,137,3,False
sequential_ols,matched,1,0.1,account_ls,228,0.173791039180184,0.29277972066056995,137,3,False
sequential_ols,matched,6,0.1,e_origin,228,1.9514666561325373,0.20570300284912338,137,3,False
sequential_ols,matched,6,0.1,downside,228,0.8960538047051938,39658.49705845125,137,3,False
sequential_ols,matched,6,0.1,btc_vol,228,-1.5007632485242606,-681.9697953934948,137,3,False
sequential_ols,matched,6,0.1,btc_ret,228,-1.6924908751228587,-267.91746633180253,137,3,False
sequential_ols,matched,6,0.1,account_ls,228,-0.1306126206968014,-0.22003854043767512,137,3,False
sequential_ols,matched,12,0.1,e_origin,228,0.3155080827886483,0.03325752958619187,137,3,False
sequential_ols,matched,12,0.1,downside,228,1.7699418523820187,78335.95859728086,137,3,False
sequential_ols,matched,12,0.1,btc_vol,228,-2.141378531482742,-973.0751871831304,137,3,False
sequential_ols,matched,12,0.1,btc_ret,228,2.196463658750868,347.69521478199766,137,3,False
sequential_ols,matched,12,0.1,account_ls,228,2.365004929641755,3.9842415692300874,137,3,False
pca_1,all,6,0.1,e_origin,576,0.4323834953589069,0.045877209568739814,137,3,False
pca_1,all,6,0.1,downside,576,2.6370435250012063,111984.62076909812,137,3,False
pca_1,all,6,0.1,btc_vol,576,-3.310366850079801,-1462.3127939312094,137,3,False
pca_1,all,6,0.1,btc_ret,576,-0.6650070941999314,-122.96608052956283,137,3,False
pca_1,all,6,0.1,account_ls,576,0.11333137908587942,0.1971994375152737,137,3,False
pca_1,all,6,0.5,e_origin,576,1.5683750343384109,0.16640938172951605,137,3,False
pca_1,all,6,0.5,downside,576,-0.3763864240775847,-15983.61595603394,137,3,False
pca_1,all,6,0.5,btc_vol,576,0.5890776900147933,260.2176380262235,137,3,False
pca_1,all,6,0.5,btc_ret,576,-0.5223645345456597,-96.59012660309725,137,3,False
pca_1,all,6,0.5,account_ls,576,-0.26086592178163104,-0.4539132361855336,137,3,False
pca_1,matched,1,0.1,e_origin,228,1.604670161158419,0.17074279803352663,137,3,False
pca_1,matched,1,0.1,downside,228,0.6487936178868631,28714.99417936567,137,3,False
pca_1,matched,1,0.1,btc_vol,228,-3.003506545725826,-1364.8393552186271,137,3,False
pca_1,matched,1,0.1,btc_ret,228,-0.5914072903010159,-93.6184325224815,137,3,False
pca_1,matched,1,0.1,account_ls,228,0.23472171459085234,0.39542751084899186,137,3,False
pca_1,matched,6,0.1,e_origin,228,1.2977663513617075,0.13808710561757814,137,3,False
pca_1,matched,6,0.1,downside,228,0.1826334125863338,8083.182748398692,137,3,False
pca_1,matched,6,0.1,btc_vol,228,-0.6774023617536689,-307.8220035695069,137,3,False
pca_1,matched,6,0.1,btc_ret,228,-1.41693054685446,-224.29689144044897,137,3,False
pca_1,matched,6,0.1,account_ls,228,0.0914506759297626,0.15406377382424405,137,3,False
pca_1,matched,12,0.1,e_origin,228,0.28404117117150285,0.03022302370696003,137,3,False
pca_1,matched,12,0.1,downside,228,1.7652794821820996,78129.60648551259,137,3,False
pca_1,matched,12,0.1,btc_vol,228,-2.1129464450816178,-960.1552118541429,137,3,False
pca_1,matched,12,0.1,btc_ret,228,2.183257866719784,345.60476785913556,137,3,False
pca_1,matched,12,0.1,account_ls,228,2.308559551283185,3.8891500030229933,137,3,False
pca_2,all,6,0.1,e_origin,576,0.9338811551558781,0.1388756175782417,137,3,False
pca_2,all,6,0.1,downside,576,1.3729597568373828,58304.07281601359,137,3,False
pca_2,all,6,0.1,btc_vol,576,-1.2755614556211232,-563.4631811139966,137,3,False
pca_2,all,6,0.1,btc_ret,576,-0.4007066327126501,-74.09443372352939,137,3,False
pca_2,all,6,0.1,account_ls,576,0.8294272688534308,1.4432242173086323,137,3,False
pca_2,all,6,0.5,e_origin,576,0.679574647821898,0.1010582003777873,137,3,False
pca_2,all,6,0.5,downside,576,-1.138985022112257,-48368.10790328749,137,3,False
pca_2,all,6,0.5,btc_vol,576,1.4289053180672873,631.2008978327486,137,3,False
pca_2,all,6,0.5,btc_ret,576,-0.35193275552562514,-65.07568405570166,137,3,False
pca_2,all,6,0.5,account_ls,576,0.7001649794816204,1.2183045969734594,137,3,False
pca_2,matched,1,0.1,e_origin,228,2.5842353876370616,0.3786404119445613,137,3,False
pca_2,matched,1,0.1,downside,228,-2.696640974522348,-119350.78852879711,137,3,False
pca_2,matched,1,0.1,btc_vol,228,2.435184009432911,1106.5848942473128,137,3,False
pca_2,matched,1,0.1,btc_ret,228,-0.3654976768862428,-57.857453166129304,137,3,False
pca_2,matched,1,0.1,account_ls,228,1.769298118725197,2.9806750187422795,137,3,False
pca_2,matched,6,0.1,e_origin,228,1.1526836450212905,0.16889042394535797,137,3,False
pca_2,matched,6,0.1,downside,228,1.6357286860438978,72395.8103221703,137,3,False
pca_2,matched,6,0.1,btc_vol,228,-2.078186936378492,-944.3599589642827,137,3,False
pca_2,matched,6,0.1,btc_ret,228,0.5739305192666072,90.8518993115654,137,3,False
pca_2,matched,6,0.1,account_ls,228,1.578198302013,2.6587358024327727,137,3,False
pca_2,matched,12,0.1,e_origin,228,0.9632190134935283,0.14113019495314064,137,3,False
pca_2,matched,12,0.1,downside,228,5.797897666371555,256609.48744327662,137,3,False
pca_2,matched,12,0.1,btc_vol,228,-5.728101474344415,-2602.9370017510046,137,3,False
pca_2,matched,12,0.1,btc_ret,228,0.18326416104943113,29.010300982699736,137,3,False
pca_2,matched,12,0.1,account_ls,228,-0.18500490820900203,-0.3116713358857807,137,3,False
ae_selected,all,6,0.1,e_origin,576,2.306268524385067,0.26774217495991903,137,3,False
ae_selected,all,6,0.1,downside,576,1.1453296073392298,48637.53689216982,137,3,False
ae_selected,all,6,0.1,btc_vol,576,-0.6374793231757374,-281.5984488619493,137,3,False
ae_selected,all,6,0.1,btc_ret,576,0.04202401198739395,7.7706359635670355,137,3,False
ae_selected,all,6,0.1,account_ls,576,-2.1431033433884705,-3.7290534824698454,137,3,False
ae_selected,all,6,0.5,e_origin,576,2.622867725051671,0.30449720052644547,137,3,False
ae_selected,all,6,0.5,downside,576,-0.825907995248168,-35072.98713925849,137,3,False
ae_selected,all,6,0.5,btc_vol,576,0.9893353808709691,437.0264234918704,137,3,False
ae_selected,all,6,0.5,btc_ret,576,-0.027704998179035302,-5.122915329577544,137,3,False
ae_selected,all,6,0.5,account_ls,576,-1.2579857554573548,-2.188926715437154,137,3,False
ae_selected,matched,1,0.1,e_origin,228,4.190945774998561,0.48996976461026015,137,3,False
ae_selected,matched,1,0.1,downside,228,-0.16275345970807598,-7203.314766582657,137,3,False
ae_selected,matched,1,0.1,btc_vol,228,-1.3300853138152728,-604.4111289441871,137,3,False
ae_selected,matched,1,0.1,btc_ret,228,-0.6006029362840511,-95.0740824224434,137,3,False
ae_selected,matched,1,0.1,account_ls,228,-0.7253310169723401,-1.221939943148823,137,3,False
ae_selected,matched,6,0.1,e_origin,228,3.0617316087054283,0.35795164055008727,137,3,False
ae_selected,matched,6,0.1,downside,228,1.3589765777251912,60147.02278726483,137,3,False
ae_selected,matched,6,0.1,btc_vol,228,-1.0043127714653206,-456.37509843126094,137,3,False
ae_selected,matched,6,0.1,btc_ret,228,-0.5554762266741642,-87.93062665539574,137,3,False
ae_selected,matched,6,0.1,account_ls,228,-1.0465526483961098,-1.7630908561189509,137,3,False
ae_selected,matched,12,0.1,e_origin,228,2.5056608057315346,0.29294056785496264,137,3,False
ae_selected,matched,12,0.1,downside,228,3.594829144728834,159103.75059315556,137,3,False
ae_selected,matched,12,0.1,btc_vol,228,-3.0991710062445703,-1408.310750610638,137,3,False
ae_selected,matched,12,0.1,btc_ret,228,0.8000430168287925,126.64499476823609,137,3,False
ae_selected,matched,12,0.1,account_ls,228,-1.892232804839479,-3.18777880976523,137,3,False
joint_ols,all,6,0.1,e_origin,576,0.4284823866651595,0.045040278351874574,137,3,False
joint_ols,all,6,0.1,downside,576,2.6156563330170743,111076.39283848107,137,3,False
joint_ols,all,6,0.1,btc_vol,576,-3.3056133119990276,-1460.2129784525152,137,3,False
joint_ols,all,6,0.1,btc_ret,576,-0.6832305606640404,-126.33577126564347,137,3,False
joint_ols,all,6,0.1,account_ls,576,0.16355415361244766,0.284588322808823,137,3,False
joint_ols,all,6,0.5,e_origin,576,1.5734733602847188,0.16539694590028683,137,3,False
joint_ols,all,6,0.5,downside,576,-0.3576830459221147,-15189.35879266748,137,3,False
joint_ols,all,6,0.5,btc_vol,576,0.5487929390317213,242.42235749365688,137,3,False
joint_ols,all,6,0.5,btc_ret,576,-0.524807452262632,-97.04184511757975,137,3,False
joint_ols,all,6,0.5,account_ls,576,-0.24280773036391634,-0.42249153092755726,137,3,False
joint_ols,matched,1,0.1,e_origin,228,1.594443296251343,0.16806801409380473,137,3,False
joint_ols,matched,1,0.1,downside,228,0.5879661404914089,26022.827346644845,137,3,False
joint_ols,matched,1,0.1,btc_vol,228,-2.995161416700214,-1361.0472008333666,137,3,False
joint_ols,matched,1,0.1,btc_ret,228,-0.43273072519823663,-68.50029220430461,137,3,False
joint_ols,matched,1,0.1,account_ls,228,0.19584605201713662,0.3299350338920737,137,3,False
joint_ols,matched,6,0.1,e_origin,228,1.9640954236689114,0.20703252233733108,137,3,False
joint_ols,matched,6,0.1,downside,228,0.9287858617691666,41107.187061185745,137,3,False
joint_ols,matched,6,0.1,btc_vol,228,-1.5360486756765492,-698.0040336779682,137,3,False
joint_ols,matched,6,0.1,btc_ret,228,-1.6996736978341904,-269.0544908736872,137,3,False
joint_ols,matched,6,0.1,account_ls,228,-0.13315931406021778,-0.22432886619363152,137,3,False
joint_ols,matched,12,0.1,e_origin,228,0.29576922855596516,0.03117661630885723,137,3,False
joint_ols,matched,12,0.1,downside,228,1.7558787006868946,77713.53675474749,137,3,False
joint_ols,matched,12,0.1,btc_vol,228,-2.123099977381767,-964.7691323722945,137,3,False
joint_ols,matched,12,0.1,btc_ret,228,2.1995422115445606,348.182542705934,137,3,False
joint_ols,matched,12,0.1,account_ls,228,2.391216224682392,4.02839882656827,137,3,False
