month,method,candidate_id,member_prediction_sd_bp,member_rmses_bp
2025-08,ae_relu_1,f05,0.00020055532543773527,"[7.840560605036562, 7.840542360277884, 7.840674298809778]"
2025-08,ae_relu_2,f06,1.8676168735270202,"[7.4546893035890545, 8.2003758545594, 6.740733990481506]"
2025-08,ae_tanh_1,f08,0.33161993720562655,"[9.16639735155645, 8.87654231369993, 8.813067572715317]"
2025-08,ae_tanh_2,f10,0.07869075407922564,"[8.958316345014335, 8.959483586959601, 8.905434997026445]"
2025-08,ae_selected,f05,0.00020055532543773527,"[7.840560605036562, 7.840542360277884, 7.840674298809778]"
2025-08,ae_reconstruction_selected,f05,0.00020055532543773527,"[7.840560605036562, 7.840542360277884, 7.840674298809778]"
2025-09,ae_relu_1,f05,0.05531445603601674,"[6.399787508111556, 6.616000553758831, 6.446698846007718]"
2025-09,ae_relu_2,f06,1.9827840644712782,"[6.136849464083153, 6.109736575362376, 6.423221265009579]"
2025-09,ae_tanh_1,f08,0.3574695607959099,"[11.542727044296756, 10.845434058621606, 11.289806004304456]"
2025-09,ae_tanh_2,f10,0.21335041213708875,"[9.901826405257257, 9.892380072650397, 10.013491566882632]"
2025-09,ae_selected,f05,0.05531445603601674,"[6.399787508111556, 6.616000553758831, 6.446698846007718]"
2025-09,ae_reconstruction_selected,f05,0.05531445603601674,"[6.399787508111556, 6.616000553758831, 6.446698846007718]"
2025-10,ae_relu_1,f05,63.27328903943729,"[27.977617691366873, 185.89308092338052, 187.10044269709192]"
2025-10,ae_relu_2,f06,64.33726579273642,"[192.76812795523486, 185.08374248410226, 31.05520409720532]"
2025-10,ae_tanh_1,f08,3.5748096287829503,"[148.87243424886645, 147.9134455832867, 142.07253517378228]"
2025-10,ae_tanh_2,f10,1.3104467759575256,"[151.3102802280222, 148.78446506122398, 150.10536233312973]"
2025-10,ae_selected,f05,63.27328903943729,"[27.977617691366873, 185.89308092338052, 187.10044269709192]"
2025-10,ae_reconstruction_selected,f05,63.27328903943729,"[27.977617691366873, 185.89308092338052, 187.10044269709192]"
2025-11,ae_relu_1,f05,0.006427345064705181,"[9.654190043664086, 9.656640220244354, 9.654908263376472]"
2025-11,ae_relu_2,f06,0.7674533389198667,"[10.134467820327092, 9.685451487247134, 9.693084960372552]"
2025-11,ae_tanh_1,f08,0.6387454168936358,"[11.95808765746022, 11.852974022142769, 11.73481184740255]"
2025-11,ae_tanh_2,f10,0.4964614964019316,"[13.224358921038023, 13.06729387919974, 13.365325982363466]"
2025-11,ae_selected,f05,0.006427345064705181,"[9.654190043664086, 9.656640220244354, 9.654908263376472]"
2025-11,ae_reconstruction_selected,f05,0.006427345064705181,"[9.654190043664086, 9.656640220244354, 9.654908263376472]"
2025-12,ae_relu_1,f05,0.0014934128843797348,"[12.599378151522425, 12.59605052041679, 12.597770233268545]"
2025-12,ae_relu_2,f06,2.91936413874106,"[8.421175086907535, 12.620915945000906, 12.493788807479637]"
2025-12,ae_tanh_1,f08,0.4935074087291992,"[11.21288048268351, 12.080601409190626, 12.016590009997213]"
2025-12,ae_tanh_2,f10,0.4111215229641681,"[11.602658454461864, 12.031047137198177, 11.970102445979624]"
2025-12,ae_selected,f05,0.0014934128843797348,"[12.599378151522425, 12.59605052041679, 12.597770233268545]"
2025-12,ae_reconstruction_selected,f05,0.0014934128843797348,"[12.599378151522425, 12.59605052041679, 12.597770233268545]"
2026-01,ae_relu_1,f05,0.0029983300646406886,"[8.407349508470316, 8.407280228995349, 8.405055744025697]"
2026-01,ae_relu_2,f06,5.236605620919551,"[7.083446991256098, 10.613576243320082, 8.218953214637724]"
2026-01,ae_tanh_1,f08,0.418386111309927,"[9.607148617292097, 9.713425071995786, 9.961922319291917]"
2026-01,ae_tanh_2,f10,0.44069151842958454,"[10.533666573558133, 10.67884330430796, 10.592169582079508]"
2026-01,ae_selected,f05,0.0029983300646406886,"[8.407349508470316, 8.407280228995349, 8.405055744025697]"
2026-01,ae_reconstruction_selected,f05,0.0029983300646406886,"[8.407349508470316, 8.407280228995349, 8.405055744025697]"
2026-02,ae_relu_1,f05,0.021706382066172567,"[10.362251032350823, 10.397512283042607, 10.364874572652793]"
2026-02,ae_relu_2,f06,10.19451332499956,"[6.849449169471712, 18.27112737636196, 10.689947719491755]"
2026-02,ae_tanh_1,f08,0.8256166858832484,"[11.050998763794755, 10.542689532459239, 10.365283734355575]"
2026-02,ae_tanh_2,f11,0.04661864890028495,"[11.937272870785618, 11.947746485287444, 11.918310891139821]"
2026-02,ae_selected,f06,10.19451332499956,"[6.849449169471712, 18.27112737636196, 10.689947719491755]"
2026-02,ae_reconstruction_selected,f06,10.19451332499956,"[6.849449169471712, 18.27112737636196, 10.689947719491755]"
2026-03,ae_relu_1,f05,0.06106145888352947,"[11.390706785349726, 11.365182615302063, 11.392001694153047]"
2026-03,ae_relu_2,f06,8.284864349043241,"[9.8082423555103, 16.7288111782769, 8.283822135814791]"
2026-03,ae_tanh_1,f08,0.8997294885513821,"[14.40039671763708, 14.472733356113936, 14.253253510627523]"
2026-03,ae_tanh_2,f10,0.7730849133444607,"[16.489597699966705, 15.706519964520485, 14.847496664535386]"
2026-03,ae_selected,f06,8.284864349043241,"[9.8082423555103, 16.7288111782769, 8.283822135814791]"
2026-03,ae_reconstruction_selected,f06,8.284864349043241,"[9.8082423555103, 16.7288111782769, 8.283822135814791]"
