h,n,min_hours,median_hours,max_hours,exact_h_hours,shock_to_outcome_median
1,714,1.0,1.0,94.0,515,22.0
2,713,2.0,22.0,95.0,315,23.0
3,712,3.0,23.0,96.0,115,24.0
6,709,26.0,48.0,120.0,0,49.0
12,703,72.0,120.0,168.0,0,122.0
