variable,stat,submitted,recomputed,matches_rounding
RESIDUAL_FINAL,N,715,715.0,True
RESIDUAL_FINAL,mean,-0.00,-4.3248699105286096e-14,True
RESIDUAL_FINAL,std,9.43,9.426536867851176,True
RESIDUAL_FINAL,min,-54.10,-54.101931512905,True
RESIDUAL_FINAL,q25,-5.26,-5.25732816893,True
RESIDUAL_FINAL,median,0.89,0.889086145428719,True
RESIDUAL_FINAL,q75,6.22,6.222176129148,True
RESIDUAL_FINAL,max,22.73,22.733168853918,True
RESIDUAL_FINAL,skew,-0.86,-0.8599721305840943,True
RESIDUAL_FINAL,excess_kurtosis,2.43,2.4278076904996992,True
USDT_KP,N,715,715.0,True
USDT_KP,mean,1.035,1.0346638707536622,True
USDT_KP,std,1.767,1.7665648034530925,True
USDT_KP,min,-2.27,-2.27036737579577,True
USDT_KP,q25,-0.00,-0.0028969757778329885,True
USDT_KP,median,0.965,0.9652623309396501,True
USDT_KP,q75,1.782,1.782151784674565,True
USDT_KP,max,8.12,8.120821226105178,True
USDT_KP,skew,1.10,1.0954965673273493,True
USDT_KP,excess_kurtosis,2.16,2.1588572203807517,True
MKT_KP_EQ,N,715,715.0,True
MKT_KP_EQ,mean,1.032,1.0320391147234182,True
MKT_KP_EQ,std,1.783,1.7832279364686108,True
MKT_KP_EQ,min,-2.27,-2.2695404110660298,True
MKT_KP_EQ,q25,-0.05,-0.049385874875965,True
MKT_KP_EQ,median,0.956,0.9561596345339001,True
MKT_KP_EQ,q75,1.796,1.7964280791177951,True
MKT_KP_EQ,max,8.24,8.2351867180049,True
MKT_KP_EQ,skew,1.04,1.0416963150867622,True
MKT_KP_EQ,excess_kurtosis,2.01,2.0091614151540678,True
BTC_DOWNSIDE_24,N,715,715.0,True
BTC_DOWNSIDE_24,mean,0.116,0.11591160321620304,True
BTC_DOWNSIDE_24,std,0.160,0.15996832627759636,True
BTC_DOWNSIDE_24,min,0.006,0.006142126863578137,True
BTC_DOWNSIDE_24,q25,0.034,0.03413022685625125,True
BTC_DOWNSIDE_24,median,0.072,0.07152076268816233,True
BTC_DOWNSIDE_24,q75,0.142,0.1420544646770635,True
BTC_DOWNSIDE_24,max,1.643,1.6430737040999999,True
BTC_DOWNSIDE_24,skew,4.90,4.894514736426965,False
BTC_DOWNSIDE_24,excess_kurtosis,35.05,35.04923591116602,True
