q,iterations,downside,loss
0.1,30,-7.478627276120089,0.11099619719447158
0.1,40,-6.864764321698174,0.11092673622314879
0.1,60,-6.778331622016601,0.11091248160513086
0.1,70,-6.778904666141134,0.11091204832051807
0.1,80,-6.779102840990139,0.11091189822412723
0.1,300,-6.77915223165273,0.11091183108723816
0.1,3000,-6.77915223165273,0.11091183108723816
0.5,30,-9.277212305358724,0.22946959379694798
0.5,40,-9.276949363384004,0.22946958005373835
0.5,60,-9.276944727077591,0.22946957992762165
0.5,70,-9.276944727077591,0.22946957992762165
0.5,80,-9.276944727077591,0.22946957992762165
0.5,300,-9.276944727077591,0.22946957992762165
0.5,3000,-9.276944727077591,0.22946957992762165
