month,n,non_integer_prices,min_positive_observed_price_change
2025-06,76,36,0.5
2025-07,88,41,0.5
2025-08,84,0,1.0
2025-09,84,0,1.0
2025-10,92,0,1.0
2025-11,57,0,1.0
2025-12,66,0,1.0
2026-01,60,0,1.0
2026-02,57,0,1.0
2026-03,51,0,1.0
