model,q,n,target,archived_algorithm,exact_lp,statsmodels_scaled,loss_original,loss_exact,relative_loss_gap,standardized
main,0.1,714,BTC_DOWNSIDE_24_lag1,-6.779102840990139,-6.779239390168971,-6.779230361527869,0.11091189822412723,0.11091178074091296,1.0592491932470693e-06,False
main,0.25,714,BTC_DOWNSIDE_24_lag1,-11.453036372741185,-11.462280478249369,-11.462254834047185,0.19292228307012407,0.1929221963506565,4.4950487398942585e-07,False
main,0.5,714,BTC_DOWNSIDE_24_lag1,-9.276944727077591,-9.276768245128245,-9.27676990989626,0.22946957992762165,0.22946953007111065,2.1726854537718054e-07,False
main,0.75,714,BTC_DOWNSIDE_24_lag1,-5.531163700313488,-5.537696607039925,-5.537634981276514,0.17846428120918761,0.17846424328512162,2.1250232151714954e-07,False
main,0.9,714,BTC_DOWNSIDE_24_lag1,-4.248639333181294,-4.248455254346618,-4.248456990786683,0.09616899334178741,0.09616889683039519,1.003561394652408e-06,False
M0,0.1,714,BTC_DOWNSIDE_24_lag1,-0.11502322907976355,-0.11502607599628273,-0.11502592281708222,117.57710663660424,117.57697005112797,1.1616686177440272e-06,True
M0,0.25,714,BTC_DOWNSIDE_24_lag1,-0.19419971795431967,-0.19448511396334542,-0.19448467884787468,204.5159306803763,204.51576154481145,8.270050364522774e-07,True
M0,0.5,714,BTC_DOWNSIDE_24_lag1,-0.1574026534393511,-0.1574026506146775,-0.15740267886146464,243.25938949057556,243.25938944071908,2.0495183328250732e-10,True
M1,0.1,714,BTC_DOWNSIDE_24_lag1,0.05551762914675906,0.058412566517088545,0.05841275201937891,113.78307639679397,113.78147332927684,1.4089002982942134e-05,True
M1,0.1,714,BTC_VOL_24_lag1,-0.26862887319576734,-0.26912920260528944,-0.2691295688300013,113.78307639679397,113.78147332927684,1.4089002982942134e-05,True
M1,0.25,714,BTC_DOWNSIDE_24_lag1,-0.027978975876509,-0.028870300398423927,-0.028870467310293083,200.68688254778084,200.68620256006267,3.388313244645502e-06,True
M1,0.25,714,BTC_VOL_24_lag1,-0.18435515247738174,-0.1826549599138689,-0.1826549697735107,200.68688254778084,200.68620256006267,3.388313244645502e-06,True
M1,0.5,714,BTC_DOWNSIDE_24_lag1,-0.14532240073313354,-0.1453193131942236,-0.14531929864324947,242.2125956174122,242.21259417182785,5.968246119536502e-09,True
M1,0.5,714,BTC_VOL_24_lag1,-0.04558287584405235,-0.04558702497837957,-0.04558709897652591,242.2125956174122,242.21259417182785,5.968246119536502e-09,True
M2,0.1,714,BTC_DOWNSIDE_24_lag1,0.1213529194532067,0.11734914271537623,0.11734917036613386,112.22426003133764,112.21680243048036,6.645707858132788e-05,True
M2,0.1,714,BTC_VOL_24_lag1,-0.27497369334838045,-0.2751691231670939,-0.2751689007821495,112.22426003133764,112.21680243048036,6.645707858132788e-05,True
M2,0.1,714,ACCOUNT_LS_lag1,-0.15681299933843929,-0.15052188613876058,-0.15052184906525473,112.22426003133764,112.21680243048036,6.645707858132788e-05,True
M2,0.25,714,BTC_DOWNSIDE_24_lag1,-0.019359228812449055,-0.019493985040343283,-0.019494814019012617,198.66595387042787,198.66462882691502,6.669750527210638e-06,True
M2,0.25,714,BTC_VOL_24_lag1,-0.12924922211008205,-0.1284609736119678,-0.12846005849945893,198.66595387042787,198.66462882691502,6.669750527210638e-06,True
M2,0.25,714,ACCOUNT_LS_lag1,-0.16014197585660897,-0.16012488791987736,-0.16012401520037325,198.66595387042787,198.66462882691502,6.669750527210638e-06,True
M2,0.5,714,BTC_DOWNSIDE_24_lag1,-0.08405333237498744,-0.08807233084201263,-0.0880720728800853,241.32865156514282,241.3280926282102,2.3160873090510847e-06,True
M2,0.5,714,BTC_VOL_24_lag1,-0.05155037371881263,-0.052973992086922876,-0.052973550303019784,241.32865156514282,241.3280926282102,2.3160873090510847e-06,True
M2,0.5,714,ACCOUNT_LS_lag1,-0.1058631901985469,-0.10167919028300133,-0.10167982464940978,241.32865156514282,241.3280926282102,2.3160873090510847e-06,True
LP_h1,0.1,713,BTC_DOWNSIDE_24_lag1,-12.385093907734145,-12.38050812589999,-12.380551597829024,0.1179959560766055,0.11799589417059861,5.246454322094252e-07,False
LP_h1,0.5,713,BTC_DOWNSIDE_24_lag1,-5.537029404095418,-5.534086298885708,-5.534092472611399,0.23710351934011434,0.23710329593804697,9.422140949677527e-07,False
LP_h1,0.9,713,BTC_DOWNSIDE_24_lag1,-3.2501283922001485,-3.2498621177297826,-3.249864213016256,0.09917486046616962,0.09917479062413598,7.0423172271461e-07,False
LP_h2,0.1,712,BTC_DOWNSIDE_24_lag1,-9.556650907828597,-9.584870257226694,-9.584858177474525,0.12124149597891426,0.12124118663534092,2.5514726631481466e-06,False
LP_h2,0.5,712,BTC_DOWNSIDE_24_lag1,-3.360020716052599,-3.8688541789417257,-3.8688505569251213,0.24121126142537275,0.2412100460272853,5.038754013142466e-06,False
LP_h2,0.9,712,BTC_DOWNSIDE_24_lag1,-2.6085885828346536,-2.2202654303299654,-2.2202417229820557,0.09962918773404193,0.09962589105240201,3.3090611337049936e-05,False
LP_h3,0.1,711,BTC_DOWNSIDE_24_lag1,-8.99656076376237,-8.989438969434632,-8.989419220467022,0.12119530997915867,0.12119511822285771,1.582211427209046e-06,False
LP_h3,0.5,711,BTC_DOWNSIDE_24_lag1,-1.357819771111818,-1.3552522297550462,-1.355276487020332,0.242799987392392,0.24279993799891061,2.0343284190538213e-07,False
LP_h3,0.9,711,BTC_DOWNSIDE_24_lag1,-1.6566008445770926,-1.70332705404698,-1.7033112191337916,0.10043570937597641,0.10043552576921161,1.8281057763136488e-06,False
LP_h6,0.1,708,BTC_DOWNSIDE_24_lag1,-19.300055429520906,-18.776475546213717,-18.77650596234588,0.11897343396992713,0.1189728938941248,4.539486135435311e-06,False
LP_h6,0.5,708,BTC_DOWNSIDE_24_lag1,-4.315319027982821,-4.31878406684622,-4.318734268900828,0.24539360526544232,0.2453935526059634,2.1459194154971328e-07,False
LP_h6,0.9,708,BTC_DOWNSIDE_24_lag1,-0.4377435070096408,-0.40711679723894717,-0.40710712444331615,0.10194858263337456,0.10194688210092327,1.6680573414751265e-05,False
LP_h12,0.1,702,BTC_DOWNSIDE_24_lag1,-32.283238496757214,-32.28340087076252,-32.28339934123242,0.11708341777329451,0.11708333723049591,6.879100007406436e-07,False
LP_h12,0.5,702,BTC_DOWNSIDE_24_lag1,-6.627564060439066,-6.625785135013159,-6.625781410148895,0.24021642840788682,0.24021633502387774,3.887496204946217e-07,False
LP_h12,0.9,702,BTC_DOWNSIDE_24_lag1,-4.468486257117091,-4.469000432813345,-4.468995927568311,0.09971473800199528,0.09971468931927754,4.882201214417847e-07,False
