table,label,stat,submitted,source,value,matches_printed_precision,file,column
5,PCA_q0.5,p,0.00,rerun_B300,0.0,True,robustness_kp_main_quantile.csv,p
5,PCA_M2,p,0.00,saved_v4,0.0,True,robustness_kp_mediation.csv,ch_p
5,PCA_M2,p,0.00,rerun_B300,0.0,True,robustness_kp_mediation.csv,ch_p
6,FULL,N,714,saved_v4,714.0,True,exp2_subsample_stability.csv,n
6,FULL,N,714,rerun_B300,714.0,True,exp2_subsample_stability.csv,n
6,FULL,beta,-6.78,saved_v4,-6.78,True,exp2_subsample_stability.csv,q10_dn
6,FULL,beta,-6.78,rerun_B300,-6.78,True,exp2_subsample_stability.csv,q10_dn
6,FULL,p,0.00,saved_v4,0.0,True,exp2_subsample_stability.csv,q10_p
6,FULL,p,0.00,rerun_B300,0.0,True,exp2_subsample_stability.csv,q10_p
6,FULL,leverage_p,0.01,saved_v4,0.01,True,exp2_subsample_stability.csv,M2_leverage_p
6,FULL,leverage_p,0.01,rerun_B300,0.0,False,exp2_subsample_stability.csv,M2_leverage_p
6,DROP_TOP1_DAY,N,711,saved_v4,711.0,True,exp2_subsample_stability.csv,n
6,DROP_TOP1_DAY,N,711,rerun_B300,711.0,True,exp2_subsample_stability.csv,n
6,DROP_TOP1_DAY,beta,-6.79,saved_v4,-6.79,True,exp2_subsample_stability.csv,q10_dn
6,DROP_TOP1_DAY,beta,-6.79,rerun_B300,-6.79,True,exp2_subsample_stability.csv,q10_dn
6,DROP_TOP1_DAY,p,0.00,saved_v4,0.0,True,exp2_subsample_stability.csv,q10_p
6,DROP_TOP1_DAY,p,0.00,rerun_B300,0.0,True,exp2_subsample_stability.csv,q10_p
6,DROP_TOP1_DAY,leverage_p,0.01,saved_v4,0.01,True,exp2_subsample_stability.csv,M2_leverage_p
6,DROP_TOP1_DAY,leverage_p,0.01,rerun_B300,0.007,True,exp2_subsample_stability.csv,M2_leverage_p
6,DROP_TOP5_DAYS,N,699,saved_v4,699.0,True,exp2_subsample_stability.csv,n
6,DROP_TOP5_DAYS,N,699,rerun_B300,699.0,True,exp2_subsample_stability.csv,n
6,DROP_TOP5_DAYS,beta,-7.98,saved_v4,-7.98,True,exp2_subsample_stability.csv,q10_dn
6,DROP_TOP5_DAYS,beta,-7.98,rerun_B300,-7.98,True,exp2_subsample_stability.csv,q10_dn
6,DROP_TOP5_DAYS,p,0.05,saved_v4,0.05,True,exp2_subsample_stability.csv,q10_p
6,DROP_TOP5_DAYS,p,0.05,rerun_B300,0.027,False,exp2_subsample_stability.csv,q10_p
6,DROP_TOP5_DAYS,leverage_p,0.00,saved_v4,0.0,True,exp2_subsample_stability.csv,M2_leverage_p
