mode,definition,reference,calibration,n,block_days,difference_bp,improvement_pct,improvement_lo,improvement_hi,p_centered_boot,winning_months
available_macro,CAP,persistence,raw,1088,1,-0.15355172858258254,10.582244982512323,5.655801752903759,15.300742465528637,0.0005,4
available_macro,CAP,persistence,raw,1088,5,-0.15355172858258254,10.582244982512323,5.47244336766912,14.926716311565098,0.0005,4
available_macro,CAP,persistence,raw,1088,10,-0.15355172858258254,10.582244982512323,6.725860617360429,14.41023951957901,0.0005,4
available_macro,CAP,ar_quantile,raw,1088,1,-0.03003627937831886,2.2625922286710343,-1.7334248627361974,6.145896629457523,0.3095,2
available_macro,CAP,ar_quantile,raw,1088,5,-0.03003627937831886,2.2625922286710343,-1.7458236964962446,5.552697494958771,0.256,2
available_macro,CAP,ar_quantile,raw,1088,10,-0.03003627937831886,2.2625922286710343,-1.2090555591809324,5.300137780143396,0.188,2
available_macro,CAP,dynamics_vol,raw,1088,1,0.005494347691907519,-0.4252638433859257,-3.844605060505298,2.9122214671781945,0.8025,2
available_macro,CAP,dynamics_vol,raw,1088,5,0.005494347691907519,-0.4252638433859257,-3.8116369033276776,2.589162024338445,0.814,2
available_macro,CAP,dynamics_vol,raw,1088,10,0.005494347691907519,-0.4252638433859257,-3.5275705124291266,2.4548746269494117,0.7825,2
available_macro,CAP,threshold,raw,1088,1,-0.05203159002606633,3.8555868480376843,-0.4725436094429912,8.108297049344664,0.086,3
available_macro,CAP,threshold,raw,1088,5,-0.05203159002606633,3.8555868480376843,0.47710642658635927,6.999103609655873,0.0255,3
available_macro,CAP,threshold,raw,1088,10,-0.05203159002606633,3.8555868480376843,1.355556335089434,6.406873738255236,0.003,3
available_macro,CAP,linear,raw,1088,1,-0.03746650501107396,2.806592313204437,0.36624137441308313,5.46186781416181,0.039,2
available_macro,CAP,linear,raw,1088,5,-0.03746650501107396,2.806592313204437,-0.05083961250660218,5.420617528525868,0.051,2
available_macro,CAP,linear,raw,1088,10,-0.03746650501107396,2.806592313204437,0.15094093539378425,5.3662333473678565,0.035,2
available_macro,CAP,persistence,calibrated,1088,1,-0.14572131241930616,10.028551441064481,4.361677744154937,15.686919949158659,0.0015,4
available_macro,CAP,persistence,calibrated,1088,5,-0.14572131241930616,10.028551441064481,1.7598133164794623,17.31700453513466,0.012,4
available_macro,CAP,persistence,calibrated,1088,10,-0.14572131241930616,10.028551441064481,2.85130215263634,16.636382029090267,0.0025,4
available_macro,CAP,ar_quantile,calibrated,1088,1,-0.07965557098555558,5.743017095297365,2.314495860201803,8.883386065574507,0.004,4
