mode,definition,strategy,calibration,fold,n,loss_bp,below_rate
available_macro,EQ,ar_quantile,calibrated,2026-03,201,1.847454102254965,0.0845771144278607
available_macro,EQ,dynamics_vol,calibrated,2025-12,313,1.9116635237659227,0.08626198083067092
available_macro,EQ,dynamics_vol,calibrated,2026-01,294,1.6304526901820429,0.0782312925170068
available_macro,EQ,dynamics_vol,calibrated,2026-02,280,1.9256584740467324,0.10714285714285714
available_macro,EQ,dynamics_vol,calibrated,2026-03,201,1.8867444348460172,0.1044776119402985
available_macro,EQ,linear,calibrated,2025-12,313,1.9283810224910543,0.08626198083067092
available_macro,EQ,linear,calibrated,2026-01,294,1.6304526901820429,0.0782312925170068
available_macro,EQ,linear,calibrated,2026-02,280,2.1439044759111736,0.09642857142857143
available_macro,EQ,linear,calibrated,2026-03,201,1.8723774030654565,0.08955223880597014
available_macro,EQ,persistence,calibrated,2025-12,313,2.066486980996177,0.09584664536741214
available_macro,EQ,persistence,calibrated,2026-01,294,1.7543736299471675,0.0782312925170068
available_macro,EQ,persistence,calibrated,2026-02,280,2.423586746002729,0.09285714285714286
available_macro,EQ,persistence,calibrated,2026-03,201,2.1570340413624285,0.08955223880597014
available_macro,EQ,selected,calibrated,2025-12,313,1.6315701526278965,0.09824281150159744
available_macro,EQ,selected,calibrated,2026-01,294,1.4437279720771632,0.1096938775510204
available_macro,EQ,selected,calibrated,2026-02,280,1.8817502910082322,0.10625
available_macro,EQ,selected,calibrated,2026-03,201,1.8818362990894915,0.0845771144278607
available_macro,EQ,threshold,calibrated,2025-12,313,1.7677460288337714,0.07987220447284345
available_macro,EQ,threshold,calibrated,2026-01,294,1.3953120392777998,0.10204081632653061
available_macro,EQ,threshold,calibrated,2026-02,280,1.929438659105042,0.1
available_macro,EQ,threshold,calibrated,2026-03,201,1.9821309544363004,0.11442786069651742
available_macro,PCA,ar_quantile,raw,2025-12,313,2.1256121828523047,0.19169329073482427
available_macro,PCA,ar_quantile,raw,2026-01,294,1.630492003094785,0.10884353741496598
available_macro,PCA,ar_quantile,raw,2026-02,280,2.3280161194640323,0.16428571428571428
available_macro,PCA,ar_quantile,raw,2026-03,201,1.7865155613473844,0.12935323383084577
available_macro,PCA,dynamics_vol,raw,2025-12,313,2.1218723075244643,0.19169329073482427
available_macro,PCA,dynamics_vol,raw,2026-01,294,1.6003038778906946,0.11564625850340136
available_macro,PCA,dynamics_vol,raw,2026-02,280,1.932480995002975,0.15357142857142858
available_macro,PCA,dynamics_vol,raw,2026-03,201,1.8801953398655291,0.15422885572139303
available_macro,PCA,linear,raw,2025-12,313,2.1218723075244648,0.19169329073482427
available_macro,PCA,linear,raw,2026-01,294,1.6003038778906946,0.11564625850340136
available_macro,PCA,linear,raw,2026-02,280,2.2428379429723173,0.18928571428571428
available_macro,PCA,linear,raw,2026-03,201,1.8414186698574024,0.13432835820895522
available_macro,PCA,persistence,raw,2025-12,313,2.100579439501188,0.14376996805111822
available_macro,PCA,persistence,raw,2026-01,294,1.7417446206268548,0.09523809523809523
available_macro,PCA,persistence,raw,2026-02,280,2.5333999234918583,0.18214285714285713
available_macro,PCA,persistence,raw,2026-03,201,2.067229749272368,0.1044776119402985
available_macro,PCA,selected,raw,2025-12,313,1.664866858783325,0.17891373801916932
available_macro,PCA,selected,raw,2026-01,294,1.5401105247857905,0.20408163265306123
available_macro,PCA,selected,raw,2026-02,280,1.8751773322861718,0.175
available_macro,PCA,selected,raw,2026-03,201,1.7523905208457404,0.11940298507462686
available_macro,PCA,threshold,raw,2025-12,313,1.7575889126335027,0.14696485623003194
available_macro,PCA,threshold,raw,2026-01,294,1.4665639687295113,0.1836734693877551
available_macro,PCA,threshold,raw,2026-02,280,1.9617129901155501,0.16071428571428573
available_macro,PCA,threshold,raw,2026-03,201,1.8609018965394974,0.13432835820895522
available_macro,PCA,ar_quantile,calibrated,2025-12,313,1.9056084527714365,0.08626198083067092
available_macro,PCA,ar_quantile,calibrated,2026-01,294,1.630615829002065,0.09183673469387756
available_macro,PCA,ar_quantile,calibrated,2026-02,280,2.203294564897519,0.09642857142857143
available_macro,PCA,ar_quantile,calibrated,2026-03,201,1.8305499448028677,0.0845771144278607
available_macro,PCA,dynamics_vol,calibrated,2025-12,313,1.9025885684410284,0.08626198083067092
available_macro,PCA,dynamics_vol,calibrated,2026-01,294,1.6097175764113751,0.08163265306122448
available_macro,PCA,dynamics_vol,calibrated,2026-02,280,1.9143202941236959,0.10357142857142858
available_macro,PCA,dynamics_vol,calibrated,2026-03,201,1.8674061824231918,0.09950248756218906
available_macro,PCA,linear,calibrated,2025-12,313,1.9201048306117192,0.08306709265175719
available_macro,PCA,linear,calibrated,2026-01,294,1.6097175764113751,0.08163265306122448
available_macro,PCA,linear,calibrated,2026-02,280,2.113782540233407,0.09642857142857143
available_macro,PCA,linear,calibrated,2026-03,201,1.8599175529680052,0.08955223880597014
available_macro,PCA,persistence,calibrated,2025-12,313,2.055225554960331,0.09584664536741214
available_macro,PCA,persistence,calibrated,2026-01,294,1.7409429841346014,0.08163265306122448
available_macro,PCA,persistence,calibrated,2026-02,280,2.3951314211485633,0.09285714285714286
available_macro,PCA,persistence,calibrated,2026-03,201,2.133140709995679,0.0945273631840796
available_macro,PCA,selected,calibrated,2025-12,313,1.621293993872923,0.0926517571884984
available_macro,PCA,selected,calibrated,2026-01,294,1.4203255816554317,0.10884353741496598
available_macro,PCA,selected,calibrated,2026-02,280,1.7770917888132427,0.10357142857142858
available_macro,PCA,selected,calibrated,2026-03,201,1.8359199674833566,0.0945273631840796
available_macro,PCA,threshold,calibrated,2025-12,313,1.7287340082934,0.08626198083067092
available_macro,PCA,threshold,calibrated,2026-01,294,1.426472159629474,0.10884353741496598
available_macro,PCA,threshold,calibrated,2026-02,280,1.8846772678226038,0.09642857142857143
available_macro,PCA,threshold,calibrated,2026-03,201,1.9088736742446322,0.07960199004975124
strict,EQ,ar_quantile,raw,2025-12,132,2.5221846816237163,0.23484848484848486
strict,EQ,ar_quantile,raw,2026-01,126,1.307125659720519,0.07936507936507936
strict,EQ,ar_quantile,raw,2026-02,120,2.549230572946745,0.175
strict,EQ,ar_quantile,raw,2026-03,89,1.8451769085442666,0.16853932584269662
strict,EQ,dynamics_vol,raw,2025-12,132,2.5221846816237163,0.23484848484848486
strict,EQ,dynamics_vol,raw,2026-01,126,1.3329666352752079,0.0873015873015873
strict,EQ,dynamics_vol,raw,2026-02,120,2.295276218263545,0.14166666666666666
strict,EQ,dynamics_vol,raw,2026-03,89,1.9715557144001192,0.19101123595505617
strict,EQ,linear,raw,2025-12,132,2.522184681623716,0.23484848484848486
strict,EQ,linear,raw,2026-01,126,1.3329666352752079,0.0873015873015873
strict,EQ,linear,raw,2026-02,120,2.5127192435437773,0.19166666666666668
strict,EQ,linear,raw,2026-03,89,2.21079836745082,0.21348314606741572
strict,EQ,persistence,raw,2025-12,132,2.511682974752694,0.19696969696969696
strict,EQ,persistence,raw,2026-01,126,1.512751219472736,0.05555555555555555
strict,EQ,persistence,raw,2026-02,120,2.6973679806915127,0.16666666666666666
strict,EQ,persistence,raw,2026-03,89,2.011012324810095,0.1348314606741573
strict,EQ,selected,raw,2025-12,132,2.0888804383816533,0.20454545454545456
strict,EQ,selected,raw,2026-01,126,1.192396991867511,0.1984126984126984
strict,EQ,selected,raw,2026-02,120,2.06856982091786,0.15833333333333333
strict,EQ,selected,raw,2026-03,89,2.6111966266788333,0.16853932584269662
strict,EQ,threshold,raw,2025-12,132,2.1217000635467875,0.1893939393939394
strict,EQ,threshold,raw,2026-01,126,1.213463295266455,0.1984126984126984
strict,EQ,threshold,raw,2026-02,120,2.2190572380944316,0.20833333333333334
strict,EQ,threshold,raw,2026-03,89,2.6111966266788333,0.16853932584269662
strict,EQ,ar_quantile,calibrated,2025-12,132,2.4565631534297774,0.09848484848484848
strict,EQ,ar_quantile,calibrated,2026-01,126,1.3155226440786574,0.031746031746031744
strict,EQ,ar_quantile,calibrated,2026-02,120,2.354086519186052,0.13333333333333333
strict,EQ,ar_quantile,calibrated,2026-03,89,1.7769107450975323,0.0449438202247191
strict,EQ,dynamics_vol,calibrated,2025-12,132,2.4657383719391954,0.09848484848484848
strict,EQ,dynamics_vol,calibrated,2026-01,126,1.3365836707915668,0.06349206349206349
strict,EQ,dynamics_vol,calibrated,2026-02,120,2.218879429256638,0.11666666666666667
strict,EQ,dynamics_vol,calibrated,2026-03,89,1.864129798990709,0.0898876404494382
strict,EQ,linear,calibrated,2025-12,132,2.429563283035554,0.08333333333333333
strict,EQ,linear,calibrated,2026-01,126,1.3365836707915668,0.06349206349206349
strict,EQ,linear,calibrated,2026-02,120,2.3757962693129833,0.14166666666666666
