mode,definition,reference,calibration,n,seed,improvement_pct
available_macro,CAP,persistence,raw,1088,20260925,10.582244982512323
available_macro,CAP,ar_quantile,raw,1088,20260925,2.2625922286710343
available_macro,CAP,dynamics_vol,raw,1088,20260925,-0.4252638433859257
available_macro,CAP,threshold,raw,1088,20260925,3.8555868480376843
available_macro,CAP,linear,raw,1088,20260925,2.806592313204437
available_macro,CAP,persistence,calibrated,1088,20260925,10.028551441064481
available_macro,CAP,ar_quantile,calibrated,1088,20260925,5.743017095297365
available_macro,CAP,dynamics_vol,calibrated,1088,20260925,1.3442729534518305
available_macro,CAP,threshold,calibrated,1088,20260925,3.6414357696951893
available_macro,CAP,linear,calibrated,1088,20260925,6.619145083851574
available_macro,EQ,persistence,raw,1088,20260925,16.467355910908278
available_macro,EQ,persistence,raw,1088,20260926,16.38374697653717
available_macro,EQ,persistence,raw,1088,20260927,16.491585535719356
available_macro,EQ,persistence,raw,1088,20260928,16.286238727440548
available_macro,EQ,ar_quantile,raw,1088,20260925,11.012018809948632
available_macro,EQ,ar_quantile,raw,1088,20260926,10.922949556122552
available_macro,EQ,ar_quantile,raw,1088,20260927,11.037830819378524
available_macro,EQ,ar_quantile,raw,1088,20260928,10.819073253257883
available_macro,EQ,dynamics_vol,raw,1088,20260925,6.636314033099044
available_macro,EQ,dynamics_vol,raw,1088,20260926,6.542865078169225
available_macro,EQ,dynamics_vol,raw,1088,20260927,6.663395267107941
available_macro,EQ,dynamics_vol,raw,1088,20260928,6.43388098402119
available_macro,EQ,threshold,raw,1088,20260925,6.046075919957938
available_macro,EQ,threshold,raw,1088,20260926,5.952036187851095
available_macro,EQ,threshold,raw,1088,20260927,6.073328359466035
available_macro,EQ,threshold,raw,1088,20260928,5.842363104558867
available_macro,EQ,linear,raw,1088,20260925,10.243829908902036
available_macro,EQ,linear,raw,1088,20260926,10.153991764588731
available_macro,EQ,linear,raw,1088,20260927,10.269864740547819
available_macro,EQ,linear,raw,1088,20260928,10.049218749360488
available_macro,EQ,persistence,calibrated,1088,20260925,19.319701195018457
available_macro,EQ,persistence,calibrated,1088,20260926,18.912659432562652
available_macro,EQ,persistence,calibrated,1088,20260927,19.042301969451515
available_macro,EQ,persistence,calibrated,1088,20260928,19.12669899087378
available_macro,EQ,ar_quantile,calibrated,1088,20260925,11.593870179941234
available_macro,EQ,ar_quantile,calibrated,1088,20260926,11.147850675466731
available_macro,EQ,ar_quantile,calibrated,1088,20260927,11.289907597864879
available_macro,EQ,ar_quantile,calibrated,1088,20260928,11.382386358390029
available_macro,EQ,dynamics_vol,calibrated,1088,20260925,8.057469278676932
available_macro,EQ,dynamics_vol,calibrated,1088,20260926,7.593608208455615
available_macro,EQ,dynamics_vol,calibrated,1088,20260927,7.741347657952535
available_macro,EQ,dynamics_vol,calibrated,1088,20260928,7.8375257317802145
available_macro,EQ,threshold,calibrated,1088,20260925,3.5165319174570886
available_macro,EQ,threshold,calibrated,1088,20260926,3.0297612748359515
available_macro,EQ,threshold,calibrated,1088,20260927,3.1847974082579555
available_macro,EQ,threshold,calibrated,1088,20260928,3.2857256081192387
available_macro,EQ,linear,calibrated,1088,20260925,10.89013394857824
available_macro,EQ,linear,calibrated,1088,20260926,10.440564010600628
available_macro,EQ,linear,calibrated,1088,20260927,10.583751743762814
available_macro,EQ,linear,calibrated,1088,20260928,10.676966659739461
available_macro,PCA,persistence,raw,1088,20260925,19.31832795836266
available_macro,PCA,ar_quantile,raw,1088,20260925,14.123086804982844
available_macro,PCA,dynamics_vol,raw,1088,20260925,9.85919767536304
available_macro,PCA,threshold,raw,1088,20260925,2.8058193641608
available_macro,PCA,linear,raw,1088,20260925,13.202602293119892
available_macro,PCA,persistence,calibrated,1088,20260925,20.53094996040269
available_macro,PCA,ar_quantile,calibrated,1088,20260925,13.057243304720012
available_macro,PCA,dynamics_vol,calibrated,1088,20260925,9.518546052581057
available_macro,PCA,threshold,calibrated,1088,20260925,4.285738649627868
available_macro,PCA,linear,calibrated,1088,20260925,12.172145453699446
strict,EQ,persistence,raw,467,20260925,11.535171466350702
strict,EQ,ar_quantile,raw,467,20260925,6.319319590443406
strict,EQ,dynamics_vol,raw,467,20260925,4.747366226742744
strict,EQ,threshold,raw,467,20260925,2.688261903342415
strict,EQ,linear,raw,467,20260925,9.264736093867343
strict,EQ,persistence,calibrated,467,20260925,11.384859377882318
strict,EQ,ar_quantile,calibrated,467,20260925,5.569662252144203
strict,EQ,dynamics_vol,calibrated,467,20260925,5.100851474511736
strict,EQ,threshold,calibrated,467,20260925,-2.5085665667131662
strict,EQ,linear,calibrated,467,20260925,8.237935406039975
