mode,definition,fold,candidate,strategy,window,form,alpha,inner_score,inner_months,train_n,test_n,features,train_last_label,first_origin,coefficients
available_macro,CAP,2025-12,19,dynamics_vol,all,change,0.05,1.3383359254596459,"['2025-09', '2025-10', '2025-11']",1862,313,"['e_now', 'e_change1', 'btc_vol24', 'downside24']",2025-11-28T17:00:00+00:00,2025-12-01T03:00:00+00:00,"{'e_now': 0.7979605156970361, 'e_change1': -0.03959098603271322, 'btc_vol24': 0.0, 'downside24': 0.0, 'intercept': -8.077858866299367}"
available_macro,CAP,2026-01,0,persistence,all,change,,1.3894319215351143,"['2025-10', '2025-11', '2025-12']",2175,294,['e_now'],2025-12-31T17:00:00+00:00,2026-01-02T03:00:00+00:00,"{'intercept': -8.989143263979138, 'e_now': 1.0}"
available_macro,CAP,2026-01,7,ar_quantile,all,change,0.05,1.4194346013860764,"['2025-10', '2025-11', '2025-12']",2175,294,['e_now'],2025-12-31T17:00:00+00:00,2026-01-02T03:00:00+00:00,"{'e_now': 0.7613295193721181, 'intercept': -8.160703910529605}"
available_macro,CAP,2026-01,19,dynamics_vol,all,change,0.05,1.4146233881852686,"['2025-10', '2025-11', '2025-12']",2175,294,"['e_now', 'e_change1', 'btc_vol24', 'downside24']",2025-12-31T17:00:00+00:00,2026-01-02T03:00:00+00:00,"{'e_now': 0.793749746277447, 'e_change1': -0.05193390642370238, 'btc_vol24': 0.0, 'downside24': 0.0, 'intercept': -8.158213232662058}"
available_macro,CAP,2026-02,0,persistence,all,change,,1.4195360567467479,"['2025-11', '2025-12', '2026-01']",2469,280,['e_now'],2026-01-30T17:00:00+00:00,2026-02-02T03:00:00+00:00,"{'intercept': -9.112372429512282, 'e_now': 1.0}"
available_macro,CAP,2026-02,7,ar_quantile,all,change,0.05,1.4757087039816201,"['2025-11', '2025-12', '2026-01']",2469,280,['e_now'],2026-01-30T17:00:00+00:00,2026-02-02T03:00:00+00:00,"{'e_now': 0.761509124513318, 'intercept': -8.389126339890835}"
available_macro,CAP,2026-02,19,dynamics_vol,all,change,0.05,1.4665015141094775,"['2025-11', '2025-12', '2026-01']",2469,280,"['e_now', 'e_change1', 'btc_vol24', 'downside24']",2026-01-30T17:00:00+00:00,2026-02-02T03:00:00+00:00,"{'e_now': 0.7740236520158474, 'e_change1': -0.03990994318677965, 'btc_vol24': 0.0, 'downside24': 0.0, 'intercept': -8.284678576990368}"
available_macro,CAP,2026-03,1,persistence,90,change,,1.4217003653880143,"['2025-12', '2026-01', '2026-02']",887,201,['e_now'],2026-02-27T17:00:00+00:00,2026-03-02T03:00:00+00:00,"{'intercept': -10.33200455860591, 'e_now': 1.0}"
available_macro,CAP,2026-03,10,ar_quantile,90,level,0.05,1.1948863157615455,"['2025-12', '2026-01', '2026-02']",887,201,['e_now'],2026-02-27T17:00:00+00:00,2026-03-02T03:00:00+00:00,"{'e_now': 0.0, 'intercept': -9.387933117615374}"
available_macro,CAP,2026-03,14,dynamics_vol,all,level,0.0,1.1691768358118029,"['2025-12', '2026-01', '2026-02']",2749,201,"['e_now', 'e_change1', 'btc_vol24', 'downside24']",2026-02-27T17:00:00+00:00,2026-03-02T03:00:00+00:00,"{'e_now': 0.5726318412030009, 'e_change1': -0.219893332072395, 'btc_vol24': -0.015696619671692356, 'downside24': -0.00037305012791103933, 'intercept': -6.404380005828515}"
available_macro,PCA,2025-11,1,persistence,90,change,,1.5003706465329718,"['2025-08', '2025-09', '2025-10']",975,280,['e_now'],2025-10-31T17:00:00+00:00,2025-11-03T03:00:00+00:00,"{'intercept': -10.309099448919328, 'e_now': 1.0}"
available_macro,PCA,2025-11,6,ar_quantile,all,change,0.01,1.281202954351514,"['2025-08', '2025-09', '2025-10']",1582,280,['e_now'],2025-10-31T17:00:00+00:00,2025-11-03T03:00:00+00:00,"{'e_now': 0.16596078247670454, 'intercept': -7.635088776004106}"
available_macro,PCA,2025-11,18,dynamics_vol,all,change,0.01,1.284482710387085,"['2025-08', '2025-09', '2025-10']",1582,280,"['e_now', 'e_change1', 'btc_vol24', 'downside24']",2025-10-31T17:00:00+00:00,2025-11-03T03:00:00+00:00,"{'e_now': 0.16821513658894804, 'e_change1': -0.012734829164128388, 'btc_vol24': 0.0, 'downside24': -0.00041000628978329055, 'intercept': -7.497770860266018}"
available_macro,PCA,2025-12,1,persistence,90,change,,1.5594735683981613,"['2025-09', '2025-10', '2025-11']",940,313,['e_now'],2025-11-28T17:00:00+00:00,2025-12-01T03:00:00+00:00,"{'intercept': -10.819402838510548, 'e_now': 1.0}"
available_macro,PCA,2025-12,7,ar_quantile,all,change,0.05,1.4054527614120051,"['2025-09', '2025-10', '2025-11']",1862,313,['e_now'],2025-11-28T17:00:00+00:00,2025-12-01T03:00:00+00:00,"{'e_now': 0.6103233847288755, 'intercept': -8.656848617118236}"
available_macro,PCA,2025-12,19,dynamics_vol,all,change,0.05,1.4054527614120051,"['2025-09', '2025-10', '2025-11']",1862,313,"['e_now', 'e_change1', 'btc_vol24', 'downside24']",2025-11-28T17:00:00+00:00,2025-12-01T03:00:00+00:00,"{'e_now': 0.6123589024904106, 'e_change1': -0.0026499308417813473, 'btc_vol24': 0.0, 'downside24': 0.0, 'intercept': -8.649929170385064}"
available_macro,PCA,2026-01,1,persistence,90,change,,1.7563330789076552,"['2025-10', '2025-11', '2025-12']",908,294,['e_now'],2025-12-31T17:00:00+00:00,2026-01-02T03:00:00+00:00,"{'intercept': -12.051237119574022, 'e_now': 1.0}"
available_macro,PCA,2026-01,13,ar_quantile,90,change,0.05,1.675004841517159,"['2025-10', '2025-11', '2025-12']",908,294,['e_now'],2025-12-31T17:00:00+00:00,2026-01-02T03:00:00+00:00,"{'e_now': 0.8726667473291243, 'intercept': -11.267127527745123}"
