scope,method,variant,n,status,term,coef_raw,effect_bp_per_sd,scenario
core,sequential_ols,Aug_Nov,926,estimated,e_origin,0.3733590534652327,3.625466937839789,clock_UTC_quote
core,sequential_ols,Aug_Nov,926,estimated,downside,37499.04844392882,0.6118238478055673,clock_UTC_quote
core,sequential_ols,Aug_Nov,926,estimated,btc_vol,9.53047464821035,0.0184927737397805,clock_UTC_quote
core,sequential_ols,Aug_Nov,926,estimated,account_ls,0.1423042637035491,0.0901533674177035,clock_UTC_quote
core,sequential_ols,Dec_Mar,800,estimated,e_origin,0.2658358364479722,2.581373150028237,clock_UTC_quote
core,sequential_ols,Dec_Mar,800,estimated,downside,-161204.57429038515,-2.6301681514313224,clock_UTC_quote
core,sequential_ols,Dec_Mar,800,estimated,btc_vol,258.15019888338,0.5009103318611902,clock_UTC_quote
core,sequential_ols,Dec_Mar,800,estimated,account_ls,3.324079247987344,2.105888678034687,clock_UTC_quote
core,sequential_ols,exclude_top1_downside_days,1716,estimated,e_origin,0.3286574843089432,3.1913966788182604,clock_UTC_quote
core,sequential_ols,exclude_top1_downside_days,1716,estimated,downside,-61655.05300759948,-1.0059463728571765,clock_UTC_quote
core,sequential_ols,exclude_top1_downside_days,1716,estimated,btc_vol,-388.71543848981486,-0.7542569408651226,clock_UTC_quote
core,sequential_ols,exclude_top1_downside_days,1716,estimated,account_ls,1.4832543854588245,0.9396793469572924,clock_UTC_quote
core,sequential_ols,exclude_top5_downside_days,1672,estimated,e_origin,0.2680395792898978,2.602772381515325,clock_UTC_quote
core,sequential_ols,exclude_top5_downside_days,1672,estimated,downside,77364.48833583936,1.2622570678804934,clock_UTC_quote
core,sequential_ols,exclude_top5_downside_days,1672,estimated,btc_vol,-985.219037464086,-1.9117025559025052,clock_UTC_quote
core,sequential_ols,exclude_top5_downside_days,1672,estimated,account_ls,0.818183416586048,0.5183399868061317,clock_UTC_quote
core,joint_ols,Aug_Nov,926,estimated,e_origin,0.3821109193261366,3.720008174339955,clock_UTC_quote
core,joint_ols,Aug_Nov,926,estimated,downside,46380.99907277578,0.756739237269004,clock_UTC_quote
core,joint_ols,Aug_Nov,926,estimated,btc_vol,-28.38187577298692,-0.0550717174489275,clock_UTC_quote
