scope,sample,h,method,model,q,term,n,status,coef_raw,effect_bp_per_sd,scenario
core,all,1,sequential_ols,M2,0.1,account_ls,2523,estimated,0.5891670806543479,0.3660152014951247,clock_UTC_quote
core,all,1,sequential_ols,M2,0.5,e_origin,2523,estimated,0.3782050640432039,3.645237982199662,clock_UTC_quote
core,all,1,sequential_ols,M2,0.5,downside,2523,estimated,-117708.2959202932,-1.9855964918969395,clock_UTC_quote
core,all,1,sequential_ols,M2,0.5,btc_vol,2523,estimated,271.6837240717836,0.5307499019700285,clock_UTC_quote
core,all,1,sequential_ols,M2,0.5,btc_ret,2523,estimated,108.33124378922304,0.4946464350254497,clock_UTC_quote
core,all,1,sequential_ols,M2,0.5,account_ls,2523,estimated,0.6783909204252183,0.4214447778652668,clock_UTC_quote
core,all,1,sequential_ols,M2,0.9,e_origin,2523,estimated,0.327915904237513,3.16053808564917,clock_UTC_quote
core,all,1,sequential_ols,M2,0.9,downside,2523,estimated,-86326.20401902043,-1.4562185827158431,clock_UTC_quote
core,all,1,sequential_ols,M2,0.9,btc_vol,2523,estimated,580.0446378459856,1.133150819861612,clock_UTC_quote
core,all,1,sequential_ols,M2,0.9,btc_ret,2523,estimated,98.6707935519232,0.4505362863418573,clock_UTC_quote
core,all,1,sequential_ols,M2,0.9,account_ls,2523,estimated,1.4817818957372255,0.920544811393284,clock_UTC_quote
core,all,1,joint_ols,M0,0.1,e_origin,2523,estimated,0.4624624184464682,4.468498692237436,clock_UTC_quote
core,all,1,joint_ols,M0,0.1,downside,2523,estimated,-139919.33913897307,-2.360269909361466,clock_UTC_quote
core,all,1,joint_ols,M0,0.5,e_origin,2523,estimated,0.3788351640802194,3.6604583804942528,clock_UTC_quote
core,all,1,joint_ols,M0,0.5,downside,2523,estimated,-71664.13220128394,-1.2088871763980376,clock_UTC_quote
core,all,1,joint_ols,M0,0.9,e_origin,2523,estimated,0.342036963160784,3.304899299093521,clock_UTC_quote
core,all,1,joint_ols,M0,0.9,downside,2523,estimated,21372.28369940983,0.3605245595103217,clock_UTC_quote
core,all,1,joint_ols,M1,0.1,e_origin,2523,estimated,0.4660737723317383,4.503393052232666,clock_UTC_quote
core,all,1,joint_ols,M1,0.1,downside,2523,estimated,-110231.04467068792,-1.859464312901656,clock_UTC_quote
core,all,1,joint_ols,M1,0.1,btc_vol,2523,estimated,-254.03435413644385,-0.4962708348304037,clock_UTC_quote
core,all,1,joint_ols,M1,0.1,btc_ret,2523,estimated,267.2837947965485,1.220432551235409,clock_UTC_quote
core,all,1,joint_ols,M1,0.5,e_origin,2523,estimated,0.3858505435528006,3.7282438107224767,clock_UTC_quote
core,all,1,joint_ols,M1,0.5,downside,2523,estimated,-100884.35332783002,-1.7017969420836352,clock_UTC_quote
core,all,1,joint_ols,M1,0.5,btc_vol,2523,estimated,240.4790093130564,0.4697896830397947,clock_UTC_quote
core,all,1,joint_ols,M1,0.5,btc_ret,2523,estimated,119.88513216212826,0.5474021266840744,clock_UTC_quote
core,all,1,joint_ols,M1,0.9,e_origin,2523,estimated,0.332007134219922,3.2079870404581854,clock_UTC_quote
core,all,1,joint_ols,M1,0.9,downside,2523,estimated,-33310.62271426569,-0.5619098899293938,clock_UTC_quote
core,all,1,joint_ols,M1,0.9,btc_vol,2523,estimated,479.32964507284345,0.9363982439615052,clock_UTC_quote
core,all,1,joint_ols,M1,0.9,btc_ret,2523,estimated,120.71053131887416,0.5511709447653267,clock_UTC_quote
core,all,1,joint_ols,M2,0.1,e_origin,2523,estimated,0.453811506231075,4.38491008399765,clock_UTC_quote
core,all,1,joint_ols,M2,0.1,downside,2523,estimated,-135584.2031038943,-2.2871414111885144,clock_UTC_quote
core,all,1,joint_ols,M2,0.1,btc_vol,2523,estimated,-182.7881397235515,-0.3570872254899076,clock_UTC_quote
core,all,1,joint_ols,M2,0.1,btc_ret,2523,estimated,280.7511068930294,1.2819250411662049,clock_UTC_quote
core,all,1,joint_ols,M2,0.1,account_ls,2523,estimated,0.5812603135171391,0.3611031874639159,clock_UTC_quote
core,all,1,joint_ols,M2,0.5,e_origin,2523,estimated,0.3830985807567366,3.701653234570132,clock_UTC_quote
core,all,1,joint_ols,M2,0.5,downside,2523,estimated,-119849.28663482387,-2.0217124140477005,clock_UTC_quote
core,all,1,joint_ols,M2,0.5,btc_vol,2523,estimated,278.36258111727966,0.543797436320052,clock_UTC_quote
core,all,1,joint_ols,M2,0.5,btc_ret,2523,estimated,106.86185422051992,0.4879371211987133,clock_UTC_quote
core,all,1,joint_ols,M2,0.5,account_ls,2523,estimated,0.7194286120071791,0.4469391061237025,clock_UTC_quote
core,all,1,joint_ols,M2,0.9,e_origin,2523,estimated,0.3299645121872682,3.188250401290162,clock_UTC_quote
core,all,1,joint_ols,M2,0.9,downside,2523,estimated,-86476.74531072471,-1.4587580321094191,clock_UTC_quote
core,all,1,joint_ols,M2,0.9,btc_vol,2523,estimated,569.3035608755862,1.1121675034389258,clock_UTC_quote
core,all,1,joint_ols,M2,0.9,btc_ret,2523,estimated,96.17465292326924,0.439138770536646,clock_UTC_quote
core,all,1,joint_ols,M2,0.9,account_ls,2523,estimated,1.475310837531745,0.9165247197236424,clock_UTC_quote
core,all,1,pca,M0,0.1,e_origin,2523,estimated,0.4578319037404494,4.391749196867156,clock_UTC_quote
core,all,1,pca,M0,0.1,downside,2523,estimated,-139166.69031614493,-2.347573634637976,clock_UTC_quote
core,all,1,pca,M0,0.5,e_origin,2523,estimated,0.3770192216919389,3.6165541338240415,clock_UTC_quote
core,all,1,pca,M0,0.5,downside,2523,estimated,-74866.0501416218,-1.2628996568266209,clock_UTC_quote
core,all,1,pca,M0,0.9,e_origin,2523,estimated,0.3403834867314537,3.265126113463621,clock_UTC_quote
core,all,1,pca,M0,0.9,downside,2523,estimated,20294.27725571756,0.3423398954974546,clock_UTC_quote
core,all,1,pca,M1,0.1,e_origin,2523,estimated,0.4717350480117214,4.525115006869559,clock_UTC_quote
core,all,1,pca,M1,0.1,downside,2523,estimated,-108882.23744034168,-1.8367115673633607,clock_UTC_quote
core,all,1,pca,M1,0.1,btc_vol,2523,estimated,-240.80721533831763,-0.470430852533214,clock_UTC_quote
core,all,1,pca,M1,0.1,btc_ret,2523,estimated,272.9827477080422,1.2464542846010211,clock_UTC_quote
core,all,1,pca,M1,0.5,e_origin,2523,estimated,0.3881453485169787,3.723281424231073,clock_UTC_quote
core,all,1,pca,M1,0.5,downside,2523,estimated,-100173.19242505469,-1.6898005183593363,clock_UTC_quote
core,all,1,pca,M1,0.5,btc_vol,2523,estimated,248.96283318927647,0.4863633247108911,clock_UTC_quote
core,all,1,pca,M1,0.5,btc_ret,2523,estimated,115.95633571585228,0.5294630253859095,clock_UTC_quote
core,all,1,pca,M1,0.9,e_origin,2523,estimated,0.3310533004549265,3.1756263696672846,clock_UTC_quote
core,all,1,pca,M1,0.9,downside,2523,estimated,-35180.43091634721,-0.5934512913025584,clock_UTC_quote
core,all,1,pca,M1,0.9,btc_vol,2523,estimated,489.2979769430394,0.9558719580420484,clock_UTC_quote
core,all,1,pca,M1,0.9,btc_ret,2523,estimated,109.23121609469588,0.4987557582174728,clock_UTC_quote
core,all,1,pca,M2,0.1,e_origin,2523,estimated,0.4577698798546747,4.39115423319531,clock_UTC_quote
core,all,1,pca,M2,0.1,downside,2523,estimated,-136267.5410184042,-2.298668494774448,clock_UTC_quote
core,all,1,pca,M2,0.1,btc_vol,2523,estimated,-210.58155897876463,-0.4113832809327383,clock_UTC_quote
core,all,1,pca,M2,0.1,btc_ret,2523,estimated,278.4363616384753,1.2713557866454592,clock_UTC_quote
core,all,1,pca,M2,0.1,account_ls,2523,estimated,0.6606351765067301,0.4104141680409646,clock_UTC_quote
core,all,1,pca,M2,0.5,e_origin,2523,estimated,0.3811341423631805,3.656026480345665,clock_UTC_quote
core,all,1,pca,M2,0.5,downside,2523,estimated,-118113.39369819163,-1.9924300011273768,clock_UTC_quote
core,all,1,pca,M2,0.5,btc_vol,2523,estimated,266.20063568970204,0.5200383710116488,clock_UTC_quote
