scope,sample,h,method,n,days,scenario
full_macro,all,6,joint_tensor,238,163,clock_UTC_quote
full_macro,all,6,seq_selected,238,163,clock_UTC_quote
full_macro,all,6,seq_shrunk,238,163,clock_UTC_quote
full_macro,all,6,joint_selected,238,163,clock_UTC_quote
full_macro,all,6,joint_shrunk,238,163,clock_UTC_quote
full_macro,matched,6,sequential_ols,0,0,clock_UTC_quote
full_macro,matched,6,joint_ols,0,0,clock_UTC_quote
full_macro,matched,6,pca,0,0,clock_UTC_quote
full_macro,matched,6,seq_xgb,0,0,clock_UTC_quote
full_macro,matched,6,seq_mlp,0,0,clock_UTC_quote
full_macro,matched,6,seq_spline,0,0,clock_UTC_quote
full_macro,matched,6,joint_xgb,0,0,clock_UTC_quote
full_macro,matched,6,joint_mlp,0,0,clock_UTC_quote
full_macro,matched,6,joint_tensor,0,0,clock_UTC_quote
full_macro,matched,6,seq_selected,0,0,clock_UTC_quote
full_macro,matched,6,seq_shrunk,0,0,clock_UTC_quote
full_macro,matched,6,joint_selected,0,0,clock_UTC_quote
full_macro,matched,6,joint_shrunk,0,0,clock_UTC_quote
full_macro,all,12,sequential_ols,593,128,clock_UTC_quote
full_macro,all,12,joint_ols,593,128,clock_UTC_quote
full_macro,all,12,pca,593,128,clock_UTC_quote
full_macro,all,12,seq_xgb,593,128,clock_UTC_quote
full_macro,all,12,seq_mlp,593,128,clock_UTC_quote
full_macro,all,12,seq_spline,593,128,clock_UTC_quote
full_macro,all,12,joint_xgb,593,128,clock_UTC_quote
full_macro,all,12,joint_mlp,593,128,clock_UTC_quote
full_macro,all,12,joint_tensor,593,128,clock_UTC_quote
full_macro,all,12,seq_selected,593,128,clock_UTC_quote
full_macro,all,12,seq_shrunk,593,128,clock_UTC_quote
full_macro,all,12,joint_selected,593,128,clock_UTC_quote
full_macro,all,12,joint_shrunk,593,128,clock_UTC_quote
full_macro,matched,12,sequential_ols,0,0,clock_UTC_quote
full_macro,matched,12,joint_ols,0,0,clock_UTC_quote
full_macro,matched,12,pca,0,0,clock_UTC_quote
full_macro,matched,12,seq_xgb,0,0,clock_UTC_quote
full_macro,matched,12,seq_mlp,0,0,clock_UTC_quote
full_macro,matched,12,seq_spline,0,0,clock_UTC_quote
full_macro,matched,12,joint_xgb,0,0,clock_UTC_quote
full_macro,matched,12,joint_mlp,0,0,clock_UTC_quote
full_macro,matched,12,joint_tensor,0,0,clock_UTC_quote
full_macro,matched,12,seq_selected,0,0,clock_UTC_quote
full_macro,matched,12,seq_shrunk,0,0,clock_UTC_quote
full_macro,matched,12,joint_selected,0,0,clock_UTC_quote
full_macro,matched,12,joint_shrunk,0,0,clock_UTC_quote
core,all,1,sequential_ols,2524,164,clock_NY_quote
core,all,1,joint_ols,2524,164,clock_NY_quote
core,all,1,pca,2524,164,clock_NY_quote
core,all,1,seq_xgb,2524,164,clock_NY_quote
core,all,1,seq_mlp,2524,164,clock_NY_quote
core,all,1,seq_spline,2524,164,clock_NY_quote
core,all,1,joint_xgb,2524,164,clock_NY_quote
core,all,1,joint_mlp,2524,164,clock_NY_quote
core,all,1,joint_tensor,2524,164,clock_NY_quote
core,all,1,seq_selected,2524,164,clock_NY_quote
core,all,1,seq_shrunk,2524,164,clock_NY_quote
core,all,1,joint_selected,2524,164,clock_NY_quote
core,all,1,joint_shrunk,2524,164,clock_NY_quote
core,matched,1,sequential_ols,728,164,clock_NY_quote
core,matched,1,joint_ols,728,164,clock_NY_quote
core,matched,1,pca,728,164,clock_NY_quote
core,matched,1,seq_xgb,728,164,clock_NY_quote
core,matched,1,seq_mlp,728,164,clock_NY_quote
core,matched,1,seq_spline,728,164,clock_NY_quote
core,matched,1,joint_xgb,728,164,clock_NY_quote
core,matched,1,joint_mlp,728,164,clock_NY_quote
core,matched,1,joint_tensor,728,164,clock_NY_quote
core,matched,1,seq_selected,728,164,clock_NY_quote
core,matched,1,seq_shrunk,728,164,clock_NY_quote
core,matched,1,joint_selected,728,164,clock_NY_quote
core,matched,1,joint_shrunk,728,164,clock_NY_quote
core,all,6,sequential_ols,1730,164,clock_NY_quote
core,all,6,joint_ols,1730,164,clock_NY_quote
core,all,6,pca,1730,164,clock_NY_quote
core,all,6,seq_xgb,1730,164,clock_NY_quote
core,all,6,seq_mlp,1730,164,clock_NY_quote
core,all,6,seq_spline,1730,164,clock_NY_quote
core,all,6,joint_xgb,1730,164,clock_NY_quote
core,all,6,joint_mlp,1730,164,clock_NY_quote
core,all,6,joint_tensor,1730,164,clock_NY_quote
core,all,6,seq_selected,1730,164,clock_NY_quote
core,all,6,seq_shrunk,1730,164,clock_NY_quote
core,all,6,joint_selected,1730,164,clock_NY_quote
core,all,6,joint_shrunk,1730,164,clock_NY_quote
core,matched,6,sequential_ols,728,164,clock_NY_quote
core,matched,6,joint_ols,728,164,clock_NY_quote
core,matched,6,pca,728,164,clock_NY_quote
core,matched,6,seq_xgb,728,164,clock_NY_quote
core,matched,6,seq_mlp,728,164,clock_NY_quote
core,matched,6,seq_spline,728,164,clock_NY_quote
core,matched,6,joint_xgb,728,164,clock_NY_quote
core,matched,6,joint_mlp,728,164,clock_NY_quote
core,matched,6,joint_tensor,728,164,clock_NY_quote
core,matched,6,seq_selected,728,164,clock_NY_quote
core,matched,6,seq_shrunk,728,164,clock_NY_quote
core,matched,6,joint_selected,728,164,clock_NY_quote
core,matched,6,joint_shrunk,728,164,clock_NY_quote
core,all,12,sequential_ols,1344,164,clock_NY_quote
core,all,12,joint_ols,1344,164,clock_NY_quote
core,all,12,pca,1344,164,clock_NY_quote
core,all,12,seq_xgb,1344,164,clock_NY_quote
core,all,12,seq_mlp,1344,164,clock_NY_quote
core,all,12,seq_spline,1344,164,clock_NY_quote
core,all,12,joint_xgb,1344,164,clock_NY_quote
core,all,12,joint_mlp,1344,164,clock_NY_quote
core,all,12,joint_tensor,1344,164,clock_NY_quote
core,all,12,seq_selected,1344,164,clock_NY_quote
core,all,12,seq_shrunk,1344,164,clock_NY_quote
core,all,12,joint_selected,1344,164,clock_NY_quote
core,all,12,joint_shrunk,1344,164,clock_NY_quote
core,matched,12,sequential_ols,728,164,clock_NY_quote
core,matched,12,joint_ols,728,164,clock_NY_quote
core,matched,12,pca,728,164,clock_NY_quote
core,matched,12,seq_xgb,728,164,clock_NY_quote
core,matched,12,seq_mlp,728,164,clock_NY_quote
core,matched,12,seq_spline,728,164,clock_NY_quote
core,matched,12,joint_xgb,728,164,clock_NY_quote
core,matched,12,joint_mlp,728,164,clock_NY_quote
core,matched,12,joint_tensor,728,164,clock_NY_quote
core,matched,12,seq_selected,728,164,clock_NY_quote
core,matched,12,seq_shrunk,728,164,clock_NY_quote
core,matched,12,joint_selected,728,164,clock_NY_quote
core,matched,12,joint_shrunk,728,164,clock_NY_quote
full_macro,all,1,sequential_ols,1050,163,clock_NY_quote
full_macro,all,1,joint_ols,1050,163,clock_NY_quote
full_macro,all,1,pca,1050,163,clock_NY_quote
full_macro,all,1,seq_xgb,1050,163,clock_NY_quote
full_macro,all,1,seq_mlp,1050,163,clock_NY_quote
full_macro,all,1,seq_spline,1050,163,clock_NY_quote
full_macro,all,1,joint_xgb,1050,163,clock_NY_quote
full_macro,all,1,joint_mlp,1050,163,clock_NY_quote
full_macro,all,1,joint_tensor,1050,163,clock_NY_quote
full_macro,all,1,seq_selected,1050,163,clock_NY_quote
full_macro,all,1,seq_shrunk,1050,163,clock_NY_quote
full_macro,all,1,joint_selected,1050,163,clock_NY_quote
full_macro,all,1,joint_shrunk,1050,163,clock_NY_quote
full_macro,matched,1,sequential_ols,0,0,clock_NY_quote
full_macro,matched,1,joint_ols,0,0,clock_NY_quote
full_macro,matched,1,pca,0,0,clock_NY_quote
full_macro,matched,1,seq_xgb,0,0,clock_NY_quote
full_macro,matched,1,seq_mlp,0,0,clock_NY_quote
full_macro,matched,1,seq_spline,0,0,clock_NY_quote
full_macro,matched,1,joint_xgb,0,0,clock_NY_quote
full_macro,matched,1,joint_mlp,0,0,clock_NY_quote
full_macro,matched,1,joint_tensor,0,0,clock_NY_quote
full_macro,matched,1,seq_selected,0,0,clock_NY_quote
full_macro,matched,1,seq_shrunk,0,0,clock_NY_quote
full_macro,matched,1,joint_selected,0,0,clock_NY_quote
full_macro,matched,1,joint_shrunk,0,0,clock_NY_quote
full_macro,all,6,sequential_ols,238,163,clock_NY_quote
full_macro,all,6,joint_ols,238,163,clock_NY_quote
full_macro,all,6,pca,238,163,clock_NY_quote
full_macro,all,6,seq_xgb,238,163,clock_NY_quote
full_macro,all,6,seq_mlp,238,163,clock_NY_quote
full_macro,all,6,seq_spline,238,163,clock_NY_quote
full_macro,all,6,joint_xgb,238,163,clock_NY_quote
full_macro,all,6,joint_mlp,238,163,clock_NY_quote
full_macro,all,6,joint_tensor,238,163,clock_NY_quote
full_macro,all,6,seq_selected,238,163,clock_NY_quote
full_macro,all,6,seq_shrunk,238,163,clock_NY_quote
full_macro,all,6,joint_selected,238,163,clock_NY_quote
full_macro,all,6,joint_shrunk,238,163,clock_NY_quote
full_macro,matched,6,sequential_ols,0,0,clock_NY_quote
full_macro,matched,6,joint_ols,0,0,clock_NY_quote
full_macro,matched,6,pca,0,0,clock_NY_quote
full_macro,matched,6,seq_xgb,0,0,clock_NY_quote
full_macro,matched,6,seq_mlp,0,0,clock_NY_quote
full_macro,matched,6,seq_spline,0,0,clock_NY_quote
full_macro,matched,6,joint_xgb,0,0,clock_NY_quote
full_macro,matched,6,joint_mlp,0,0,clock_NY_quote
full_macro,matched,6,joint_tensor,0,0,clock_NY_quote
full_macro,matched,6,seq_selected,0,0,clock_NY_quote
full_macro,matched,6,seq_shrunk,0,0,clock_NY_quote
full_macro,matched,6,joint_selected,0,0,clock_NY_quote
full_macro,matched,6,joint_shrunk,0,0,clock_NY_quote
full_macro,all,12,sequential_ols,593,128,clock_NY_quote
full_macro,all,12,joint_ols,593,128,clock_NY_quote
full_macro,all,12,pca,593,128,clock_NY_quote
full_macro,all,12,seq_xgb,593,128,clock_NY_quote
full_macro,all,12,seq_mlp,593,128,clock_NY_quote
full_macro,all,12,seq_spline,593,128,clock_NY_quote
full_macro,all,12,joint_xgb,593,128,clock_NY_quote
full_macro,all,12,joint_mlp,593,128,clock_NY_quote
full_macro,all,12,joint_tensor,593,128,clock_NY_quote
full_macro,all,12,seq_selected,593,128,clock_NY_quote
full_macro,all,12,seq_shrunk,593,128,clock_NY_quote
full_macro,all,12,joint_selected,593,128,clock_NY_quote
full_macro,all,12,joint_shrunk,593,128,clock_NY_quote
full_macro,matched,12,sequential_ols,0,0,clock_NY_quote
full_macro,matched,12,joint_ols,0,0,clock_NY_quote
full_macro,matched,12,pca,0,0,clock_NY_quote
full_macro,matched,12,seq_xgb,0,0,clock_NY_quote
full_macro,matched,12,seq_mlp,0,0,clock_NY_quote
full_macro,matched,12,seq_spline,0,0,clock_NY_quote
full_macro,matched,12,joint_xgb,0,0,clock_NY_quote
full_macro,matched,12,joint_mlp,0,0,clock_NY_quote
full_macro,matched,12,joint_tensor,0,0,clock_NY_quote
full_macro,matched,12,seq_selected,0,0,clock_NY_quote
full_macro,matched,12,seq_shrunk,0,0,clock_NY_quote
full_macro,matched,12,joint_selected,0,0,clock_NY_quote
full_macro,matched,12,joint_shrunk,0,0,clock_NY_quote
core,all,1,sequential_ols,2523,198,clock_FXUTC_USNY_quote
core,all,1,joint_ols,2523,198,clock_FXUTC_USNY_quote
core,all,1,pca,2523,198,clock_FXUTC_USNY_quote
core,all,1,seq_xgb,2523,198,clock_FXUTC_USNY_quote
core,all,1,seq_mlp,2523,198,clock_FXUTC_USNY_quote
core,all,1,seq_spline,2523,198,clock_FXUTC_USNY_quote
core,all,1,joint_xgb,2523,198,clock_FXUTC_USNY_quote
core,all,1,joint_mlp,2523,198,clock_FXUTC_USNY_quote
core,all,1,joint_tensor,2523,198,clock_FXUTC_USNY_quote
core,all,1,seq_selected,2523,198,clock_FXUTC_USNY_quote
core,all,1,seq_shrunk,2523,198,clock_FXUTC_USNY_quote
core,all,1,joint_selected,2523,198,clock_FXUTC_USNY_quote
core,all,1,joint_shrunk,2523,198,clock_FXUTC_USNY_quote
core,matched,1,sequential_ols,724,179,clock_FXUTC_USNY_quote
core,matched,1,joint_ols,724,179,clock_FXUTC_USNY_quote
core,matched,1,pca,724,179,clock_FXUTC_USNY_quote
core,matched,1,seq_xgb,724,179,clock_FXUTC_USNY_quote
core,matched,1,seq_mlp,724,179,clock_FXUTC_USNY_quote
core,matched,1,seq_spline,724,179,clock_FXUTC_USNY_quote
core,matched,1,joint_xgb,724,179,clock_FXUTC_USNY_quote
core,matched,1,joint_mlp,724,179,clock_FXUTC_USNY_quote
core,matched,1,joint_tensor,724,179,clock_FXUTC_USNY_quote
core,matched,1,seq_selected,724,179,clock_FXUTC_USNY_quote
core,matched,1,seq_shrunk,724,179,clock_FXUTC_USNY_quote
core,matched,1,joint_selected,724,179,clock_FXUTC_USNY_quote
core,matched,1,joint_shrunk,724,179,clock_FXUTC_USNY_quote
core,all,6,sequential_ols,1726,198,clock_FXUTC_USNY_quote
core,all,6,joint_ols,1726,198,clock_FXUTC_USNY_quote
core,all,6,pca,1726,198,clock_FXUTC_USNY_quote
core,all,6,seq_xgb,1726,198,clock_FXUTC_USNY_quote
core,all,6,seq_mlp,1726,198,clock_FXUTC_USNY_quote
core,all,6,seq_spline,1726,198,clock_FXUTC_USNY_quote
core,all,6,joint_xgb,1726,198,clock_FXUTC_USNY_quote
core,all,6,joint_mlp,1726,198,clock_FXUTC_USNY_quote
core,all,6,joint_tensor,1726,198,clock_FXUTC_USNY_quote
core,all,6,seq_selected,1726,198,clock_FXUTC_USNY_quote
core,all,6,seq_shrunk,1726,198,clock_FXUTC_USNY_quote
core,all,6,joint_selected,1726,198,clock_FXUTC_USNY_quote
core,all,6,joint_shrunk,1726,198,clock_FXUTC_USNY_quote
core,matched,6,sequential_ols,724,179,clock_FXUTC_USNY_quote
core,matched,6,joint_ols,724,179,clock_FXUTC_USNY_quote
core,matched,6,pca,724,179,clock_FXUTC_USNY_quote
core,matched,6,seq_xgb,724,179,clock_FXUTC_USNY_quote
core,matched,6,seq_mlp,724,179,clock_FXUTC_USNY_quote
core,matched,6,seq_spline,724,179,clock_FXUTC_USNY_quote
core,matched,6,joint_xgb,724,179,clock_FXUTC_USNY_quote
core,matched,6,joint_mlp,724,179,clock_FXUTC_USNY_quote
core,matched,6,joint_tensor,724,179,clock_FXUTC_USNY_quote
core,matched,6,seq_selected,724,179,clock_FXUTC_USNY_quote
core,matched,6,seq_shrunk,724,179,clock_FXUTC_USNY_quote
core,matched,6,joint_selected,724,179,clock_FXUTC_USNY_quote
core,matched,6,joint_shrunk,724,179,clock_FXUTC_USNY_quote
core,all,12,sequential_ols,1340,179,clock_FXUTC_USNY_quote
core,all,12,joint_ols,1340,179,clock_FXUTC_USNY_quote
core,all,12,pca,1340,179,clock_FXUTC_USNY_quote
core,all,12,seq_xgb,1340,179,clock_FXUTC_USNY_quote
core,all,12,seq_mlp,1340,179,clock_FXUTC_USNY_quote
core,all,12,seq_spline,1340,179,clock_FXUTC_USNY_quote
core,all,12,joint_xgb,1340,179,clock_FXUTC_USNY_quote
core,all,12,joint_mlp,1340,179,clock_FXUTC_USNY_quote
core,all,12,joint_tensor,1340,179,clock_FXUTC_USNY_quote
core,all,12,seq_selected,1340,179,clock_FXUTC_USNY_quote
core,all,12,seq_shrunk,1340,179,clock_FXUTC_USNY_quote
core,all,12,joint_selected,1340,179,clock_FXUTC_USNY_quote
core,all,12,joint_shrunk,1340,179,clock_FXUTC_USNY_quote
core,matched,12,sequential_ols,724,179,clock_FXUTC_USNY_quote
core,matched,12,joint_ols,724,179,clock_FXUTC_USNY_quote
core,matched,12,pca,724,179,clock_FXUTC_USNY_quote
core,matched,12,seq_xgb,724,179,clock_FXUTC_USNY_quote
core,matched,12,seq_mlp,724,179,clock_FXUTC_USNY_quote
core,matched,12,seq_spline,724,179,clock_FXUTC_USNY_quote
core,matched,12,joint_xgb,724,179,clock_FXUTC_USNY_quote
core,matched,12,joint_mlp,724,179,clock_FXUTC_USNY_quote
core,matched,12,joint_tensor,724,179,clock_FXUTC_USNY_quote
core,matched,12,seq_selected,724,179,clock_FXUTC_USNY_quote
core,matched,12,seq_shrunk,724,179,clock_FXUTC_USNY_quote
core,matched,12,joint_selected,724,179,clock_FXUTC_USNY_quote
core,matched,12,joint_shrunk,724,179,clock_FXUTC_USNY_quote
full_macro,all,1,sequential_ols,501,163,clock_FXUTC_USNY_quote
full_macro,all,1,joint_ols,501,163,clock_FXUTC_USNY_quote
full_macro,all,1,pca,501,163,clock_FXUTC_USNY_quote
full_macro,all,1,seq_xgb,501,163,clock_FXUTC_USNY_quote
full_macro,all,1,seq_mlp,501,163,clock_FXUTC_USNY_quote
full_macro,all,1,seq_spline,501,163,clock_FXUTC_USNY_quote
full_macro,all,1,joint_xgb,501,163,clock_FXUTC_USNY_quote
full_macro,all,1,joint_mlp,501,163,clock_FXUTC_USNY_quote
full_macro,all,1,joint_tensor,501,163,clock_FXUTC_USNY_quote
full_macro,all,1,seq_selected,501,163,clock_FXUTC_USNY_quote
full_macro,all,1,seq_shrunk,501,163,clock_FXUTC_USNY_quote
full_macro,all,1,joint_selected,501,163,clock_FXUTC_USNY_quote
full_macro,all,1,joint_shrunk,501,163,clock_FXUTC_USNY_quote
full_macro,matched,1,sequential_ols,188,123,clock_FXUTC_USNY_quote
full_macro,matched,1,joint_ols,188,123,clock_FXUTC_USNY_quote
full_macro,matched,1,pca,188,123,clock_FXUTC_USNY_quote
full_macro,matched,1,seq_xgb,188,123,clock_FXUTC_USNY_quote
full_macro,matched,1,seq_mlp,188,123,clock_FXUTC_USNY_quote
full_macro,matched,1,seq_spline,188,123,clock_FXUTC_USNY_quote
full_macro,matched,1,joint_xgb,188,123,clock_FXUTC_USNY_quote
full_macro,matched,1,joint_mlp,188,123,clock_FXUTC_USNY_quote
full_macro,matched,1,joint_tensor,188,123,clock_FXUTC_USNY_quote
full_macro,matched,1,seq_selected,188,123,clock_FXUTC_USNY_quote
full_macro,matched,1,seq_shrunk,188,123,clock_FXUTC_USNY_quote
full_macro,matched,1,joint_selected,188,123,clock_FXUTC_USNY_quote
full_macro,matched,1,joint_shrunk,188,123,clock_FXUTC_USNY_quote
full_macro,all,6,sequential_ols,188,123,clock_FXUTC_USNY_quote
full_macro,all,6,joint_ols,188,123,clock_FXUTC_USNY_quote
full_macro,all,6,pca,188,123,clock_FXUTC_USNY_quote
full_macro,all,6,seq_xgb,188,123,clock_FXUTC_USNY_quote
full_macro,all,6,seq_mlp,188,123,clock_FXUTC_USNY_quote
full_macro,all,6,seq_spline,188,123,clock_FXUTC_USNY_quote
full_macro,all,6,joint_xgb,188,123,clock_FXUTC_USNY_quote
full_macro,all,6,joint_mlp,188,123,clock_FXUTC_USNY_quote
full_macro,all,6,joint_tensor,188,123,clock_FXUTC_USNY_quote
full_macro,all,6,seq_selected,188,123,clock_FXUTC_USNY_quote
full_macro,all,6,seq_shrunk,188,123,clock_FXUTC_USNY_quote
full_macro,all,6,joint_selected,188,123,clock_FXUTC_USNY_quote
full_macro,all,6,joint_shrunk,188,123,clock_FXUTC_USNY_quote
full_macro,matched,6,sequential_ols,188,123,clock_FXUTC_USNY_quote
full_macro,matched,6,joint_ols,188,123,clock_FXUTC_USNY_quote
full_macro,matched,6,pca,188,123,clock_FXUTC_USNY_quote
full_macro,matched,6,seq_xgb,188,123,clock_FXUTC_USNY_quote
full_macro,matched,6,seq_mlp,188,123,clock_FXUTC_USNY_quote
full_macro,matched,6,seq_spline,188,123,clock_FXUTC_USNY_quote
full_macro,matched,6,joint_xgb,188,123,clock_FXUTC_USNY_quote
full_macro,matched,6,joint_mlp,188,123,clock_FXUTC_USNY_quote
full_macro,matched,6,joint_tensor,188,123,clock_FXUTC_USNY_quote
full_macro,matched,6,seq_selected,188,123,clock_FXUTC_USNY_quote
full_macro,matched,6,seq_shrunk,188,123,clock_FXUTC_USNY_quote
full_macro,matched,6,joint_selected,188,123,clock_FXUTC_USNY_quote
full_macro,matched,6,joint_shrunk,188,123,clock_FXUTC_USNY_quote
full_macro,all,12,sequential_ols,562,128,clock_FXUTC_USNY_quote
