scenario,model,period,n,days,mae_bp,rmse_bp,residual_mean_bp,residual_q10_bp,residual_q50_bp,residual_q90_bp,residual_lag1h_corr,exact_1h_pairs
clock_UTC_quote,sequential_ols,2025-08,357,26,6.481208687700816,7.962126706726117,1.2538276136052526,-9.427002927163088,1.5497504845614145,11.105290918536015,0.4029505889735816,335
clock_UTC_quote,joint_ols,2025-08,357,26,6.494115213536263,7.987591772682536,1.308674323064595,-9.328174259982962,1.750027165828712,11.087720234546788,0.40666898217445613,335
clock_UTC_quote,pca,2025-08,357,26,6.477335877345623,7.957444562561044,1.252609423265384,-9.415933553248527,1.5692036942913743,11.093320035675282,0.40280073064966304,335
clock_UTC_quote,seq_xgb,2025-08,357,26,6.414763074782755,7.869613910141563,0.9942066994922335,-9.71371600931205,0.9893423382943638,10.6805670040835,0.3902013690693289,335
clock_UTC_quote,seq_mlp,2025-08,357,26,6.481208687670249,7.962126706649288,1.2538276134178086,-9.427002927329811,1.5497504836800005,11.105290918928722,0.4029505889622544,335
clock_UTC_quote,seq_spline,2025-08,357,26,6.320222414230088,7.736302506054103,0.7726085059630455,-9.764570740420366,0.8043930160809509,10.133288392490758,0.376767070497037,335
clock_UTC_quote,joint_xgb,2025-08,357,26,6.475655578137011,7.952790148704294,1.0611813039822957,-9.673177184702716,1.356236085842788,10.940615476680179,0.4010501994670606,335
clock_UTC_quote,joint_mlp,2025-08,357,26,6.4941060109444155,7.98758265012562,1.3086186331895568,-9.328229948892373,1.7499714780226585,11.087664546216653,0.40666898236745,335
clock_UTC_quote,joint_tensor,2025-08,357,26,6.252326222626401,7.675113583516901,1.1729837374884278,-9.44402838523023,1.277922154859862,10.641329782805023,0.36571246257567,335
clock_UTC_quote,seq_selected,2025-08,357,26,6.414763074782755,7.869613910141563,0.9942066994922335,-9.71371600931205,0.9893423382943638,10.6805670040835,0.3902013690693289,335
clock_UTC_quote,seq_shrunk,2025-08,357,26,6.414763074782755,7.869613910141563,0.9942066994922335,-9.71371600931205,0.9893423382943638,10.6805670040835,0.3902013690693289,335
clock_UTC_quote,joint_selected,2025-08,357,26,6.4941060109444155,7.98758265012562,1.3086186331895568,-9.328229948892373,1.7499714780226585,11.087664546216653,0.40666898236745,335
clock_UTC_quote,joint_shrunk,2025-08,357,26,6.4941060109444155,7.98758265012562,1.3086186331895568,-9.328229948892373,1.7499714780226585,11.087664546216653,0.40666898236745,335
clock_UTC_quote,sequential_ols,2025-09,374,26,4.5918458286499515,6.049245782052416,0.5688215404687967,-6.9217682063523185,0.5229430417710184,8.436967980953169,0.13273755825535136,351
clock_UTC_quote,joint_ols,2025-09,374,26,4.596726053973774,6.055049323910939,0.5913600256341075,-6.929969318497702,0.5283716105890264,8.495993676969276,0.13424456533841653,351
clock_UTC_quote,pca,2025-09,374,26,4.577612054478764,6.032436731109665,0.5693954188283837,-6.916368804829045,0.5170412595302913,8.423749842578085,0.132848652248058,351
clock_UTC_quote,seq_xgb,2025-09,374,26,4.561113846488769,6.02562897510379,0.2495034467117565,-7.254069696787375,0.2561806399256347,8.082922507070466,0.1319687284085417,351
