h,q,block_days,reference,term,estimate,low95,high95,p_centered,n_boot
1,0.0,5,mean5,down_pct,-1.8468040088352244,-4.223586081126988,0.7345353355885473,0.15295887662988966,1993
1,0.0,5,mean5,ls_z,-1.0253899232665398,-2.3671991427236176,0.23222324549694934,0.10682046138415245,1993
1,0.0,5,mean5,down_x_ls,1.491809931045427,-0.6047090835035249,4.111570226200134,0.22768304914744233,1993
1,0.0,5,median5,down_pct,-1.3500566589818752,-3.369442469206724,0.6857937730162723,0.20812437311935808,1993
1,0.0,5,median5,ls_z,-1.0398371829909088,-1.9908680812403405,0.11928952587715837,0.04964894684052156,1993
1,0.0,5,median5,down_x_ls,0.36160216261463735,-1.3952748470067797,2.224382051742569,0.7161484453360081,1993
1,0.0,5,BTC,down_pct,-0.9543568738287524,-3.313054459703465,1.2943133595223852,0.3981945837512538,1993
1,0.0,5,BTC,ls_z,-0.4824102718830643,-1.5346089531048397,0.8474443713222971,0.3936810431293882,1993
1,0.0,5,BTC,down_x_ls,0.1921966023458307,-2.330210146134772,2.2328972998786347,0.8585757271815446,1993
1,0.0,5,ETH,down_pct,-0.639833018330837,-2.917733892520748,1.795345733121819,0.5722166499498496,1993
1,0.0,5,ETH,ls_z,-1.4863461178848791,-2.7413893395829954,0.09006904840842155,0.04262788365095286,1993
1,0.0,5,ETH,down_x_ls,0.8161089276210711,-1.3630320510161644,3.2672446005058435,0.48946840521564694,1993
1,0.0,5,without_DOGE,down_pct,-1.2290965889968564,-3.051610871708332,0.7075287352977504,0.2086258776328987,1993
1,0.0,5,without_DOGE,ls_z,-0.983583882909572,-1.8042543455053226,0.11834922745671785,0.04914744232698094,1993
1,0.0,5,without_DOGE,down_x_ls,0.5274255794273158,-1.161108974693229,2.247707442215865,0.5466399197592778,1993
6,0.0,5,mean5,down_pct,1.4749317116369796,-0.21845296237575787,3.0503951479751605,0.07038712921065862,1988
6,0.0,5,mean5,ls_z,0.3180318083956287,-1.0585607376250004,1.9349946687360826,0.6505781799899447,1988
6,0.0,5,mean5,down_x_ls,-1.225394506822648,-2.579600671381646,0.00012678267076751768,0.06485671191553545,1988
6,0.0,5,median5,down_pct,-0.3699616137031793,-1.37442984451277,0.9478190704501505,0.4962292609351433,1988
6,0.0,5,median5,ls_z,-0.3538060514331575,-1.5134766160214221,1.4142435776249036,0.5887380593262946,1988
6,0.0,5,median5,down_x_ls,0.15208524480080093,-0.9649534300129177,1.0404436927054275,0.7415786827551534,1988
6,0.0,5,BTC,down_pct,-0.8632949740934371,-1.7826711892422193,0.520187361527754,0.1347410759175465,1988
6,0.0,5,BTC,ls_z,0.19096630937255896,-0.8756008696076203,1.9641122371177113,0.7817998994469583,1988
6,0.0,5,BTC,down_x_ls,0.6521768929281045,-0.903691024925079,1.6346184011269096,0.2850678733031674,1988
6,0.0,5,ETH,down_pct,-1.4209123468119875,-2.7340137092428276,0.34387718211330814,0.07893413775766717,1988
6,0.0,5,ETH,ls_z,-0.6110592242254768,-2.230205685270419,1.6945289361365752,0.48768225238813473,1988
6,0.0,5,ETH,down_x_ls,0.24944587669327958,-1.5713745710899647,2.172682373067388,0.7677224736048266,1988
6,0.0,5,without_DOGE,down_pct,-0.8679403137719375,-1.7291482006347354,0.4508546920939101,0.1111111111111111,1988
6,0.0,5,without_DOGE,ls_z,-0.35081857429661917,-1.390505696826821,1.3497500244521825,0.5771744595274007,1988
6,0.0,5,without_DOGE,down_x_ls,0.557462103454471,-0.6327334790047535,1.3925216609644573,0.2579185520361991,1988
12,0.0,5,mean5,down_pct,0.6944891344257841,-1.6302019996829546,3.364840935653466,0.5432595573440644,1987
12,0.0,5,mean5,ls_z,1.1539106006064492,-0.291055846122611,3.320314397633945,0.1790744466800805,1987
12,0.0,5,mean5,down_x_ls,-0.06847608225980974,-2.492676744879987,2.371221062586553,0.9537223340040242,1987
12,0.0,5,median5,down_pct,0.48773227622791554,-0.9724171151847112,2.1891396247043615,0.5186116700201208,1987
12,0.0,5,median5,ls_z,0.6359975911309361,-0.4697075517112089,2.6490937515767645,0.38832997987927564,1987
12,0.0,5,median5,down_x_ls,-0.782230993581262,-2.59504935568465,1.1074559275336362,0.4225352112676056,1987
12,0.0,5,BTC,down_pct,-0.41285387112431543,-1.5950118932422703,0.9815160385372496,0.539738430583501,1987
12,0.0,5,BTC,ls_z,0.9473709933042633,-0.11766158821680141,2.8634464000173034,0.19517102615694165,1987
12,0.0,5,BTC,down_x_ls,0.0787417511569801,-1.4639210479507854,1.6458311699527426,0.9159959758551308,1987
