date,window_days,reference,n_before,n_after,estimate,regime
2025-07-11 00:00:00+00:00,14,ETH,13,14,-0.3570027303493735,before
2025-07-11 00:00:00+00:00,14,XRP,13,14,0.9217212201884211,before
2025-07-11 00:00:00+00:00,14,SOL,13,14,0.43169703382584956,before
2025-07-12 00:00:00+00:00,14,ETH,13,14,-0.4342701121293624,before
2025-07-12 00:00:00+00:00,14,XRP,13,14,1.0102736644581864,before
2025-07-12 00:00:00+00:00,14,SOL,13,14,0.5005652346161226,before
2025-07-13 00:00:00+00:00,14,ETH,13,14,-0.8515835322378862,before
2025-07-13 00:00:00+00:00,14,XRP,13,14,1.3996376399952108,before
2025-07-13 00:00:00+00:00,14,SOL,13,14,0.44110654420930473,before
2025-07-14 00:00:00+00:00,14,ETH,13,14,-0.43519806825497376,before
2025-07-14 00:00:00+00:00,14,XRP,13,14,1.7024123090487124,before
2025-07-14 00:00:00+00:00,14,SOL,13,14,0.4342117896727927,before
2025-08-17 00:00:00+00:00,14,ETH,14,14,0.25777949396986166,after
2025-08-17 00:00:00+00:00,14,XRP,14,14,-0.3207357129981734,after
2025-08-17 00:00:00+00:00,14,SOL,14,14,0.38425501969400955,after
2025-08-18 00:00:00+00:00,14,ETH,14,14,0.9709500177150572,after
2025-08-18 00:00:00+00:00,14,XRP,14,14,0.4096614344393057,after
2025-08-18 00:00:00+00:00,14,SOL,14,14,1.1616494461194478,after
2025-08-19 00:00:00+00:00,14,ETH,14,14,1.6209128802092119,after
2025-08-19 00:00:00+00:00,14,XRP,14,14,1.2834983321603453,after
2025-08-19 00:00:00+00:00,14,SOL,14,14,2.0455408598384697,after
2025-08-20 00:00:00+00:00,14,ETH,14,14,1.8952853993686753,after
2025-08-20 00:00:00+00:00,14,XRP,14,14,1.60888600816134,after
2025-08-20 00:00:00+00:00,14,SOL,14,14,2.4589046095571305,after
2025-08-21 00:00:00+00:00,14,ETH,14,14,1.9399672623403088,after
2025-08-21 00:00:00+00:00,14,XRP,14,14,1.5292651222591829,after
2025-08-21 00:00:00+00:00,14,SOL,14,14,2.424208665142336,after
2025-08-22 00:00:00+00:00,14,ETH,14,14,2.4650026731633696,after
2025-08-22 00:00:00+00:00,14,XRP,14,14,2.1621536260836507,after
2025-08-22 00:00:00+00:00,14,SOL,14,14,3.001900879558482,after
2025-08-23 00:00:00+00:00,14,ETH,14,14,3.017275245987511,after
2025-08-23 00:00:00+00:00,14,XRP,14,14,2.359938055279807,after
2025-08-23 00:00:00+00:00,14,SOL,14,14,3.232437569353632,after
2025-08-24 00:00:00+00:00,14,ETH,14,14,2.089410322443496,after
2025-08-24 00:00:00+00:00,14,XRP,14,14,1.6006903524765725,after
2025-08-24 00:00:00+00:00,14,SOL,14,14,2.52858528662858,after
2025-08-25 00:00:00+00:00,14,ETH,14,14,1.7750692798996193,after
2025-08-25 00:00:00+00:00,14,XRP,14,14,1.9094471029176425,after
2025-08-25 00:00:00+00:00,14,SOL,14,14,2.57829209416807,after
2025-08-26 00:00:00+00:00,14,ETH,14,14,2.038121427031366,after
2025-08-26 00:00:00+00:00,14,XRP,14,14,2.2096862111145477,after
2025-08-26 00:00:00+00:00,14,SOL,14,14,2.3564266421704527,after
2025-08-27 00:00:00+00:00,14,ETH,14,14,0.7298458185987595,after
2025-08-27 00:00:00+00:00,14,XRP,14,14,1.1435053802110247,after
2025-08-27 00:00:00+00:00,14,SOL,14,14,1.0864500753493793,after
