h,q,reference,term,estimate,n,month_FE
1,0.1,mean5,btc_vol24,-0.3045284320629813,1839,True
1,0.1,mean5,ls_z,-1.5618980633328516,1839,True
1,0.1,mean5,usdt_range,0.8389533664490543,1839,True
1,0.1,mean5,venue_volume,-0.26558215394185997,1839,True
1,0.1,mean5,usdt_volume_surprise,-0.6834777069585526,1839,True
1,0.1,mean5,usdt_unchanged,0.05946648456220771,1839,True
1,0.1,mean5,hour_sin,0.1550021591855747,1839,True
1,0.1,mean5,hour_cos,-0.04523996407318487,1839,True
1,0.1,mean5,weekend,-0.7433921639199887,1839,True
1,0.1,mean5,down_x_ls,2.0579795358507518,1839,True
1,0.1,mean5,month_Feb,-2.6747520646357,1839,True
1,0.1,mean5,month_Mar,-3.751899535666171,1839,True
1,0.1,median5,const,-7.9100408406229965,1839,True
1,0.1,median5,current_btc,2.0362098925301497,1839,True
1,0.1,median5,current_refspread,1.2302123980347746,1839,True
1,0.1,median5,down_pct,-2.5059626926092715,1839,True
1,0.1,median5,up_pct,0.8570022286659241,1839,True
1,0.1,median5,btc_vol24,0.21885264383521297,1839,True
1,0.1,median5,ls_z,-1.852023272309611,1839,True
1,0.1,median5,usdt_range,-1.2298097439714217,1839,True
1,0.1,median5,venue_volume,0.42704863638423385,1839,True
1,0.1,median5,usdt_volume_surprise,0.12636159717316203,1839,True
1,0.1,median5,usdt_unchanged,0.12713979230875694,1839,True
1,0.1,median5,hour_sin,0.18080518046283167,1839,True
1,0.1,median5,hour_cos,0.41166512336935246,1839,True
1,0.1,median5,weekend,1.0571268757365861,1839,True
1,0.1,median5,down_x_ls,1.655669936584753,1839,True
1,0.1,median5,month_Feb,-1.2276059245482722,1839,True
1,0.1,median5,month_Mar,-3.796509468081262,1839,True
1,0.1,BTC,const,-9.085165732069909,1839,True
1,0.1,BTC,current_btc,2.2552613147469724,1839,True
1,0.1,BTC,current_refspread,0.8266257444546046,1839,True
1,0.1,BTC,down_pct,-0.917705074344747,1839,True
1,0.1,BTC,up_pct,0.32030168694088057,1839,True
1,0.1,BTC,btc_vol24,-0.2727992625701723,1839,True
1,0.1,BTC,ls_z,-1.5825242972305946,1839,True
1,0.1,BTC,usdt_range,0.2302468594694227,1839,True
1,0.1,BTC,venue_volume,-0.4120471264319694,1839,True
1,0.1,BTC,usdt_volume_surprise,0.021820849255992925,1839,True
1,0.1,BTC,usdt_unchanged,0.319576427640043,1839,True
1,0.1,BTC,hour_sin,0.7441804716472761,1839,True
1,0.1,BTC,hour_cos,0.25568925644204576,1839,True
1,0.1,BTC,weekend,1.7012132247745448,1839,True
1,0.1,BTC,down_x_ls,0.07277319672543014,1839,True
1,0.1,BTC,month_Feb,0.31358813945740854,1839,True
1,0.1,BTC,month_Mar,-2.7173659533322834,1839,True
