reference,spec,n,p,estimate_bp_per_week,hac_se,hac_p,hac_low95,hac_high95,equivalent_within_1bp_week,condition_number,low95,high95,p_centered,n_boot
ETH,unadjusted,57,3,0.057521072436467466,0.08353579814411578,0.4910876667070505,-0.10620608334580285,0.2212482282187378,True,12.951637546874622,-0.09246663884261853,0.2535834910886842,0.512,1999
ETH,controlled,57,10,-0.0015763257425977471,0.11887567069978817,0.9894201302283264,-0.23456835895221953,0.23141570746702403,True,19.215268095351835,-0.29694155206057615,0.2709307837532986,0.99,1999
XRP,unadjusted,57,3,0.09708120165762336,0.10507096488252966,0.3555079699646021,-0.1088541053330019,0.30301650864824864,True,12.951637546874622,-0.17009971602074916,0.343156655356104,0.3975,1999
XRP,controlled,57,10,0.02554204776729163,0.06503910249342203,0.6945275302243832,-0.10193225070662126,0.15301634624120453,True,20.508369681923046,-0.16423587593057007,0.20132674104218506,0.76,1999
SOL,unadjusted,57,3,0.07000093824458795,0.06096147916400178,0.25085237707973707,-0.049481365361141186,0.18948324185031706,True,12.951637546874622,-0.04804396844536674,0.22068139548602392,0.2965,1999
SOL,controlled,57,10,-0.06521178925441412,0.06700910153288106,0.3304647995994181,-0.1965472148952451,0.06612363638641686,True,21.633363704828128,-0.22354008791740243,0.15481304991904965,0.426,1999
