h,q,block_days,reference,term,contrast,estimate,primary,low95,high95,p_centered,n_boot,p_holm_24
1,0.0,5,BTC,down_pct,mean5_minus_BTC,-0.892447135006472,False,-2.2755504195466756,0.581330169446173,0.18455366098294884,1993,
1,0.0,5,BTC,ls_z,mean5_minus_BTC,-0.5429796513834755,False,-1.8035996785912658,0.39928318892752135,0.33099297893681046,1993,
1,0.0,5,BTC,down_x_ls,mean5_minus_BTC,1.2996133286995963,False,-0.3921681180021046,3.862932286794107,0.24122367101303913,1993,
1,0.0,5,ETH,down_pct,mean5_minus_ETH,-1.2069709905043875,False,-3.0833766599067443,0.3514289385189591,0.16349047141424272,1993,
1,0.0,5,ETH,ls_z,mean5_minus_ETH,0.46095619461833937,False,-0.6109240719169546,1.206824187791479,0.30842527582748247,1993,
1,0.0,5,ETH,down_x_ls,mean5_minus_ETH,0.6757010034243558,False,-0.8361103806734913,2.5848045055189215,0.421765295887663,1993,
1,0.0,5,median5,down_pct,mean5_minus_median5,-0.49674734985334923,False,-1.451348048623067,0.4735213538903861,0.29237713139418253,1993,
1,0.0,5,median5,ls_z,mean5_minus_median5,0.014447259724369,False,-0.7365093867538018,0.5028967271242533,0.9598796389167502,1993,
1,0.0,5,median5,down_x_ls,mean5_minus_median5,1.1302077684307896,False,0.18296817932851372,2.4407114516069455,0.057673019057171516,1993,
1,0.0,5,without_DOGE,down_pct,mean5_minus_without_DOGE,-0.6177074198383681,False,-1.7921273982532822,0.5186487041252444,0.28284854563691075,1993,
1,0.0,5,without_DOGE,ls_z,mean5_minus_without_DOGE,-0.04180604035696778,False,-0.9564732653043436,0.597352339541665,0.9092276830491475,1993,
1,0.0,5,without_DOGE,down_x_ls,mean5_minus_without_DOGE,0.9643843516181111,False,-0.09680225959546672,2.576864480528058,0.14794383149448345,1993,
6,0.0,5,BTC,down_pct,mean5_minus_BTC,2.3382266857304166,True,0.4678376476688941,3.759607248331909,0.011060834590246356,1988,0.24333836098541983
6,0.0,5,BTC,ls_z,mean5_minus_BTC,0.12706549902306977,True,-1.1584341784655068,1.199753747569826,0.8205128205128205,1988,1.0
6,0.0,5,BTC,down_x_ls,mean5_minus_BTC,-1.8775713997507526,True,-3.1371508985407357,-0.2342034659387245,0.015082956259426848,1988,0.30165912518853694
