window_days,reference,actual_change_bp,n_overlapping_windows,count_at_least_actual,count_absolute_at_least_actual,min_other_change_bp,max_other_change_bp
14,ETH,8.251860010092784,227,18,25,-9.143975374935613,13.11446555805404
14,XRP,8.73670986930794,227,14,22,-9.624438574322504,13.482864768940695
14,SOL,8.703060945183378,227,0,0,-4.996066830653993,8.330258236712137
28,ETH,7.988274581948863,171,7,7,-4.457364934910213,9.064267759304014
28,XRP,9.161125553673562,171,0,0,-4.718585307146977,9.123450938322785
28,SOL,8.605044695415735,171,0,0,-1.7020008296308529,8.04447649724099
