window_days,reference,spec,primary,n_before,n_after,p,mean_before,mean_after,estimate,hac_se,hac_p,hac_low95,hac_high95,condition_number,low95,high95,p_centered,n_boot
14,ETH,unadjusted,False,14,14,2,0.500514237510138,8.752374247602928,8.251860010092784,1.075663602480443,1.7011151539012954e-14,6.143598089750565,10.360121930435003,2.618033988749894,6.364215458248198,10.216139679090848,0.0005,1999
14,ETH,controlled,False,14,14,10,0.500514237510138,8.752374247602928,11.171609459383097,2.2092647693841063,4.265529348398033e-07,6.84153007907718,15.501688839689013,11.498120640122103,5.204671435151033,17.173583220590707,0.007,1999
14,ETH,controlled_trend,False,14,14,11,0.500514237510138,8.752374247602928,13.734950727085248,2.869811093062582,1.701277718109592e-06,8.110224342249218,19.35967711192128,14.316859572323162,-1.4288422691891067,20.811213333309034,0.039,1999
14,XRP,unadjusted,False,14,14,2,1.1535882417430214,9.890298111050969,8.73670986930794,0.8161496584961753,9.665061687619906e-27,7.137085932660817,10.336333805955064,2.618033988749894,7.249704825874185,10.22086527679393,0.0005,1999
14,XRP,controlled,False,14,14,10,1.1535882417430214,9.890298111050969,9.117079522693714,0.47991819112045253,1.8004835355780386e-80,8.176457152572043,10.057701892815386,7.034444073003722,5.35387433675465,10.516988276354448,0.0035,1999
14,XRP,controlled_trend,False,14,14,11,1.1535882417430214,9.890298111050969,10.615396186627505,2.108254192835858,4.774510430376034e-07,6.483293898413775,14.747498474841235,13.440629443956803,1.697632684902874,15.830075636048099,0.0135,1999
14,SOL,unadjusted,False,14,14,2,0.9388306656691433,9.641891610852523,8.703060945183378,1.0354201318411478,4.2661435778324743e-17,6.6736747779070695,10.732447112459685,2.618033988749894,6.984940637885384,10.478216830032736,0.0005,1999
14,SOL,controlled,False,14,14,10,0.9388306656691433,9.641891610852523,8.556187163214629,0.9090642583139731,4.8640592656730275e-21,6.774453957286674,10.337920369142584,7.2269988729023895,3.0183892993699883,10.43247751136189,0.006,1999
14,SOL,controlled_trend,False,14,14,11,0.9388306656691433,9.641891610852523,12.120731905090182,2.036170998943567,2.637412112849135e-09,8.129910080795955,16.111553729384408,10.827769568852622,-0.8060854107844649,18.190450511596364,0.0435,1999
28,ETH,unadjusted,False,28,28,2,0.6594018032513423,8.647676385200203,7.988274581948863,0.7736016065420264,5.3709099813802665e-25,6.472043294744207,9.504505869153519,2.6180339887498953,6.754424355583817,9.323023885397093,0.0005,1999
28,ETH,controlled,True,28,28,10,0.6594018032513423,8.647676385200203,10.149358241764562,1.8534155571457067,4.349752385692234e-08,6.516730501372837,13.781985982156286,10.757924991441886,6.8427381703156165,14.05181599777171,0.0005,1999
28,ETH,controlled_trend,False,28,28,11,0.6594018032513423,8.647676385200203,11.207600019025236,2.2597960149678147,7.065204303954055e-07,6.778481217281304,15.636718820769168,19.579891178770687,7.017117242184358,17.60971852741564,0.0035,1999
28,XRP,unadjusted,False,28,28,2,0.17526026679012677,9.336385820463686,9.161125553673562,0.7041723121824062,1.0765418118012747e-38,7.780973182885789,10.541277924461337,2.6180339887498953,7.9431990217722355,10.308633678673505,0.0005,1999
28,XRP,controlled,False,28,28,10,0.17526026679012677,9.336385820463686,9.99335314266789,0.7866774437635808,5.673070803278626e-37,8.451493685441282,11.5352125998945,5.699040546250111,8.099284970150295,11.471147830248857,0.0005,1999
