definition,q,beta_downside,p
EQ,0.1,-6.779,0.0
EQ,0.25,-11.435,0.0
EQ,0.5,-9.277,0.013
EQ,0.75,-5.531,0.067
EQ,0.9,-4.25,0.053
CAP,0.1,-8.815,0.12
CAP,0.25,-6.87,0.0
CAP,0.5,-4.214,0.013
CAP,0.75,-4.747,0.0
CAP,0.9,-6.378,0.067
PCA,0.1,-6.893,0.0
PCA,0.25,-10.935,0.0
PCA,0.5,-9.369,0.0
PCA,0.75,-5.05,0.033
PCA,0.9,-4.354,0.127
