checkpoint,max_replay_error_bp,causality_checked
linear_clean_20260910_2025-12.pt,1.9073486328125e-06,False
linear_clean_20260910_2026-01.pt,0.0,False
linear_clean_20260910_2026-02.pt,1.9073486328125e-06,False
linear_clean_20260910_2026-03.pt,0.0,False
linear_clean_20260911_2025-12.pt,1.9073486328125e-06,False
linear_clean_20260911_2026-01.pt,0.0,False
linear_clean_20260911_2026-02.pt,1.9073486328125e-06,False
linear_clean_20260911_2026-03.pt,0.0,False
linear_clean_20260912_2025-12.pt,3.814697265625e-06,False
linear_clean_20260912_2026-01.pt,0.0,False
linear_clean_20260912_2026-02.pt,1.9073486328125e-06,False
linear_clean_20260912_2026-03.pt,0.0,False
linear_shuffled_20260910_2025-12.pt,3.814697265625e-06,False
linear_shuffled_20260910_2026-01.pt,0.0,False
linear_shuffled_20260910_2026-02.pt,1.9073486328125e-06,False
linear_shuffled_20260910_2026-03.pt,0.0,False
linear_shuffled_20260911_2025-12.pt,2.1457672119140625e-06,False
linear_shuffled_20260911_2026-01.pt,0.0,False
linear_shuffled_20260911_2026-02.pt,1.9073486328125e-06,False
linear_shuffled_20260911_2026-03.pt,0.0,False
linear_shuffled_20260912_2025-12.pt,3.814697265625e-06,False
linear_shuffled_20260912_2026-01.pt,0.0,False
linear_shuffled_20260912_2026-02.pt,3.814697265625e-06,False
linear_shuffled_20260912_2026-03.pt,0.0,False
linear_tick_20260910_2025-12.pt,3.814697265625e-06,False
linear_tick_20260910_2026-01.pt,0.0,False
linear_tick_20260910_2026-02.pt,1.9073486328125e-06,False
linear_tick_20260910_2026-03.pt,0.0,False
linear_tick_20260911_2025-12.pt,2.0265579223632812e-06,False
linear_tick_20260911_2026-01.pt,0.0,False
linear_tick_20260911_2026-02.pt,1.9073486328125e-06,False
linear_tick_20260911_2026-03.pt,0.0,False
linear_tick_20260912_2025-12.pt,3.814697265625e-06,False
linear_tick_20260912_2026-01.pt,0.0,False
linear_tick_20260912_2026-02.pt,1.9073486328125e-06,False
linear_tick_20260912_2026-03.pt,0.0,False
tcn_clean_20260910_2025-12.pt,3.814697265625e-06,True
tcn_clean_20260910_2026-01.pt,9.5367431640625e-07,True
tcn_clean_20260910_2026-02.pt,1.9073486328125e-06,True
tcn_clean_20260910_2026-03.pt,1.9073486328125e-06,True
tcn_clean_20260911_2025-12.pt,1.9073486328125e-06,True
tcn_clean_20260911_2026-01.pt,3.814697265625e-06,True
tcn_clean_20260911_2026-02.pt,1.9073486328125e-06,True
tcn_clean_20260911_2026-03.pt,1.9073486328125e-06,True
tcn_clean_20260912_2025-12.pt,1.9073486328125e-06,True
tcn_clean_20260912_2026-01.pt,1.9073486328125e-06,True
tcn_clean_20260912_2026-02.pt,1.9073486328125e-06,True
tcn_clean_20260912_2026-03.pt,1.9073486328125e-06,True
tcn_shuffled_20260910_2025-12.pt,1.9073486328125e-06,True
tcn_shuffled_20260910_2026-01.pt,3.814697265625e-06,True
tcn_shuffled_20260910_2026-02.pt,1.9073486328125e-06,True
tcn_shuffled_20260910_2026-03.pt,1.9073486328125e-06,True
tcn_shuffled_20260911_2025-12.pt,3.814697265625e-06,True
tcn_shuffled_20260911_2026-01.pt,3.814697265625e-06,True
tcn_shuffled_20260911_2026-02.pt,1.9073486328125e-06,True
tcn_shuffled_20260911_2026-03.pt,1.9073486328125e-06,True
tcn_shuffled_20260912_2025-12.pt,1.9073486328125e-06,True
tcn_shuffled_20260912_2026-01.pt,9.5367431640625e-07,True
tcn_shuffled_20260912_2026-02.pt,1.9073486328125e-06,True
tcn_shuffled_20260912_2026-03.pt,3.814697265625e-06,True
tcn_tick_20260910_2025-12.pt,1.9073486328125e-06,True
tcn_tick_20260910_2026-01.pt,9.5367431640625e-07,True
tcn_tick_20260910_2026-02.pt,1.9073486328125e-06,True
tcn_tick_20260910_2026-03.pt,1.9073486328125e-06,True
tcn_tick_20260911_2025-12.pt,1.9073486328125e-06,True
tcn_tick_20260911_2026-01.pt,3.814697265625e-06,True
tcn_tick_20260911_2026-02.pt,1.9073486328125e-06,True
tcn_tick_20260911_2026-03.pt,1.9073486328125e-06,True
tcn_tick_20260912_2025-12.pt,1.9073486328125e-06,True
tcn_tick_20260912_2026-01.pt,1.9073486328125e-06,True
tcn_tick_20260912_2026-02.pt,1.9073486328125e-06,True
tcn_tick_20260912_2026-03.pt,1.9073486328125e-06,True
