month,n_train,n_inner,n_valid,n_forecast,days,last_training_target,first_forecast_origin
2025-12,2816,2144,666,736,31,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00
2026-01,3557,2888,663,699,30,2025-12-31 23:00:00+00:00,2026-01-02 21:00:00+00:00
2026-02,4251,3579,666,672,28,2026-01-31 23:00:00+00:00,2026-02-01 00:00:00+00:00
2026-03,4923,4251,666,443,19,2026-02-28 23:00:00+00:00,2026-03-01 00:00:00+00:00
