model,primary_model,n,days,q10_prediction_sd,q90_prediction_sd,clean_tail,clean_q10,coverage80,width80,worst_tail_h1,sensitivity_h1,worst_tail_h6,sensitivity_h6,worst_tail_h24,sensitivity_h24
tcn_clean_20260910_raw,False,1814,77,2.5729996101304895,1.862589846729294,1.7036724961305827,1.638922217724639,0.7348401323042999,22.321923137499716,1.7665714886838884,0.6183469989465379,1.8308817775479582,1.3041056301259941,1.8699450480603907,1.7320089837024861
tcn_clean_20260910_cal,False,1814,77,2.893767158995313,2.6594530063832216,1.6899620467803704,1.637579132438635,0.7993384785005513,25.496799782305924,1.742330280965881,0.6183469989465379,1.796986555743234,1.3041056301259941,1.830391236437639,1.7320089837024861
tcn_clean_20260911_raw,False,1814,77,4.113977478972065,1.9614191665805134,1.718919417377715,1.6641201925645812,0.7811466372657111,24.927574312542344,1.8064974766349329,1.2136384852008757,1.9374002264193204,3.1228948517434523,1.9796348829201027,3.7154178075254163
tcn_clean_20260911_cal,False,1814,77,3.5445323585289925,2.992006844416774,1.7054921341555234,1.6546453033215502,0.8065049614112458,25.799628879255533,1.7911518334824543,1.2136384852008757,1.917109531034512,3.1228948517434523,1.9575786945443847,3.7154178075254163
tcn_clean_20260912_raw,False,1814,77,2.540735934931606,1.6712992465962713,1.6595642738866832,1.6229399238455988,0.7750826901874311,23.731125379870456,1.7451855266422358,1.1459063295492657,1.8498273131550078,2.724016386723965,1.8898449748883364,3.3198722000290304
tcn_clean_20260912_cal,False,1814,77,2.8850287150034606,2.0009627536164287,1.6610134343089773,1.6222478074606055,0.7965821389195149,25.160385552403906,1.738718049181337,1.1459063295492657,1.8387167689241446,2.724016386723965,1.8764504195901843,3.3198722000290304
tcn_clean_ensemble_raw,True,1814,77,2.873543300265066,1.6675468261947304,1.6740940588243776,1.6127197741888548,0.7673649393605292,23.66020760997084,1.750612750222821,0.9599491791092529,1.8515508050308551,2.309184638860689,1.8904261048445128,2.7835374503221555
tcn_clean_ensemble_cal,True,1814,77,2.8998920667676593,2.4693476978746727,1.6735002050449213,1.618901845386,0.7998897464167586,25.438293085484812,1.7435069721922112,0.959949179109253,1.8381718355469936,2.3091846388606894,1.873919551490693,2.7835374503221555
tcn_shuffled_20260910_raw,False,1814,77,2.827759376505656,2.297465942582579,1.7116987859765058,1.6443999754408083,0.7508269018743109,22.780991068485683,1.797514855712594,0.9152651185369018,1.9010614779937722,2.13214165767472,1.956907325116955,2.7589393227208148
tcn_shuffled_20260910_cal,False,1814,77,2.7721425870276266,3.2684277878336525,1.6950197279098949,1.6388854096397207,0.7954796030871003,25.237556373517545,1.7721647070172564,0.9152651185369018,1.8636822453094495,2.13214165767472,1.9132529413436115,2.7589393227208148
tcn_shuffled_20260911_raw,False,1814,77,3.6621491293864263,2.0636688902853355,1.7098904548934035,1.6421003506911704,0.7783902976846747,24.59210542531103,1.7971963816107204,1.1706226547602914,1.9025952658479834,2.6316708514288214,1.9403792481348705,3.192689053673203
tcn_shuffled_20260911_cal,False,1814,77,3.777472020395668,3.1610276472005947,1.7149758571998193,1.6496325326758348,0.7894156560088202,25.26418484921202,1.80243527034405,1.1706226547602914,1.9078703788007967,2.6316708514288214,1.945834801709487,3.192689053673203
tcn_shuffled_20260912_raw,False,1814,77,2.4101491846626755,1.4898899880082523,1.6563296414352549,1.6208154434388409,0.7662624035281147,23.401480500858437,1.7394706313679176,1.0437099000453423,1.8286980140763207,2.269975966629146,1.8638650689311222,2.771487431594529
tcn_shuffled_20260912_cal,False,1814,77,2.806698682839695,1.8040338207768267,1.6545450118438068,1.6168289553715223,0.7943770672546858,24.888406604502112,1.7289378218238143,1.0437099000453423,1.8133049823249379,2.269975966629146,1.8462346832881493,2.771487431594529
tcn_shuffled_ensemble_raw,True,1814,77,2.767652884544329,1.6906858057708793,1.6772099793711448,1.6188697452591714,0.7712238147739802,23.591525664885047,1.7588955161386455,1.0183107781086018,1.8586251359917367,2.3187304253702608,1.9006482308412576,2.8552219863325217
tcn_shuffled_ensemble_cal,True,1814,77,2.879483958922319,2.625150406536686,1.6757051031549082,1.6195202513666351,0.7921719955898566,25.027240013455774,1.7528236246074649,1.0183107781086018,1.846384453723951,2.318730425370261,1.8857744977310458,2.8552219863325217
tcn_tick_20260910_raw,False,1814,77,2.727366446463663,1.7443245360867974,1.6992277716678463,1.6295405912324077,0.7364939360529217,22.44602602187959,1.7612874831259728,0.6615170225944645,1.8343656731003772,1.5072764156934577,1.8692805960721286,1.84282002874877
tcn_tick_20260910_cal,False,1814,77,3.009335116055059,2.568981750512794,1.6860002457651204,1.6314999082235173,0.7998897464167586,25.509574462972697,1.7393175644018999,0.6615170225944645,1.803183899277928,1.5072764156934577,1.8332113164558643,1.84282002874877
