model,month,n_train,n_forecast,last_training_target,first_test_origin
exact_qr,2025-12,2816,736,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00
lgbm,2025-12,2816,736,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00
exact_qr,2026-01,3557,699,2025-12-31 23:00:00+00:00,2026-01-02 21:00:00+00:00
lgbm,2026-01,3557,699,2025-12-31 23:00:00+00:00,2026-01-02 21:00:00+00:00
exact_qr,2026-02,4251,672,2026-01-31 23:00:00+00:00,2026-02-01 00:00:00+00:00
lgbm,2026-02,4251,672,2026-01-31 23:00:00+00:00,2026-02-01 00:00:00+00:00
exact_qr,2026-03,4923,443,2026-02-28 23:00:00+00:00,2026-03-01 00:00:00+00:00
lgbm,2026-03,4923,443,2026-02-28 23:00:00+00:00,2026-03-01 00:00:00+00:00
