model,scenario,tail_loss,q10_loss,sensitivity_bp,signed_q10_change,signed_q90_change
tcn_clean_ensemble_cal,clean,1.6735002047292875,1.6189018442192866,0.0,0.0,0.0
tcn_clean_ensemble_cal,h1_BTC_-1,1.6735212750172168,1.6189407136764682,0.0032219505625496626,0.0032218459422690866,0.001058434178311349
tcn_clean_ensemble_cal,h1_BTC_+1,1.6734798762201768,1.6188636909641565,0.0032226829045136946,-0.0032225782842331186,-0.0010577764900148638
tcn_clean_ensemble_cal,h1_ETH_-1,1.6734164947387817,1.618962401634515,0.0730434315732979,0.06957734748310396,0.03397464673337758
tcn_clean_ensemble_cal,h1_ETH_+1,1.6737122644659939,1.6188920302386958,0.07589499164442506,-0.0729164585651873,-0.034611798962526835
tcn_clean_ensemble_cal,h1_XRP_-1,1.67229674017606,1.6170102035888183,0.07364744283135696,0.0274991621124705,0.05427927061373238
tcn_clean_ensemble_cal,h1_XRP_+1,1.674624611626799,1.6203302425234172,0.07427860515514571,-0.03340999846158769,-0.05646134500598171
tcn_clean_ensemble_cal,h1_SOL_-1,1.675016573018217,1.6219834495321814,0.22663830002192756,0.22663405632893857,0.10960462127525725
tcn_clean_ensemble_cal,h1_SOL_+1,1.6729359413700184,1.617834947959163,0.2508593541390315,-0.2508593541390315,-0.11911116269352418
tcn_clean_ensemble_cal,h1_DOGE_-1,1.6705917056485542,1.6183211488925726,0.4152520099837567,0.32756332841177105,0.10626724641667443
tcn_clean_ensemble_cal,h1_DOGE_+1,1.679106446606247,1.624425826297961,0.9535136866858671,-0.9461646929071126,-0.30780587372469664
tcn_clean_ensemble_cal,h6_BTC_-1,1.67357424251722,1.6190219347638388,0.007376728404843163,0.0073763015120400085,0.0026070890247887526
tcn_clean_ensemble_cal,h6_BTC_+1,1.6734275475873337,1.6187832530305593,0.007388425635660628,-0.0073880302866606625,-0.002608672260843801
tcn_clean_ensemble_cal,h6_ETH_-1,1.6737377583475983,1.619614514724786,0.15130622778601263,0.14345647534304182,0.06835038711901142
tcn_clean_ensemble_cal,h6_ETH_+1,1.67370358163165,1.6187442459534154,0.15939197414107992,-0.15283401430376048,-0.06975538386268153
tcn_clean_ensemble_cal,h6_XRP_-1,1.6720800825002449,1.6167293404699712,0.14875033987396477,0.10684356773569934,0.09009114252824374
tcn_clean_ensemble_cal,h6_XRP_+1,1.6750740046233885,1.6209215489073945,0.15688034218490585,-0.12163063341622316,-0.09367107162139118
tcn_clean_ensemble_cal,h6_SOL_-1,1.6780664574578286,1.6283222521112415,0.45495915964919387,0.45495915964919387,0.16141084562720118
tcn_clean_ensemble_cal,h6_SOL_+1,1.6730625207115815,1.61752309436866,0.5363839256198298,-0.5363839256198298,-0.18514784825544767
tcn_clean_ensemble_cal,h6_DOGE_-1,1.674794736726717,1.6274775451511696,0.8509927734387618,0.810379854242226,0.25020053999163744
tcn_clean_ensemble_cal,h6_DOGE_+1,1.7047458435975766,1.6634789198364333,2.3081312334655797,-2.298583667885508,-0.6085009300196184
tcn_clean_ensemble_cal,h24_BTC_-1,1.6735987764067428,1.6190623635363586,0.009401627911753797,0.009401627911753797,0.0031926466322523494
tcn_clean_ensemble_cal,h24_BTC_+1,1.6734031648320586,1.618743251045697,0.00941601582898326,-0.00941601582898326,-0.003193916270330696
tcn_clean_ensemble_cal,h24_ETH_-1,1.674092961196889,1.6201875910852266,0.19169602267928793,0.18538575924218292,0.08180479677404301
tcn_clean_ensemble_cal,h24_ETH_+1,1.673598028259965,1.618594654068683,0.20237323020758413,-0.1970289471131044,-0.08336379825083134
tcn_clean_ensemble_cal,h24_XRP_-1,1.672432908500499,1.6171912177288152,0.1900909830217456,0.1584221601749071,0.10943805185673387
tcn_clean_ensemble_cal,h24_XRP_+1,1.6750585877679975,1.6210034177750166,0.20338074191008276,-0.1764719354804059,-0.11347810633258756
tcn_clean_ensemble_cal,h24_SOL_-1,1.6790136839918897,1.630512994571812,0.5479955391952195,0.5479955391952195,0.18471700800818935
tcn_clean_ensemble_cal,h24_SOL_+1,1.6737251667183368,1.6181510145355162,0.6497487159653299,-0.6497309326205521,-0.21086550179495175
tcn_clean_ensemble_cal,h24_DOGE_-1,1.6744186441828608,1.6273232668930868,1.0176383231940054,0.9564638931669763,0.2814652047057399
tcn_clean_ensemble_cal,h24_DOGE_+1,1.7212317215254958,1.6881209973465228,2.7819116157628474,-2.7409010842984673,-0.6932811210016169
tcn_shuffled_ensemble_cal,clean,1.6757051020227136,1.6195202496097998,0.0,0.0,0.0
tcn_shuffled_ensemble_cal,h1_BTC_-1,1.6757268497203883,1.6195570986338144,0.0029952589180135673,0.0029951358971811314,0.0012163431142367496
tcn_shuffled_ensemble_cal,h1_BTC_+1,1.6756840597430527,1.6194843147777747,0.0029972361887434483,-0.0029971173737514374,-0.0012161489884146255
tcn_shuffled_ensemble_cal,h1_ETH_-1,1.6757217795855734,1.6198561051290965,0.06504403506513468,0.06153641830074222,0.03281313056062574
tcn_shuffled_ensemble_cal,h1_ETH_+1,1.6758538851788891,1.6192747761807191,0.06712426792300391,-0.06440971914962214,-0.03297816405879886
tcn_shuffled_ensemble_cal,h1_XRP_-1,1.6748716102411634,1.6185128621047962,0.07091727948109922,0.040664894183914876,0.05699197814903554
tcn_shuffled_ensemble_cal,h1_XRP_+1,1.6764518670170343,1.61998702997689,0.07240214618590333,-0.04647357303489004,-0.058874532432514094
tcn_shuffled_ensemble_cal,h1_SOL_-1,1.6775713165982518,1.6231617180435034,0.2382952593915912,0.23826639392015822,0.12075076936492583
tcn_shuffled_ensemble_cal,h1_SOL_+1,1.6740598077877884,1.6163609653840512,0.2607688530540256,-0.2607558131086524,-0.12970258448326338
tcn_shuffled_ensemble_cal,h1_DOGE_-1,1.6751659531359215,1.621982657113774,0.47397569968655723,0.4438924471362029,0.20571343704253073
tcn_shuffled_ensemble_cal,h1_DOGE_+1,1.6783921767689316,1.6191462944990684,1.0143637736025035,-1.0121764908026176,-0.3763996805613727
tcn_shuffled_ensemble_cal,h6_BTC_-1,1.6757835779514672,1.6196249592119116,0.007338479966286656,0.0073351544608354835,0.003214318145070607
tcn_shuffled_ensemble_cal,h6_BTC_+1,1.675627322422455,1.6194166618874137,0.007355159277952755,-0.007352228070041442,-0.0032198906207689245
tcn_shuffled_ensemble_cal,h6_ETH_-1,1.675810185358995,1.6202396909979826,0.13710972729170862,0.1305167848509228,0.06568817726963805
tcn_shuffled_ensemble_cal,h6_ETH_+1,1.6758983906258582,1.6191399759075753,0.14308106334101667,-0.13755538708057005,-0.06648891592498914
tcn_shuffled_ensemble_cal,h6_XRP_-1,1.6750711494581865,1.6190011724355025,0.15417154700122568,0.12972686466860534,0.10103721313728913
tcn_shuffled_ensemble_cal,h6_XRP_+1,1.6764093428812235,1.6198020831377324,0.16340015715248923,-0.14214926885796225,-0.10458018629921574
tcn_shuffled_ensemble_cal,h6_SOL_-1,1.6800924128036283,1.6282850700314038,0.4687774333827682,0.4687693061218766,0.18833349176909459
tcn_shuffled_ensemble_cal,h6_SOL_+1,1.6736221210091708,1.6153204036806321,0.545557036552303,-0.5455501741979193,-0.21436185768447086
tcn_shuffled_ensemble_cal,h6_DOGE_-1,1.6812761378035042,1.6331874926440664,0.9865710446169516,0.9801607773348673,0.3928142868828484
tcn_shuffled_ensemble_cal,h6_DOGE_+1,1.6999586607115638,1.6529820585797792,2.3170049132690935,-2.3090094542161634,-0.7621925534329315
tcn_shuffled_ensemble_cal,h24_BTC_-1,1.6758190519022411,1.6196795025483195,0.009530886005540404,0.009529789332649542,0.004001256649391654
tcn_shuffled_ensemble_cal,h24_BTC_+1,1.6755941941477455,1.6193671585673066,0.009556281132892579,-0.009555341390422582,-0.00401080995305239
tcn_shuffled_ensemble_cal,h24_ETH_-1,1.6760937287425448,1.6207044432536315,0.17516683927575966,0.17042314546242307,0.07958174895293921
tcn_shuffled_ensemble_cal,h24_ETH_+1,1.6756938475455723,1.6188273298256712,0.18370091192251792,-0.17971381568067524,-0.08076652868054274
tcn_shuffled_ensemble_cal,h24_XRP_-1,1.675580436816867,1.6197283841679568,0.20260055982553973,0.1831617586667903,0.12429031989277395
tcn_shuffled_ensemble_cal,h24_XRP_+1,1.6761044019427018,1.6194236144211165,0.21683418133030127,-0.19948874445182355,-0.12895415071089975
tcn_shuffled_ensemble_cal,h24_SOL_-1,1.681170077709036,1.6303989635869116,0.5647378511965078,0.5647378511965078,0.22104677935813727
tcn_shuffled_ensemble_cal,h24_SOL_+1,1.673731755395148,1.615354905398819,0.668678330744246,-0.668678330744246,-0.2550185549482621
tcn_shuffled_ensemble_cal,h24_DOGE_-1,1.683172796667586,1.6368786287871762,1.1665422469541809,1.1570040391061902,0.4509077796336703
tcn_shuffled_ensemble_cal,h24_DOGE_+1,1.7166798442478455,1.6788913841800703,2.850591984972801,-2.82912545351367,-0.9009109661886684
tcn_tick_ensemble_cal,clean,1.6778111322303395,1.6188088782985797,0.0,0.0,0.0
tcn_tick_ensemble_cal,h1_BTC_-1,1.6778447753787766,1.6188689655109707,0.0034294580545814455,0.003429290346694492,0.0011859208246838824
tcn_tick_ensemble_cal,h1_BTC_+1,1.6777778915611166,1.61874894898921,0.0034320070567441224,-0.0034318262056058403,-0.0011866974594048917
tcn_tick_ensemble_cal,h1_ETH_-1,1.6775851759870781,1.618840305669655,0.06361915494798957,0.06158792696556419,0.027953522733711485
tcn_tick_ensemble_cal,h1_ETH_+1,1.6782431999515146,1.6189120854346428,0.06595884031865668,-0.06426688302575294,-0.028188112552268503
tcn_tick_ensemble_cal,h1_XRP_-1,1.6769624446290832,1.617505547702731,0.06579383941574686,0.03378189806112775,0.05552823435773923
tcn_tick_ensemble_cal,h1_XRP_+1,1.6787272075971582,1.6197479092371072,0.06719678423501954,-0.03903273710736629,-0.05703294264047911
tcn_tick_ensemble_cal,h1_SOL_-1,1.6798779535572888,1.622672473972131,0.2301035016742273,0.2300784821809981,0.11148730843700674
tcn_tick_ensemble_cal,h1_SOL_+1,1.6764119229502439,1.6160100328378513,0.25164442498733874,-0.25162284008854674,-0.12008169585840968
tcn_tick_ensemble_cal,h1_DOGE_-1,1.6741708322343944,1.6171487726748477,0.4040893575190972,0.300952227665019,0.10858175378650131
tcn_tick_ensemble_cal,h1_DOGE_+1,1.683898759255842,1.6219927780995542,0.8495501646527645,-0.830929184958848,-0.2578848781764442
tcn_tick_ensemble_cal,h6_BTC_-1,1.6779175700594786,1.6189749783978846,0.007584752689517188,0.007584051365626292,0.0029872244484763686
tcn_tick_ensemble_cal,h6_BTC_+1,1.6777059553222897,1.6186444950674925,0.007605989817879034,-0.007605332129582549,-0.002993861396099793
