model,coin,share_tied_for_largest_positive_loss_increase
tcn_clean_ensemble_cal,BTC,0.0
tcn_clean_ensemble_cal,ETH,0.0
tcn_clean_ensemble_cal,XRP,0.0016538037486218302
tcn_clean_ensemble_cal,SOL,0.07938257993384785
tcn_clean_ensemble_cal,DOGE,0.9189636163175303
tcn_shuffled_ensemble_cal,BTC,0.0
tcn_shuffled_ensemble_cal,ETH,0.0
tcn_shuffled_ensemble_cal,XRP,0.0011025358324145535
tcn_shuffled_ensemble_cal,SOL,0.06835722160970231
tcn_shuffled_ensemble_cal,DOGE,0.9305402425578831
tcn_tick_ensemble_cal,BTC,0.0
tcn_tick_ensemble_cal,ETH,0.0016538037486218302
tcn_tick_ensemble_cal,XRP,0.0011025358324145535
tcn_tick_ensemble_cal,SOL,0.08654906284454245
tcn_tick_ensemble_cal,DOGE,0.9106945975744212
linear_clean_ensemble_cal,BTC,0.0
linear_clean_ensemble_cal,ETH,0.0
linear_clean_ensemble_cal,XRP,0.0011025358324145535
linear_clean_ensemble_cal,SOL,0.09206174200661521
linear_clean_ensemble_cal,DOGE,0.9068357221609702
linear_shuffled_ensemble_cal,BTC,0.0
linear_shuffled_ensemble_cal,ETH,0.0
linear_shuffled_ensemble_cal,XRP,0.0
linear_shuffled_ensemble_cal,SOL,0.07993384785005513
linear_shuffled_ensemble_cal,DOGE,0.9200661521499449
linear_tick_ensemble_cal,BTC,0.0
linear_tick_ensemble_cal,ETH,0.0
linear_tick_ensemble_cal,XRP,0.0011025358324145535
linear_tick_ensemble_cal,SOL,0.09867695700110253
linear_tick_ensemble_cal,DOGE,0.9002205071664829
exact_qr_cal,BTC,0.0
exact_qr_cal,ETH,0.0
exact_qr_cal,XRP,0.0
exact_qr_cal,SOL,0.023704520396912898
exact_qr_cal,DOGE,0.976295479603087
lgbm_cal,BTC,0.0033076074972436605
lgbm_cal,ETH,0.03362734288864388
lgbm_cal,XRP,0.03307607497243661
lgbm_cal,SOL,0.09757442116868799
lgbm_cal,DOGE,0.8307607497243661
