model,primary_model,month,n,clean_tail,clean_q10,coverage80,width80,worst_tail_h1,sensitivity_h1,worst_tail_h6,sensitivity_h6,worst_tail_h24,sensitivity_h24
tcn_clean_20260910_raw,False,2026-01,699,1.4179865215368976,1.3814447717269638,0.759656652360515,19.702073693445993,1.4389493774193056,0.20768066400792637,1.443109809047881,0.2532338693588759,1.4460139069056586,0.284625438832077
tcn_clean_20260910_raw,False,2026-02,672,1.923494354057429,1.7922691903305652,0.6949404761904762,22.710205785930157,2.027427083834642,1.0321017702420552,2.1637472794009565,2.493778484208243,2.25070592232762,3.412750459852673
tcn_clean_20260910_raw,False,2026-03,443,1.8209957641083383,1.8125736153797016,0.7562076749435666,25.866728603974423,1.887819560540856,0.6386913822682124,1.9378050026864206,1.1576027019836563,1.961269111626033,1.4662365816516747
tcn_clean_20260910_cal,False,2026-01,699,1.4297598996541283,1.3722025490039775,0.8097281831187411,21.818825893563147,1.4477817179896884,0.20768066400792637,1.4511301744349645,0.2532338693588759,1.453546911233339,0.284625438832077
tcn_clean_20260910_cal,False,2026-02,672,1.8519298084173257,1.812920066572906,0.7723214285714286,26.247154875288008,1.939592660842329,1.0321017702420552,2.0540679066512246,2.493778484208243,2.1278852560433044,3.412750459852673
tcn_clean_20260910_cal,False,2026-03,443,1.8548355569862613,1.7903311055370452,0.8239277652370203,30.16195807970376,1.9078587826439515,0.6386913822682124,1.9527313474459667,1.1576027019836563,1.973728035857049,1.4662365816516747
tcn_clean_20260911_raw,False,2026-01,699,1.394503473210403,1.3554640279921661,0.8254649499284692,22.015064459843014,1.4794439496783105,1.3327086145785745,1.6096078897461645,3.470061109812986,1.6667157423280865,4.450476722144262
tcn_clean_20260911_raw,False,2026-02,672,2.0012237973751974,1.9231048293357045,0.7351190476190477,26.730429122845333,2.086879179432736,1.0455938620226723,2.236789755847867,2.8954244412126995,2.2907631525111443,3.5977179251966023
tcn_clean_20260911_raw,False,2026-03,443,1.802572242692936,1.758280425354474,0.781038374717833,26.78835524823811,1.8972286528483762,1.280672269265754,2.000463611427341,2.920165509725532,2.001423330117935,2.734126926275731
tcn_clean_20260911_cal,False,2026-01,699,1.4258024370495261,1.3614833599206995,0.8497854077253219,23.33262789474496,1.5065651345088156,1.3327086145785745,1.630586041396787,3.470061109812986,1.6866489321397962,4.450476722144262
tcn_clean_20260911_cal,False,2026-02,672,1.8762581420530622,1.8324709331023668,0.7782738095238095,26.822291981160113,1.956118583285846,1.0455938620226723,2.09606230724049,2.8954244412126995,2.149095432868683,3.5977179251966023
tcn_clean_20260911_cal,False,2026-03,443,1.8877682988732345,1.8474700780946562,0.781038374717833,28.140947352603206,1.9899519389332303,1.280672269265754,2.0977498327192814,2.920165509725532,2.094555344131018,2.734126926275731
tcn_clean_20260912_raw,False,2026-01,699,1.395407017489792,1.3429672888454234,0.8068669527896996,21.308709452933336,1.4249950605494925,0.443758823329287,1.44677974936156,0.8323025109941867,1.4601220690821348,1.064343909507828
tcn_clean_20260912_raw,False,2026-02,672,1.8200411260058906,1.7793817781883579,0.75,24.78904941713526,1.9426168550141918,1.4212849182741982,2.120214118945243,3.9853815195106326,2.2043482568283577,5.289385875066121
tcn_clean_20260912_raw,False,2026-03,443,1.8329400698174274,1.8273912686464753,0.7629796839729119,25.948605695642684,1.9509175427435297,1.8360794564671226,2.0756293754588047,3.79550765061217,2.0908158681046802,3.891206478695837
tcn_clean_20260912_cal,False,2026-01,699,1.4143375847471535,1.3525523324123518,0.8111587982832618,22.122506661525506,1.4417507264429525,0.443758823329287,1.462873056874546,0.8323025109941867,1.4747164485945226,1.064343909507828
tcn_clean_20260912_cal,False,2026-02,672,1.7999950902736355,1.7814266852504712,0.7752976190476191,26.106621226262387,1.909871885080481,1.4212849182741982,2.075727763371426,3.9853815195106326,2.1551125629173713,5.289385875066121
tcn_clean_20260912_cal,False,2026-03,443,1.8394124095583335,1.8063311735643064,0.8058690744920993,28.518414834325128,1.947667893131463,1.8360794564671226,2.0722232394751514,3.79550765061217,2.087626684624265,3.891206478695837
