model,month,epochs,n_train,n_inner,n_valid,n_forecast,n_parameters,last_training_target,first_test_origin
tcn_clean_20260910,2025-12,2,2816,2144,666,736,5923,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00
tcn_clean_20260911,2025-12,10,2816,2144,666,736,5923,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00
tcn_clean_20260912,2025-12,2,2816,2144,666,736,5923,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00
tcn_shuffled_20260910,2025-12,2,2816,2144,666,736,5923,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00
tcn_shuffled_20260911,2025-12,2,2816,2144,666,736,5923,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00
tcn_shuffled_20260912,2025-12,2,2816,2144,666,736,5923,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00
tcn_tick_20260910,2025-12,2,2816,2144,666,736,5923,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00
tcn_tick_20260911,2025-12,10,2816,2144,666,736,5923,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00
tcn_tick_20260912,2025-12,2,2816,2144,666,736,5923,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00
linear_clean_20260910,2025-12,1,2816,2144,666,736,273,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00
linear_clean_20260911,2025-12,2,2816,2144,666,736,273,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00
linear_clean_20260912,2025-12,5,2816,2144,666,736,273,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00
linear_shuffled_20260910,2025-12,1,2816,2144,666,736,273,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00
linear_shuffled_20260911,2025-12,2,2816,2144,666,736,273,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00
linear_shuffled_20260912,2025-12,5,2816,2144,666,736,273,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00
linear_tick_20260910,2025-12,1,2816,2144,666,736,273,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00
linear_tick_20260911,2025-12,2,2816,2144,666,736,273,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00
linear_tick_20260912,2025-12,2,2816,2144,666,736,273,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00
tcn_clean_20260910,2026-01,1,3557,2888,663,699,5923,2025-12-31 23:00:00+00:00,2026-01-02 21:00:00+00:00
tcn_clean_20260911,2026-01,4,3557,2888,663,699,5923,2025-12-31 23:00:00+00:00,2026-01-02 21:00:00+00:00
tcn_clean_20260912,2026-01,1,3557,2888,663,699,5923,2025-12-31 23:00:00+00:00,2026-01-02 21:00:00+00:00
tcn_shuffled_20260910,2026-01,6,3557,2888,663,699,5923,2025-12-31 23:00:00+00:00,2026-01-02 21:00:00+00:00
tcn_shuffled_20260911,2026-01,6,3557,2888,663,699,5923,2025-12-31 23:00:00+00:00,2026-01-02 21:00:00+00:00
tcn_shuffled_20260912,2026-01,1,3557,2888,663,699,5923,2025-12-31 23:00:00+00:00,2026-01-02 21:00:00+00:00
tcn_tick_20260910,2026-01,1,3557,2888,663,699,5923,2025-12-31 23:00:00+00:00,2026-01-02 21:00:00+00:00
tcn_tick_20260911,2026-01,6,3557,2888,663,699,5923,2025-12-31 23:00:00+00:00,2026-01-02 21:00:00+00:00
tcn_tick_20260912,2026-01,1,3557,2888,663,699,5923,2025-12-31 23:00:00+00:00,2026-01-02 21:00:00+00:00
linear_clean_20260910,2026-01,2,3557,2888,663,699,273,2025-12-31 23:00:00+00:00,2026-01-02 21:00:00+00:00
linear_clean_20260911,2026-01,2,3557,2888,663,699,273,2025-12-31 23:00:00+00:00,2026-01-02 21:00:00+00:00
linear_clean_20260912,2026-01,1,3557,2888,663,699,273,2025-12-31 23:00:00+00:00,2026-01-02 21:00:00+00:00
linear_shuffled_20260910,2026-01,2,3557,2888,663,699,273,2025-12-31 23:00:00+00:00,2026-01-02 21:00:00+00:00
linear_shuffled_20260911,2026-01,1,3557,2888,663,699,273,2025-12-31 23:00:00+00:00,2026-01-02 21:00:00+00:00
linear_shuffled_20260912,2026-01,1,3557,2888,663,699,273,2025-12-31 23:00:00+00:00,2026-01-02 21:00:00+00:00
linear_tick_20260910,2026-01,2,3557,2888,663,699,273,2025-12-31 23:00:00+00:00,2026-01-02 21:00:00+00:00
linear_tick_20260911,2026-01,1,3557,2888,663,699,273,2025-12-31 23:00:00+00:00,2026-01-02 21:00:00+00:00
linear_tick_20260912,2026-01,1,3557,2888,663,699,273,2025-12-31 23:00:00+00:00,2026-01-02 21:00:00+00:00
tcn_clean_20260910,2026-02,2,4251,3579,666,672,5923,2026-01-31 23:00:00+00:00,2026-02-01 00:00:00+00:00
tcn_clean_20260911,2026-02,2,4251,3579,666,672,5923,2026-01-31 23:00:00+00:00,2026-02-01 00:00:00+00:00
tcn_clean_20260912,2026-02,2,4251,3579,666,672,5923,2026-01-31 23:00:00+00:00,2026-02-01 00:00:00+00:00
tcn_shuffled_20260910,2026-02,2,4251,3579,666,672,5923,2026-01-31 23:00:00+00:00,2026-02-01 00:00:00+00:00
tcn_shuffled_20260911,2026-02,2,4251,3579,666,672,5923,2026-01-31 23:00:00+00:00,2026-02-01 00:00:00+00:00
tcn_shuffled_20260912,2026-02,2,4251,3579,666,672,5923,2026-01-31 23:00:00+00:00,2026-02-01 00:00:00+00:00
tcn_tick_20260910,2026-02,2,4251,3579,666,672,5923,2026-01-31 23:00:00+00:00,2026-02-01 00:00:00+00:00
tcn_tick_20260911,2026-02,2,4251,3579,666,672,5923,2026-01-31 23:00:00+00:00,2026-02-01 00:00:00+00:00
tcn_tick_20260912,2026-02,2,4251,3579,666,672,5923,2026-01-31 23:00:00+00:00,2026-02-01 00:00:00+00:00
linear_clean_20260910,2026-02,1,4251,3579,666,672,273,2026-01-31 23:00:00+00:00,2026-02-01 00:00:00+00:00
linear_clean_20260911,2026-02,1,4251,3579,666,672,273,2026-01-31 23:00:00+00:00,2026-02-01 00:00:00+00:00
linear_clean_20260912,2026-02,2,4251,3579,666,672,273,2026-01-31 23:00:00+00:00,2026-02-01 00:00:00+00:00
linear_shuffled_20260910,2026-02,1,4251,3579,666,672,273,2026-01-31 23:00:00+00:00,2026-02-01 00:00:00+00:00
linear_shuffled_20260911,2026-02,1,4251,3579,666,672,273,2026-01-31 23:00:00+00:00,2026-02-01 00:00:00+00:00
linear_shuffled_20260912,2026-02,2,4251,3579,666,672,273,2026-01-31 23:00:00+00:00,2026-02-01 00:00:00+00:00
linear_tick_20260910,2026-02,1,4251,3579,666,672,273,2026-01-31 23:00:00+00:00,2026-02-01 00:00:00+00:00
linear_tick_20260911,2026-02,1,4251,3579,666,672,273,2026-01-31 23:00:00+00:00,2026-02-01 00:00:00+00:00
linear_tick_20260912,2026-02,2,4251,3579,666,672,273,2026-01-31 23:00:00+00:00,2026-02-01 00:00:00+00:00
tcn_clean_20260910,2026-03,13,4923,4251,666,443,5923,2026-02-28 23:00:00+00:00,2026-03-01 00:00:00+00:00
tcn_clean_20260911,2026-03,10,4923,4251,666,443,5923,2026-02-28 23:00:00+00:00,2026-03-01 00:00:00+00:00
tcn_clean_20260912,2026-03,7,4923,4251,666,443,5923,2026-02-28 23:00:00+00:00,2026-03-01 00:00:00+00:00
tcn_shuffled_20260910,2026-03,9,4923,4251,666,443,5923,2026-02-28 23:00:00+00:00,2026-03-01 00:00:00+00:00
tcn_shuffled_20260911,2026-03,8,4923,4251,666,443,5923,2026-02-28 23:00:00+00:00,2026-03-01 00:00:00+00:00
tcn_shuffled_20260912,2026-03,10,4923,4251,666,443,5923,2026-02-28 23:00:00+00:00,2026-03-01 00:00:00+00:00
tcn_tick_20260910,2026-03,7,4923,4251,666,443,5923,2026-02-28 23:00:00+00:00,2026-03-01 00:00:00+00:00
tcn_tick_20260911,2026-03,7,4923,4251,666,443,5923,2026-02-28 23:00:00+00:00,2026-03-01 00:00:00+00:00
tcn_tick_20260912,2026-03,15,4923,4251,666,443,5923,2026-02-28 23:00:00+00:00,2026-03-01 00:00:00+00:00
linear_clean_20260910,2026-03,1,4923,4251,666,443,273,2026-02-28 23:00:00+00:00,2026-03-01 00:00:00+00:00
linear_clean_20260911,2026-03,9,4923,4251,666,443,273,2026-02-28 23:00:00+00:00,2026-03-01 00:00:00+00:00
linear_clean_20260912,2026-03,2,4923,4251,666,443,273,2026-02-28 23:00:00+00:00,2026-03-01 00:00:00+00:00
linear_shuffled_20260910,2026-03,1,4923,4251,666,443,273,2026-02-28 23:00:00+00:00,2026-03-01 00:00:00+00:00
linear_shuffled_20260911,2026-03,4,4923,4251,666,443,273,2026-02-28 23:00:00+00:00,2026-03-01 00:00:00+00:00
linear_shuffled_20260912,2026-03,2,4923,4251,666,443,273,2026-02-28 23:00:00+00:00,2026-03-01 00:00:00+00:00
linear_tick_20260910,2026-03,1,4923,4251,666,443,273,2026-02-28 23:00:00+00:00,2026-03-01 00:00:00+00:00
linear_tick_20260911,2026-03,4,4923,4251,666,443,273,2026-02-28 23:00:00+00:00,2026-03-01 00:00:00+00:00
linear_tick_20260912,2026-03,2,4923,4251,666,443,273,2026-02-28 23:00:00+00:00,2026-03-01 00:00:00+00:00
