model,target,h,n,tail_loss,q10_loss,q50_loss,q90_loss,below10,above90,coverage80,width80
hist7,mean5,6,1837,1.703837410349578,1.6686794984129378,3.954768182037828,1.7389953222862184,0.1115949918345128,0.100163309744148,0.7882416984213392,24.82560329445565
hist28,mean5,6,1837,1.6855250876097665,1.646971090303532,3.909861426164036,1.724079084916001,0.1164942841589548,0.1007076755579749,0.7827980402830702,24.235866976748955
update_linear_local_raw,mean5,6,1837,1.7130528498356543,1.7058202297042062,3.834773308226173,1.7202854699671022,0.1589548176374523,0.1268372346216657,0.7142079477408819,21.32765306147048
update_linear_local_cal28,mean5,6,1837,1.6730189053982192,1.6354321979525053,3.8253082157593927,1.7106056128439329,0.1061513336962438,0.0985302123026674,0.7953184540010887,25.05257071824989
update_lgbm_local_raw,mean5,6,1837,1.7479278262215576,1.7532464956833365,3.9006337990113455,1.7426091567597788,0.1399020141535111,0.1415351115949918,0.718562874251497,22.496968068009213
update_lgbm_local_cal28,mean5,6,1837,1.716523107897317,1.7238404837926826,3.904602585236841,1.7092057320019518,0.1066956995100707,0.0963527490473598,0.7969515514425695,25.90626018077233
update_lgbm_full_cal28,mean5,6,1837,1.716972445780488,1.7217626677307984,3.903233167562589,1.712182223830177,0.1110506260206859,0.1012520413718018,0.7876973326075123,25.746613546886977
