target,h,model,month,nfit,last_training_target,first_prediction
mean5,1,linear_price,2025-11,3467,2025-10-31 23:00:00+00:00,2025-11-01 00:00:00+00:00
mean5,1,linear_price,2025-12,4187,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00
mean5,1,linear_price,2026-01,4926,2025-12-31 18:00:00+00:00,2026-01-01 22:00:00+00:00
mean5,1,linear_price,2026-02,5647,2026-01-31 23:00:00+00:00,2026-02-01 00:00:00+00:00
mean5,1,linear_price,2026-03,6319,2026-02-28 23:00:00+00:00,2026-03-01 00:00:00+00:00
mean5,1,linear_local,2025-11,3467,2025-10-31 23:00:00+00:00,2025-11-01 00:00:00+00:00
mean5,1,linear_local,2025-12,4187,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00
mean5,1,linear_local,2026-01,4926,2025-12-31 18:00:00+00:00,2026-01-01 22:00:00+00:00
mean5,1,linear_local,2026-02,5647,2026-01-31 23:00:00+00:00,2026-02-01 00:00:00+00:00
mean5,1,linear_local,2026-03,6319,2026-02-28 23:00:00+00:00,2026-03-01 00:00:00+00:00
mean5,1,linear_full,2025-11,3467,2025-10-31 23:00:00+00:00,2025-11-01 00:00:00+00:00
mean5,1,linear_full,2025-12,4187,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00
mean5,1,linear_full,2026-01,4926,2025-12-31 18:00:00+00:00,2026-01-01 22:00:00+00:00
mean5,1,linear_full,2026-02,5647,2026-01-31 23:00:00+00:00,2026-02-01 00:00:00+00:00
mean5,1,linear_full,2026-03,6319,2026-02-28 23:00:00+00:00,2026-03-01 00:00:00+00:00
mean5,1,lgbm_price,2025-11,3467,2025-10-31 23:00:00+00:00,2025-11-01 00:00:00+00:00
mean5,1,lgbm_price,2025-12,4187,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00
mean5,1,lgbm_price,2026-01,4926,2025-12-31 18:00:00+00:00,2026-01-01 22:00:00+00:00
mean5,1,lgbm_price,2026-02,5647,2026-01-31 23:00:00+00:00,2026-02-01 00:00:00+00:00
mean5,1,lgbm_price,2026-03,6319,2026-02-28 23:00:00+00:00,2026-03-01 00:00:00+00:00
mean5,1,lgbm_local,2025-11,3467,2025-10-31 23:00:00+00:00,2025-11-01 00:00:00+00:00
mean5,1,lgbm_local,2025-12,4187,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00
mean5,1,lgbm_local,2026-01,4926,2025-12-31 18:00:00+00:00,2026-01-01 22:00:00+00:00
mean5,1,lgbm_local,2026-02,5647,2026-01-31 23:00:00+00:00,2026-02-01 00:00:00+00:00
mean5,1,lgbm_local,2026-03,6319,2026-02-28 23:00:00+00:00,2026-03-01 00:00:00+00:00
mean5,1,lgbm_full,2025-11,3467,2025-10-31 23:00:00+00:00,2025-11-01 00:00:00+00:00
mean5,1,lgbm_full,2025-12,4187,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00
mean5,1,lgbm_full,2026-01,4926,2025-12-31 18:00:00+00:00,2026-01-01 22:00:00+00:00
mean5,1,lgbm_full,2026-02,5647,2026-01-31 23:00:00+00:00,2026-02-01 00:00:00+00:00
mean5,1,lgbm_full,2026-03,6319,2026-02-28 23:00:00+00:00,2026-03-01 00:00:00+00:00
mean5,1,threshold_local,2025-11,3467,2025-10-31 23:00:00+00:00,2025-11-01 00:00:00+00:00
mean5,1,threshold_local,2025-12,4187,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00
mean5,1,threshold_local,2026-01,4926,2025-12-31 18:00:00+00:00,2026-01-01 22:00:00+00:00
mean5,1,threshold_local,2026-02,5647,2026-01-31 23:00:00+00:00,2026-02-01 00:00:00+00:00
mean5,1,threshold_local,2026-03,6319,2026-02-28 23:00:00+00:00,2026-03-01 00:00:00+00:00
mean5,1,qar_qar,2025-11,3467,2025-10-31 23:00:00+00:00,2025-11-01 00:00:00+00:00
mean5,1,qar_qar,2025-12,4187,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00
mean5,1,qar_qar,2026-01,4926,2025-12-31 18:00:00+00:00,2026-01-01 22:00:00+00:00
mean5,1,qar_qar,2026-02,5647,2026-01-31 23:00:00+00:00,2026-02-01 00:00:00+00:00
mean5,1,qar_qar,2026-03,6319,2026-02-28 23:00:00+00:00,2026-03-01 00:00:00+00:00
