datetime_utc,mean5,median5,BTC
2025-12-01 00:00:00+00:00,-13.38438124855834,-10.33579048407951,-8.375146910903908
2025-12-01 01:00:00+00:00,-8.017370355595688,0.2138460413192433,2.3805227279627417
2025-12-01 02:00:00+00:00,-43.264134704489976,-16.960459169483855,-16.960459169483855
2025-12-01 03:00:00+00:00,-20.734091015075503,-5.101203899640083,6.544395338954345
2025-12-01 04:00:00+00:00,-48.184662828534286,-7.156706653148603,-4.105620813517064
2025-12-01 05:00:00+00:00,-34.52383931636227,5.397666635698073,13.722914415481569
2025-12-01 06:00:00+00:00,-53.26802211522086,-12.25520683219905,-11.115907089163102
2025-12-01 07:00:00+00:00,-49.35284597736711,-7.632112179516426,-7.632112179516426
2025-12-01 08:00:00+00:00,-40.95713938427004,-12.11733529111747,-6.694576462624724
2025-12-01 09:00:00+00:00,-47.4234220188805,-14.281890657779073,-14.089914108321722
2025-12-01 10:00:00+00:00,-41.06636780368511,-4.068950924907,-4.068950924907
2025-12-01 11:00:00+00:00,-36.29632453051279,-6.115052171118407,-0.2311194048321141
2025-12-01 12:00:00+00:00,-37.41548197187505,-11.331210511693612,-11.331210511693612
2025-12-01 13:00:00+00:00,-28.53339453308124,-3.099341726420235,2.6937147022731978
2025-12-01 14:00:00+00:00,-46.90742043852936,-15.961126737487064,-15.917510513894229
2025-12-01 15:00:00+00:00,-51.40364806771381,-16.409385122146958,-7.165321644038158
2025-12-01 16:00:00+00:00,-50.76805477821722,-5.260538350171373,11.045630215145152
2025-12-01 17:00:00+00:00,-93.34778642813468,-7.308168349533517,-1.0279874736252026
2025-12-01 18:00:00+00:00,-88.71131001820666,-14.504998114404088,-4.978941761635269
2025-12-01 19:00:00+00:00,-86.2370006916322,-10.34866627126263,-1.5026009770835458
2025-12-01 20:00:00+00:00,-91.85792879426025,-2.491538432582985,-1.046718041521899
2025-12-01 21:00:00+00:00,-81.68302424977014,-3.8939587106767695,2.49543326236612
2025-12-01 22:00:00+00:00,-55.148474262271215,-4.78481263255226,10.284831371381031
2025-12-01 23:00:00+00:00,-36.36463898614117,-1.3664754990205807,-0.167349188817667
2025-12-02 00:00:00+00:00,-43.18883863100886,-6.661435987744824,-0.1426813201188537
2025-12-02 01:00:00+00:00,-49.48385725598747,-13.012420266722556,-11.801308397023648
2025-12-02 02:00:00+00:00,-19.763898578686323,2.894812364013788,2.894812364013788
2025-12-02 03:00:00+00:00,-29.220864081176853,-11.846299685167594,-6.155429071137419
2025-12-02 04:00:00+00:00,-17.86780708335911,-2.391839350526226,9.055952474588125
2025-12-02 05:00:00+00:00,-23.808457361440105,-10.11235710687508,-10.11235710687508
2025-12-02 06:00:00+00:00,-26.554918217337683,-11.172463159647704,-7.445648119048798
2025-12-02 07:00:00+00:00,-14.34788201337689,-5.520804706975468,-5.520804706975468
2025-12-02 08:00:00+00:00,-21.72042931714913,-1.3864446822164922,10.60125539884993
2025-12-02 09:00:00+00:00,-17.078772797651354,1.9643910751465652,3.518343305675131
2025-12-02 10:00:00+00:00,-29.33004266619577,-1.5450704508612745,-1.5450704508612745
2025-12-02 11:00:00+00:00,-14.294959917387828,-8.047887721023272,-8.047887721023272
2025-12-02 12:00:00+00:00,-37.83261265990312,-9.295006766141256,-9.295006766141256
2025-12-02 13:00:00+00:00,-19.30496876174459,-0.4193224009085838,6.807022293182641
2025-12-02 14:00:00+00:00,-22.83762077179219,-5.943519848230494,-0.9363559443453796
2025-12-02 15:00:00+00:00,4.154576439853841,-3.324369417478934,-3.324369417478934
2025-12-02 16:00:00+00:00,5.189063743518574,6.371875778707903,-3.884976383012884
2025-12-02 17:00:00+00:00,9.808920925243214,12.137539056720216,13.62548468891056
2025-12-02 18:00:00+00:00,4.963053170412124,12.903463464528642,6.049915202241962
2025-12-02 19:00:00+00:00,23.583808862907677,17.367671281220964,7.59890698968313
2025-12-02 20:00:00+00:00,6.304296097354722,10.184001131943177,2.7880642905842024
2025-12-02 21:00:00+00:00,10.457131519121532,13.341738681029724,13.341738681029724
2025-12-02 22:00:00+00:00,11.264902258961484,10.737090823287332,3.5160407576562136
2025-12-02 23:00:00+00:00,15.61064679319557,12.663088657340891,6.651107586561622
