target,h,model,month,n,tail_loss,q10_loss,q50_loss,q90_loss,below10,above90,coverage80,width80
btc,6,update_linear_price_raw,2025-11,720,1.8952259090687966,2.4777526612268748,3.3900361003600747,1.3126991569107185,0.1361111111111111,0.08333333333333333,0.7805555555555556,16.731744611929408
btc,6,update_linear_price_raw,2025-12,736,1.2416676351756157,1.2118089577240605,2.788605516217831,1.2715263126271708,0.10326086956521739,0.11277173913043478,0.7839673913043478,17.37385561598217
btc,6,update_linear_price_raw,2026-01,722,1.2019139347314436,1.1552569891159565,2.764803663665431,1.24857088034693,0.12188365650969529,0.07894736842105263,0.7991689750692521,17.445201432945606
btc,6,update_linear_price_raw,2026-02,672,1.3472157325995522,1.4056572923201571,3.017454326792663,1.288774172878947,0.12648809523809523,0.11160714285714286,0.7619047619047619,17.79499315879855
btc,6,update_linear_price_raw,2026-03,443,1.394412033750941,1.3581008762897882,3.208083811788223,1.4307231912120935,0.15124153498871332,0.10609480812641084,0.7426636568848759,18.204787513774228
btc,6,update_linear_price_cal28,2025-11,720,1.8975472859024722,2.477380461361317,3.4051325591674395,1.3177141104436276,0.1486111111111111,0.1,0.7513888888888889,16.05762643215097
btc,6,update_linear_price_cal28,2025-12,736,1.2733314853640179,1.259436025371682,2.800686621579903,1.2872269453563536,0.06657608695652174,0.11005434782608696,0.8233695652173914,19.640747340929988
btc,6,update_linear_price_cal28,2026-01,722,1.1979726025846469,1.149923337968005,2.7465042335542935,1.2460218672012888,0.12326869806094183,0.07894736842105263,0.7977839335180056,17.5430360859829
btc,6,update_linear_price_cal28,2026-02,672,1.3535054331010128,1.3995048527796279,3.0503763095254084,1.307506013422398,0.08928571428571429,0.11904761904761904,0.7916666666666666,19.108335032237328
btc,6,update_linear_price_cal28,2026-03,443,1.3776333663777838,1.3207046387859025,3.180738308756645,1.4345620939696653,0.12641083521444696,0.1038374717832957,0.7697516930022573,19.544078096268716
btc,6,update_linear_local_raw,2025-11,720,1.8952259090687966,2.4777526612268748,3.3575356639985507,1.3126991569107185,0.1361111111111111,0.08333333333333333,0.7805555555555556,16.731744611929408
btc,6,update_linear_local_raw,2025-12,736,1.2440297815241486,1.2173321155526131,2.7927788085140026,1.2707274474956842,0.10326086956521739,0.11141304347826086,0.7853260869565217,17.45075623326673
btc,6,update_linear_local_raw,2026-01,722,1.202550994309845,1.1565311082727598,2.7659138761733666,1.24857088034693,0.12188365650969529,0.07894736842105263,0.7991689750692521,17.437689471044443
btc,6,update_linear_local_raw,2026-02,672,1.3461528616707308,1.4035315504625145,3.0138166031696265,1.288774172878947,0.12351190476190477,0.11160714285714286,0.7648809523809523,17.81891238858228
btc,6,update_linear_local_raw,2026-03,443,1.3951776584671634,1.3596321257222337,3.2114036005354,1.4307231912120935,0.15349887133182843,0.10609480812641084,0.7404063205417607,18.208938424532448
btc,6,update_linear_local_cal28,2025-11,720,1.8975472859024722,2.477380461361317,3.3762317064907443,1.3177141104436276,0.1486111111111111,0.1,0.7513888888888889,16.05762643215097
btc,6,update_linear_local_cal28,2025-12,736,1.2766892705077155,1.266542745547714,2.8028286239733156,1.286835795467717,0.06521739130434782,0.11005434782608696,0.8247282608695652,19.70978858572625
btc,6,update_linear_local_cal28,2026-01,722,1.1990798570592616,1.152425301062646,2.7446899784069516,1.2457344130558772,0.12326869806094183,0.07894736842105263,0.7977839335180056,17.4961208607991
btc,6,update_linear_local_cal28,2026-02,672,1.3528201611009063,1.3981343087794151,3.0475160726508546,1.307506013422398,0.09077380952380952,0.11904761904761904,0.7901785714285714,19.106853745520848
btc,6,update_linear_local_cal28,2026-03,443,1.3784142012572818,1.3222663085448978,3.17949918535995,1.4345620939696653,0.12641083521444696,0.1038374717832957,0.7697516930022573,19.55662735658308
btc,6,update_linear_full_raw,2025-11,720,1.8915580875045992,2.4777526612268748,3.35406991489715,1.3053635137823234,0.1361111111111111,0.09444444444444444,0.7694444444444445,16.409639640230267
btc,6,update_linear_full_raw,2025-12,736,1.2437750861580241,1.2173321155526131,2.7867336775974394,1.2702180567634354,0.10326086956521739,0.12092391304347826,0.7758152173913043,17.077461291436144
btc,6,update_linear_full_raw,2026-01,722,1.200513106534766,1.1565311082727603,2.7643593100354686,1.2444951047967718,0.12188365650969529,0.08310249307479224,0.7950138504155124,17.35269398059492
btc,6,update_linear_full_raw,2026-02,672,1.3494255036219185,1.4035315504625143,3.004256437348924,1.2953194567813224,0.12351190476190477,0.12797619047619047,0.7485119047619048,17.123893351318202
btc,6,update_linear_full_raw,2026-03,443,1.4012018144660225,1.3596321257222337,3.208431353381944,1.4427715032098116,0.15349887133182843,0.11286681715575621,0.7336343115124153,17.90942977832043
btc,6,update_linear_full_cal28,2025-11,720,1.8954058655747201,2.477380461361317,3.368483304448933,1.313431269788124,0.1486111111111111,0.10694444444444444,0.7444444444444445,15.825595554618353
btc,6,update_linear_full_cal28,2025-12,736,1.2722022403430582,1.266542745547714,2.800702208426995,1.277861735138402,0.06521739130434782,0.11005434782608696,0.8247282608695652,19.70090455286624
btc,6,update_linear_full_cal28,2026-01,722,1.199936886308321,1.1524253010626462,2.742977743692625,1.2474484715539964,0.12326869806094183,0.07617728531855955,0.8005540166204986,17.56109135289889
btc,6,update_linear_full_cal28,2026-02,672,1.3527763440286105,1.3981343087794151,3.037565537086977,1.3074183792778062,0.09077380952380952,0.12053571428571429,0.7886904761904762,18.819144582725443
btc,6,update_linear_full_cal28,2026-03,443,1.38325602706417,1.322266308544898,3.201787751615718,1.4442457455834423,0.12641083521444696,0.09932279909706546,0.7742663656884876,19.70831102584661
btc,6,update_lgbm_price_raw,2025-11,720,1.9622095602391798,2.617942573379892,3.441134572332963,1.3064765470984674,0.15694444444444444,0.0875,0.7555555555555555,16.28905062967424
btc,6,update_lgbm_price_raw,2025-12,736,1.306379964491666,1.307536389599223,2.8967455467360534,1.305223539384109,0.11005434782608696,0.12771739130434784,0.7622282608695652,18.105527054077452
btc,6,update_lgbm_price_raw,2026-01,722,1.230943777425663,1.2196329940402846,2.8084468624432395,1.2422545608110416,0.14958448753462603,0.0886426592797784,0.7617728531855956,16.98750808146068
btc,6,update_lgbm_price_raw,2026-02,672,1.393126285364223,1.4732731559558079,3.0540164854794782,1.3129794147726381,0.10267857142857142,0.14136904761904762,0.7559523809523809,18.847995489627483
btc,6,update_lgbm_price_raw,2026-03,443,1.4297748449691228,1.435147395736811,3.111513005073484,1.4244022942014343,0.12641083521444696,0.11286681715575621,0.7607223476297968,19.173340920109634
btc,6,update_lgbm_price_cal28,2025-11,720,1.9460583736619022,2.581728661161617,3.447422124586012,1.3103880861621868,0.17083333333333334,0.09583333333333334,0.7333333333333333,15.69685564619218
btc,6,update_lgbm_price_cal28,2025-12,736,1.3343228646293992,1.3526923717756432,2.916971232731701,1.3159533574831555,0.06114130434782609,0.11684782608695653,0.8220108695652174,21.258210328173437
btc,6,update_lgbm_price_cal28,2026-01,722,1.2202482662196998,1.1943661089578683,2.7851708291212787,1.2461304234815316,0.1149584487534626,0.08725761772853186,0.7977839335180056,18.08383163717835
btc,6,update_lgbm_price_cal28,2026-02,672,1.4067938950038095,1.4962176116337385,3.076053848032367,1.3173701783738803,0.07589285714285714,0.13095238095238096,0.7931547619047619,20.441017329002246
btc,6,update_lgbm_price_cal28,2026-03,443,1.4266579724705595,1.4265247185598888,3.1209875001534106,1.4267912263812303,0.11512415349887133,0.09255079006772009,0.7923250564334086,20.63794405756543
btc,6,update_lgbm_local_raw,2025-11,720,1.969109700234274,2.635007074870098,3.4317818605188424,1.3032123255984494,0.15833333333333333,0.09166666666666666,0.75,16.19943977565104
btc,6,update_lgbm_local_raw,2025-12,736,1.3077711030127137,1.3146456959155022,2.893100377954234,1.3008965101099252,0.11277173913043478,0.125,0.7622282608695652,18.168226071324224
btc,6,update_lgbm_local_raw,2026-01,722,1.2293145822319107,1.2148428443173074,2.798512857906478,1.2437863201465145,0.1440443213296399,0.0886426592797784,0.7673130193905817,16.993899317285734
btc,6,update_lgbm_local_raw,2026-02,672,1.383688788462025,1.4592792317728247,3.0601600548256904,1.3080983451512254,0.11160714285714286,0.13690476190476192,0.7514880952380952,18.59441091569834
