target,h,model,n,tail_loss,q10_loss,q50_loss,q90_loss,below10,above90,coverage80,width80
mean5,6,update_linear_price_raw,1837,1.7186004944455775,1.7161935165795108,3.8384011915884817,1.721007472311644,0.15895481763745237,0.12792596624931954,0.713119216113228,21.10986296517853
mean5,6,update_linear_price_cal28,1837,1.671496861515011,1.6333278867679877,3.826217570530254,1.709665836262034,0.10941752857920523,0.0985302123026674,0.7920522591181274,25.054408605172096
mean5,6,freeze_linear_price_raw,1837,1.740128167330106,1.7678768298692282,3.851340178513275,1.7123795047909838,0.17201959716929777,0.12574850299401197,0.7022318998366902,20.518832589883207
mean5,6,freeze_linear_price_cal28,1837,1.6683019770751049,1.632689742445545,3.8255508023783658,1.7039142117046642,0.11594991834512793,0.09907457811649428,0.7849755035383778,24.62605071739186
mean5,6,update_linear_local_raw,1837,1.7130528498356543,1.7058202297042062,3.8347733082261732,1.7202854699671022,0.15895481763745237,0.12683723462166577,0.7142079477408819,21.32765306147048
mean5,6,update_linear_local_cal28,1837,1.6730189053982192,1.6354321979525053,3.8253082157593927,1.7106056128439329,0.10615133369624388,0.0985302123026674,0.7953184540010887,25.05257071824989
mean5,6,update_linear_local_cal14,1837,1.6745291640955302,1.6378756399327488,3.8285660448388037,1.711182688258311,0.10288513881328253,0.0979858464888405,0.799129014697877,25.302767865667324
mean5,6,update_linear_local_cal56,1837,1.6780756209960366,1.6495716989826346,3.826732469355786,1.7065795430094384,0.1045182362547632,0.10070767555797495,0.7947740881872618,24.938290223833285
mean5,6,freeze_linear_local_raw,1837,1.7273011236042162,1.7437097635276169,3.8475143642632506,1.710892483680815,0.16820903647250954,0.1241154055525313,0.7076755579749592,21.04356227516605
mean5,6,freeze_linear_local_cal28,1837,1.6745630648921763,1.644638560801845,3.8277861962373736,1.704487568982508,0.10996189439303211,0.09744148067501361,0.7925966249319543,24.81161623603457
mean5,6,update_linear_full_raw,1837,1.7262729836565716,1.726274678605572,3.8312085977039727,1.726271288707571,0.16113228089275994,0.12738160043549265,0.7114861186717474,20.98328215976047
mean5,6,update_linear_full_cal28,1837,1.6743280558124625,1.6352649017852303,3.8305527947021214,1.7133912098396946,0.1110506260206859,0.0979858464888405,0.7909635274904736,24.9006640937908
mean5,6,freeze_linear_full_raw,1837,1.751411325511876,1.7883631524549346,3.8322319558079374,1.7144594985688173,0.1763745236799129,0.12629286880783885,0.6973326075122482,20.43435192914758
mean5,6,freeze_linear_full_cal28,1837,1.673288840477766,1.6421391256501172,3.8313118641420383,1.7044385553054149,0.11649428415895481,0.09580838323353294,0.7876973326075123,24.492896360773607
mean5,6,update_lgbm_price_raw,1837,1.7479210197926702,1.7605415536913347,3.9102908487033994,1.7353004858940055,0.13826891671203048,0.1377245508982036,0.724006532389766,22.453425469836628
mean5,6,update_lgbm_price_cal28,1837,1.7139680820773897,1.723286712399297,3.912331779929,1.7046494517554827,0.10832879695155144,0.09961894393032118,0.7920522591181274,25.935994183022224
mean5,6,freeze_lgbm_price_raw,1837,1.7561030143185627,1.7832048684505142,3.939713911624361,1.7290011601866115,0.13228089275993468,0.13990201415351117,0.7278170930865542,22.773507383388303
mean5,6,freeze_lgbm_price_cal28,1837,1.727145686939876,1.7613125171350106,3.929861810487623,1.692978856744742,0.10669569951007077,0.09580838323353294,0.7974959172563963,26.11874797082733
mean5,6,update_lgbm_local_raw,1837,1.7479278262215576,1.7532464956833365,3.9006337990113464,1.7426091567597788,0.13990201415351117,0.14153511159499182,0.718562874251497,22.496968068009213
mean5,6,update_lgbm_local_cal28,1837,1.7165231078973173,1.7238404837926826,3.9046025852368405,1.7092057320019518,0.10669569951007077,0.09635274904735983,0.7969515514425695,25.906260180772332
mean5,6,update_lgbm_local_cal14,1837,1.7173119821719673,1.7264866329251505,3.892908737887956,1.7081373314187844,0.1050626020685901,0.0979858464888405,0.7969515514425695,26.14170171938234
mean5,6,update_lgbm_local_cal56,1837,1.7234852165364247,1.7405076799222754,3.910871660124145,1.7064627531505738,0.09744148067501361,0.10179640718562874,0.8007621121393577,26.2365287326058
mean5,6,freeze_lgbm_local_raw,1837,1.7570641756651086,1.7839443563484056,3.9110042920600265,1.7301839949818114,0.1241154055525313,0.14153511159499182,0.7343494828524768,23.229235799961273
mean5,6,freeze_lgbm_local_cal28,1837,1.7342829448988366,1.773284546402644,3.906609575468513,1.695281343395029,0.10070767555797495,0.09744148067501361,0.8018508437670114,26.265250410061093
mean5,6,update_lgbm_full_raw,1837,1.7583900714839407,1.765366736171793,3.894257439648561,1.7514134067960883,0.1431682090364725,0.14099074578116494,0.7158410451823626,22.058428865490672
mean5,6,update_lgbm_full_cal28,1837,1.716972445780488,1.7217626677307984,3.9032331675625893,1.712182223830177,0.1110506260206859,0.10125204137180185,0.7876973326075123,25.746613546886977
mean5,6,update_lgbm_full_cal14,1837,1.715867588951875,1.7251564549162224,3.8939459636382905,1.706578722987528,0.10887316276537834,0.10179640718562874,0.789330430048993,25.95800349908694
mean5,6,update_lgbm_full_cal56,1837,1.7261667959028486,1.738483040041264,3.916709671845126,1.7138505517644331,0.09744148067501361,0.10669569951007077,0.7958628198149156,25.928569660482964
mean5,6,freeze_lgbm_full_raw,1837,1.7695627399564628,1.8145450599769097,3.8955512449483907,1.7245804199360162,0.150789330430049,0.1360914534567229,0.713119216113228,22.189504096203553
mean5,6,freeze_lgbm_full_cal28,1837,1.7268676133438594,1.755054490055803,3.9056280209992194,1.6986807366319159,0.11268372346216658,0.10070767555797495,0.7866086009798585,25.734566399463144
mean5,6,update_threshold_local_raw,1837,1.7234292169284247,1.7265729638897467,3.838740554245909,1.7202854699671022,0.16004354926510614,0.12683723462166577,0.713119216113228,21.25367789669273
mean5,6,update_threshold_local_cal28,1837,1.6763508948751158,1.6420961769062983,3.82860713583209,1.7106056128439329,0.1115949918345128,0.0985302123026674,0.7898747958628198,25.11060405313652
mean5,6,freeze_threshold_local_raw,1837,1.7430045256659243,1.7751165676510336,3.8571425650732896,1.710892483680815,0.17310832879695154,0.1241154055525313,0.7027762656505171,20.827702903879114
mean5,6,freeze_threshold_local_cal28,1837,1.6772548269292484,1.6500220848759886,3.8342150825507426,1.704487568982508,0.11431682090364725,0.09744148067501361,0.7882416984213392,24.781266490976325
mean5,6,update_qar_qar_raw,1837,1.7265422582061143,1.7289207896888719,3.9066427668583934,1.7241637267233563,0.16276537833424062,0.12792596624931954,0.7093086554164398,21.01453192001596
mean5,6,update_qar_qar_cal28,1837,1.6742570817364621,1.6383915774949054,3.8797757863598905,1.7101225859780194,0.11322808927599347,0.10125204137180185,0.7855198693522046,24.876338722771596
mean5,6,freeze_qar_qar_raw,1837,1.742201468309016,1.7682197045822532,3.9235171536744904,1.716183232035779,0.17365269461077845,0.12792596624931954,0.698421339139902,20.650621188755057
mean5,6,freeze_qar_qar_cal28,1837,1.6742984472101023,1.6435288700675372,3.8748300863447587,1.705068024352668,0.11867174741426238,0.10070767555797495,0.7806205770277627,24.53990114279058
mean5,6,hist7,1837,1.7038374103495781,1.6686794984129378,3.9547681820378275,1.7389953222862184,0.1115949918345128,0.10016330974414807,0.7882416984213392,24.82560329445565
mean5,6,hist28,1837,1.6855250876097663,1.646971090303532,3.9098614261640363,1.724079084916001,0.11649428415895481,0.10070767555797495,0.7827980402830702,24.235866976748955
mean5,6,delta28,1837,2.252412984355825,2.233924559462757,5.190225062596577,2.270901409248892,0.10941752857920523,0.10887316276537834,0.7817093086554164,32.05324774695715
