target,h,model,month,nfit,last_training_target,first_prediction
mean5,12,linear_price,2025-11,3436,2025-10-31 23:00:00+00:00,2025-11-01 00:00:00+00:00
mean5,12,linear_price,2025-12,4156,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00
mean5,12,linear_price,2026-01,4897,2025-12-31 23:00:00+00:00,2026-01-01 22:00:00+00:00
mean5,12,linear_price,2026-02,5614,2026-01-31 23:00:00+00:00,2026-02-01 00:00:00+00:00
mean5,12,linear_price,2026-03,6286,2026-02-28 23:00:00+00:00,2026-03-01 00:00:00+00:00
mean5,12,linear_local,2025-11,3436,2025-10-31 23:00:00+00:00,2025-11-01 00:00:00+00:00
mean5,12,linear_local,2025-12,4156,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00
mean5,12,linear_local,2026-01,4897,2025-12-31 23:00:00+00:00,2026-01-01 22:00:00+00:00
mean5,12,linear_local,2026-02,5614,2026-01-31 23:00:00+00:00,2026-02-01 00:00:00+00:00
mean5,12,linear_local,2026-03,6286,2026-02-28 23:00:00+00:00,2026-03-01 00:00:00+00:00
mean5,12,linear_full,2025-11,3436,2025-10-31 23:00:00+00:00,2025-11-01 00:00:00+00:00
mean5,12,linear_full,2025-12,4156,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00
mean5,12,linear_full,2026-01,4897,2025-12-31 23:00:00+00:00,2026-01-01 22:00:00+00:00
mean5,12,linear_full,2026-02,5614,2026-01-31 23:00:00+00:00,2026-02-01 00:00:00+00:00
mean5,12,linear_full,2026-03,6286,2026-02-28 23:00:00+00:00,2026-03-01 00:00:00+00:00
mean5,12,lgbm_price,2025-11,3436,2025-10-31 23:00:00+00:00,2025-11-01 00:00:00+00:00
mean5,12,lgbm_price,2025-12,4156,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00
mean5,12,lgbm_price,2026-01,4897,2025-12-31 23:00:00+00:00,2026-01-01 22:00:00+00:00
mean5,12,lgbm_price,2026-02,5614,2026-01-31 23:00:00+00:00,2026-02-01 00:00:00+00:00
mean5,12,lgbm_price,2026-03,6286,2026-02-28 23:00:00+00:00,2026-03-01 00:00:00+00:00
mean5,12,lgbm_local,2025-11,3436,2025-10-31 23:00:00+00:00,2025-11-01 00:00:00+00:00
mean5,12,lgbm_local,2025-12,4156,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00
mean5,12,lgbm_local,2026-01,4897,2025-12-31 23:00:00+00:00,2026-01-01 22:00:00+00:00
mean5,12,lgbm_local,2026-02,5614,2026-01-31 23:00:00+00:00,2026-02-01 00:00:00+00:00
mean5,12,lgbm_local,2026-03,6286,2026-02-28 23:00:00+00:00,2026-03-01 00:00:00+00:00
mean5,12,lgbm_full,2025-11,3436,2025-10-31 23:00:00+00:00,2025-11-01 00:00:00+00:00
mean5,12,lgbm_full,2025-12,4156,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00
mean5,12,lgbm_full,2026-01,4897,2025-12-31 23:00:00+00:00,2026-01-01 22:00:00+00:00
mean5,12,lgbm_full,2026-02,5614,2026-01-31 23:00:00+00:00,2026-02-01 00:00:00+00:00
mean5,12,lgbm_full,2026-03,6286,2026-02-28 23:00:00+00:00,2026-03-01 00:00:00+00:00
mean5,12,threshold_local,2025-11,3436,2025-10-31 23:00:00+00:00,2025-11-01 00:00:00+00:00
mean5,12,threshold_local,2025-12,4156,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00
mean5,12,threshold_local,2026-01,4897,2025-12-31 23:00:00+00:00,2026-01-01 22:00:00+00:00
mean5,12,threshold_local,2026-02,5614,2026-01-31 23:00:00+00:00,2026-02-01 00:00:00+00:00
mean5,12,threshold_local,2026-03,6286,2026-02-28 23:00:00+00:00,2026-03-01 00:00:00+00:00
mean5,12,qar_qar,2025-11,3436,2025-10-31 23:00:00+00:00,2025-11-01 00:00:00+00:00
mean5,12,qar_qar,2025-12,4156,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00
mean5,12,qar_qar,2026-01,4897,2025-12-31 23:00:00+00:00,2026-01-01 22:00:00+00:00
mean5,12,qar_qar,2026-02,5614,2026-01-31 23:00:00+00:00,2026-02-01 00:00:00+00:00
mean5,12,qar_qar,2026-03,6286,2026-02-28 23:00:00+00:00,2026-03-01 00:00:00+00:00
