period,measure,n,mean,std,min,max,mean_abs,q01,q10,q50,q90,q99
all,mean5,6968,-1.1378582415126477,10.076911604629002,-241.20543395458503,225.66209785392567,6.6879055945639525,-23.4353247827622,-11.264861095482992,-0.8731433978610426,9.144070854774181,17.27836156662926
all,median5,6968,-0.7194879230777618,8.018298335265822,-162.59428340379856,239.9124776556061,5.600740656712273,-16.77716012666819,-9.351046049257405,-0.7933324352471516,8.152930067075738,14.893097874443036
all,BTC,6968,-0.7976118611723463,8.47878645000431,-96.34354101386577,157.49364422799948,5.971396557902137,-18.196610424463522,-9.698313273489134,-0.8865125711210453,8.4069581461641,16.08996316227759
all,ETH,6968,0.04120325792517183,9.506981265755071,-106.2878552126989,308.3845232395621,6.682721587552853,-18.419731185406363,-10.214639593328023,-0.0645624903361508,10.668916049928258,18.767622009426077
all,XRP,6968,-0.41645951719091245,10.52827501936642,-462.2836415633991,198.41468032663732,6.4534045089512695,-17.775236697679908,-10.111714619297274,-0.5043949207328424,9.924890420527355,17.171308849902896
all,SOL,6968,-1.1737005356915349,11.444718032981891,-186.02773560057352,239.9124776556061,7.062877211694311,-30.12093295324778,-11.078290272455327,-0.6062639683790394,9.60422669263661,17.728483806956238
all,DOGE,6968,-3.342722551433617,31.34696185133428,-1235.9753019114983,243.24245124089038,19.80679726054833,-70.57554162744619,-34.80958977921844,-2.099200267480228,29.06972723656854,59.66553509920933
all,without_BTC,6968,-1.2229198365977232,11.814950177923064,-336.8327942201499,247.488533115674,7.544004399512956,-26.00778844827232,-12.618204988614767,-0.9586773780601021,10.481082699422386,19.42303071103746
all,without_ETH,6968,-1.4326236163721027,11.454902151351797,-345.7171776629764,204.98149150751652,7.375856863265582,-25.883183431912293,-12.42801278202843,-1.0976530680473218,9.70694858233001,19.06228326467132
all,without_XRP,6968,-1.3182079225930816,10.930388329476797,-243.39466616785987,232.47395223574773,7.412821046087844,-26.490473007809467,-12.561955700326477,-0.9845791643026125,10.088997846534612,19.319856697746825
all,without_SOL,6968,-1.128897667967926,10.705816617224848,-287.56956475658234,222.09950290350554,7.250813191525185,-25.290238784989526,-12.314385380713277,-0.9039502079710715,9.983826802838271,19.208191513030144
all,without_DOGE,6968,-0.5866421640324053,7.6002058582462855,-189.66310921986195,221.26700950718447,5.214513641356831,-17.191288933367744,-8.449585414052496,-0.5221438981506399,7.686246295816491,14.226504317007626
pre2026,mean5,5103,-0.9036064638264967,10.193745009056753,-241.20543395458503,225.66209785392567,6.215645644429459,-24.387740625596166,-9.9782572592364,-0.5222701005624941,8.527136174640406,15.621186377787804
pre2026,median5,5103,-0.44372948263240763,8.230522402092262,-162.59428340379856,239.9124776556061,5.4475752035987535,-15.847787091150956,-8.70075145810567,-0.5534194357981193,8.14986266667539,14.409660305892123
pre2026,BTC,5103,-0.5461576898864932,8.791095208927592,-96.34354101386577,157.49364422799948,5.895651570750671,-18.138394459458418,-9.231278034027566,-0.7201366656683916,8.467595627571711,16.30640056757532
pre2026,ETH,5103,0.6147116256999628,9.833204350554816,-106.2878552126989,308.3845232395621,6.620301519046183,-17.721394038156824,-9.442616795505288,0.4247784652822162,11.126349630181664,19.235503786700463
pre2026,XRP,5103,-0.22654135442129156,11.276328295829076,-462.2836415633991,198.41468032663732,6.404273644159787,-17.13528497926511,-9.590757993136023,-0.2773057720784067,9.94087500766483,17.10334013030099
pre2026,SOL,5103,-1.2067777683949623,12.331582515771947,-186.02773560057352,239.9124776556061,7.113640706643978,-39.14805440255886,-10.698326112253296,-0.5033526813402744,9.530967742273692,16.93009588282716
pre2026,DOGE,5103,-3.1532671321297006,29.977442251497177,-1235.9753019114983,243.24245124089038,16.47684705008586,-60.01943784724464,-28.761804526444834,-1.6910957443894148,23.701892596568186,43.72717700127987
pre2026,without_BTC,5103,-0.9929686573114976,12.044617998786444,-336.8327942201499,247.488533115674,6.963318216230492,-27.07515700441787,-10.944985679836261,-0.6030284377533945,9.57809418338629,17.488292108599055
pre2026,without_ETH,5103,-1.283185986208112,11.624224425268462,-345.7171776629764,204.98149150751652,6.768652575978371,-27.714214081664988,-10.892833335049534,-0.8270669223242599,8.802622802412063,16.621461477180723
pre2026,without_XRP,5103,-1.0728727411777983,10.850192834890244,-243.39466616785987,232.47395223574773,6.776341473310053,-27.058415894170416,-11.003318744367439,-0.7019956075504652,9.19928540707238,16.88470122156483
pre2026,without_SOL,5103,-0.8278136376843805,10.569842681969911,-287.56956475658234,222.09950290350554,6.5858985531112255,-23.5840770664399,-10.490447316865657,-0.6059521008783264,9.20845234344636,16.92646369204206
pre2026,without_DOGE,5103,-0.3411912967506961,7.869957951334418,-189.66310921986195,221.26700950718447,5.0998159891136625,-19.43163619421919,-7.740311519390808,-0.3141950525575865,7.693966873553838,13.612737826475236
test2026,mean5,1865,-1.778816322763279,9.723941904884517,-31.77263908564143,27.991635583028085,7.980099978229539,-22.546462505300155,-14.525815889296112,-2.0359383929200447,10.943781753349313,20.17857585094201
test2026,median5,1865,-1.4740162456475432,7.356026627445145,-24.43245452745657,23.404109395936956,6.0198309018802565,-17.80625822015871,-10.872432617341943,-1.7235975810514503,8.136882902302752,15.82034481478266
test2026,BTC,1865,-1.485639011881037,7.517903583913414,-26.337654872827798,23.404109395936956,6.178649463764837,-18.430141919884235,-11.03901030800536,-1.609834497120488,8.198241563215808,15.680690131228644
test2026,ETH,1865,-1.5280263403347523,8.354509134273261,-29.64118391407311,25.47153909657318,6.85351494390113,-19.10120513178093,-11.982995297261212,-1.52984674532064,9.199806104888353,18.19408734561455
test2026,XRP,1865,-0.9361122703348135,8.117257041750435,-23.813254247793125,27.168623262792124,6.587836038726572,-18.196822929601808,-11.48583597059094,-1.270218193853978,9.831604164654452,17.4398048114952
test2026,SOL,1865,-1.0831948421335775,8.56298235350861,-27.93891701681872,30.13437133412289,6.9239784906604545,-19.975870493202308,-12.324797945542088,-1.1990809702844274,9.872455497440317,18.648097776221537
test2026,DOGE,1865,-3.8611091491322145,34.82340266129675,-88.19958200418476,80.17042171048594,28.918183814966547,-73.16301961114675,-50.24339758620222,-4.835951741686273,44.43336710754764,70.53388102860366
test2026,without_BTC,1865,-1.8521106504838392,11.141286107977145,-35.173591038186736,30.874302901402473,9.132873886531943,-25.78359313368379,-16.25107973472195,-2.0590828552169427,12.920785034252983,23.685354609450187
test2026,without_ETH,1865,-1.8415138183704107,10.97089774645005,-34.18597993499972,29.2100235906001,9.037285001617665,-24.943177474123157,-15.986111866195696,-2.106894244966462,12.867985136991505,23.088163675205088
test2026,without_XRP,1865,-1.9894923358703953,11.122175560946282,-34.09918916582599,31.526093347979955,9.154352016535604,-25.816820554039133,-15.895321077650681,-2.2220915923321094,13.0427894902585,23.04061943342503
test2026,without_SOL,1865,-1.9527216929207045,11.030280955095197,-35.19892153785564,32.20812904851877,9.07014799035974,-25.415787279791235,-16.311208936483634,-1.9567422289368253,12.643138770618291,23.242453864871013
test2026,without_DOGE,1865,-1.258243116171045,6.764286782955633,-21.764109209552185,23.507149629189428,5.528348557923526,-15.915580786234962,-9.881186177387313,-1.441536159025869,7.541268666249935,14.686841592884104
