target,h,model,month,nfit,last_training_target,first_prediction
mean5,6,linear_price,2025-11,3448,2025-10-31 23:00:00+00:00,2025-11-01 00:00:00+00:00
mean5,6,linear_price,2025-12,4168,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00
mean5,6,linear_price,2026-01,4909,2025-12-31 23:00:00+00:00,2026-01-01 22:00:00+00:00
mean5,6,linear_price,2026-02,5626,2026-01-31 23:00:00+00:00,2026-02-01 00:00:00+00:00
mean5,6,linear_price,2026-03,6298,2026-02-28 23:00:00+00:00,2026-03-01 00:00:00+00:00
mean5,6,linear_local,2025-11,3448,2025-10-31 23:00:00+00:00,2025-11-01 00:00:00+00:00
mean5,6,linear_local,2025-12,4168,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00
mean5,6,linear_local,2026-01,4909,2025-12-31 23:00:00+00:00,2026-01-01 22:00:00+00:00
mean5,6,linear_local,2026-02,5626,2026-01-31 23:00:00+00:00,2026-02-01 00:00:00+00:00
mean5,6,linear_local,2026-03,6298,2026-02-28 23:00:00+00:00,2026-03-01 00:00:00+00:00
mean5,6,linear_full,2025-11,3448,2025-10-31 23:00:00+00:00,2025-11-01 00:00:00+00:00
mean5,6,linear_full,2025-12,4168,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00
mean5,6,linear_full,2026-01,4909,2025-12-31 23:00:00+00:00,2026-01-01 22:00:00+00:00
mean5,6,linear_full,2026-02,5626,2026-01-31 23:00:00+00:00,2026-02-01 00:00:00+00:00
mean5,6,linear_full,2026-03,6298,2026-02-28 23:00:00+00:00,2026-03-01 00:00:00+00:00
mean5,6,lgbm_price,2025-11,3448,2025-10-31 23:00:00+00:00,2025-11-01 00:00:00+00:00
mean5,6,lgbm_price,2025-12,4168,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00
mean5,6,lgbm_price,2026-01,4909,2025-12-31 23:00:00+00:00,2026-01-01 22:00:00+00:00
mean5,6,lgbm_price,2026-02,5626,2026-01-31 23:00:00+00:00,2026-02-01 00:00:00+00:00
mean5,6,lgbm_price,2026-03,6298,2026-02-28 23:00:00+00:00,2026-03-01 00:00:00+00:00
mean5,6,lgbm_local,2025-11,3448,2025-10-31 23:00:00+00:00,2025-11-01 00:00:00+00:00
mean5,6,lgbm_local,2025-12,4168,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00
mean5,6,lgbm_local,2026-01,4909,2025-12-31 23:00:00+00:00,2026-01-01 22:00:00+00:00
mean5,6,lgbm_local,2026-02,5626,2026-01-31 23:00:00+00:00,2026-02-01 00:00:00+00:00
mean5,6,lgbm_local,2026-03,6298,2026-02-28 23:00:00+00:00,2026-03-01 00:00:00+00:00
mean5,6,lgbm_full,2025-11,3448,2025-10-31 23:00:00+00:00,2025-11-01 00:00:00+00:00
mean5,6,lgbm_full,2025-12,4168,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00
mean5,6,lgbm_full,2026-01,4909,2025-12-31 23:00:00+00:00,2026-01-01 22:00:00+00:00
mean5,6,lgbm_full,2026-02,5626,2026-01-31 23:00:00+00:00,2026-02-01 00:00:00+00:00
mean5,6,lgbm_full,2026-03,6298,2026-02-28 23:00:00+00:00,2026-03-01 00:00:00+00:00
mean5,6,threshold_local,2025-11,3448,2025-10-31 23:00:00+00:00,2025-11-01 00:00:00+00:00
mean5,6,threshold_local,2025-12,4168,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00
mean5,6,threshold_local,2026-01,4909,2025-12-31 23:00:00+00:00,2026-01-01 22:00:00+00:00
mean5,6,threshold_local,2026-02,5626,2026-01-31 23:00:00+00:00,2026-02-01 00:00:00+00:00
mean5,6,threshold_local,2026-03,6298,2026-02-28 23:00:00+00:00,2026-03-01 00:00:00+00:00
mean5,6,qar_qar,2025-11,3448,2025-10-31 23:00:00+00:00,2025-11-01 00:00:00+00:00
mean5,6,qar_qar,2025-12,4168,2025-11-30 23:00:00+00:00,2025-12-01 00:00:00+00:00
mean5,6,qar_qar,2026-01,4909,2025-12-31 23:00:00+00:00,2026-01-01 22:00:00+00:00
mean5,6,qar_qar,2026-02,5626,2026-01-31 23:00:00+00:00,2026-02-01 00:00:00+00:00
mean5,6,qar_qar,2026-03,6298,2026-02-28 23:00:00+00:00,2026-03-01 00:00:00+00:00
