a,b,n,threshold_a,threshold_b,a_events,b_events,intersection,a_only,b_only,jaccard
mean5,mean5,1865,-9.9782572592364,-9.9782572592364,384,384,384,0,0,1.0
mean5,median5,1865,-9.9782572592364,-8.70075145810567,384,306,229,155,77,0.4967462039045553
mean5,BTC,1865,-9.9782572592364,-9.231278034027566,384,279,152,232,127,0.2974559686888454
median5,mean5,1865,-8.70075145810567,-9.9782572592364,306,384,229,77,155,0.4967462039045553
median5,median5,1865,-8.70075145810567,-8.70075145810567,306,306,306,0,0,1.0
median5,BTC,1865,-8.70075145810567,-9.231278034027566,306,279,198,108,81,0.5116279069767442
BTC,mean5,1865,-9.231278034027566,-9.9782572592364,279,384,152,127,232,0.2974559686888454
BTC,median5,1865,-9.231278034027566,-8.70075145810567,279,306,198,81,108,0.5116279069767442
BTC,BTC,1865,-9.231278034027566,-9.231278034027566,279,279,279,0,0,1.0
