datetime_utc,BTC,ETH,XRP,SOL,DOGE,mean5,median5,reference_component,dispersion,without_BTC,without_ETH,without_XRP,without_SOL,without_DOGE
2025-06-01 19:00:00+00:00,-1.2702425119570648,-1.9572501873543757,-5.430677886035795,-7.006337804122964,1.9404865373040536,-2.7448043704332292,-1.9572501873543757,-0.7875541830788535,3.539813162589024,-3.1134448350522703,-2.9416929162029426,-2.0733359915325877,-1.6794210120107955,-3.91612709736755
2025-06-01 20:00:00+00:00,-10.507910395372022,-14.79474835750949,-8.685574200386625,-6.3268533714921915,-9.499713751601746,-9.962960015272415,-9.499713751601746,-0.4632462636706691,3.1108974849216646,-9.826722420247513,-8.755012929713146,-10.282306468993863,-10.871986676217471,-10.078771581190082
2025-06-01 21:00:00+00:00,-0.005941939731357593,-3.471289659913168,-6.616713701941279,8.132910570344265,1.899449222841909,-0.012317101679926168,-0.005941939731357593,-0.006375161948568575,5.603172551410686,-0.013910892167068312,0.8524260378783843,1.638782048385412,-2.048624019685974,-0.490258682810385
2025-06-01 22:00:00+00:00,4.29315518194251,-0.4921952505210214,1.0157773897834232,7.7543971655469335,-17.498634517538747,-0.9855000061573804,1.0157773897834232,-2.0012773959408037,9.761942370184714,-2.305163803182353,-1.1088261950664702,-1.4858193551425813,-3.170474299083459,3.142783621687961
2025-06-01 23:00:00+00:00,-1.8659316357361178,-0.5157674905209575,3.2391232117578994,-3.7656267195451676,0.7197985269513651,-0.43768082141859566,-0.5157674905209575,0.07808666910236184,2.644799999888155,-0.08061811783921513,-0.4181591541430052,-1.3568818297127194,0.3943056531130473,-0.7270506585110859
2025-06-02 00:00:00+00:00,-2.5372614953944606,5.095908849019892,6.02226695385788,3.887733387148984,0.4366668934885354,2.581062917624166,3.887733387148984,-1.3066704695248177,3.5591221564737077,3.860644020878823,1.9523514347752347,1.7207619085657377,2.2543953002429618,3.117161923658074
2025-06-02 01:00:00+00:00,-7.044715780466504,5.016250068878847,3.847605590907577,1.7417402001385085,4.640516034335462,1.6402792227587781,3.847605590907577,-2.2073263681487987,5.01772663441564,3.8115279735650986,0.7962865112287609,1.0884476307215785,1.6149139784138455,0.8902200198646071
2025-06-02 02:00:00+00:00,-9.115191088122643,-7.454495126948402,-4.271128959807413,-3.4081881937897407,-7.388882383505546,-6.327577150434749,-7.388882383505546,1.0613052330707973,2.393685204347063,-5.630673666012775,-6.045847656306336,-6.841689198091583,-7.057424389596001,-6.06225084216705
2025-06-02 03:00:00+00:00,-3.9360615123040787,-1.4620926961494973,-9.561698592843726,1.7379928223348884,2.7608128903811036,-2.092209417716262,-1.4620926961494973,-0.6301167215667647,4.945007100334736,-1.6312463940693078,-2.249738598107953,-0.22483712393439603,-3.0497599777290496,-3.3054649947406034
2025-06-02 04:00:00+00:00,-8.209290971228356,-11.925548633247018,-5.588381637968709,-5.636704921752056,-4.112911431315425,-7.094567519102313,-5.636704921752056,-1.4578625973502568,3.076736062252427,-6.815886656070802,-5.886822240566136,-7.471113989385714,-7.459033168439877,-7.839981541049035
2025-06-02 05:00:00+00:00,-13.630494537650861,-14.699530308730502,-4.193553284572715,-7.149836885895766,-14.147062835432322,-10.764095570456433,-13.630494537650861,2.866398967194428,4.779729304671821,-10.047495828657826,-9.780236885887916,-12.406731141927363,-11.6676602415966,-9.918353754212461
2025-06-02 06:00:00+00:00,-1.566545826134913,-2.6896637416218283,0.25714894624329077,-6.852542329465194,-4.133938466779341,-2.997108283551597,-2.6896637416218283,-0.3074445419297689,2.687376776546791,-3.3547488979057682,-3.0739694190340394,-3.810672591000319,-2.033249772073198,-2.7129007377446612
