datetime_utc,BTC,ETH,XRP,SOL,DOGE,mean5,median5,reference_component,dispersion,without_BTC,without_ETH,without_XRP,without_SOL,without_DOGE
2025-10-10 22:00:00+00:00,141.30400710767432,176.8415408789803,-232.44850510148575,-55.748910746595826,-1235.9753019114983,-241.20543395458503,-55.748910746595826,-185.45652320798922,579.8953874768289,-336.8327942201499,-345.7171776629764,-243.39466616785987,-287.56956475658234,7.487033034643257
2025-07-18 08:00:00+00:00,138.35635680693235,308.3845232395621,198.41468032663732,239.9124776556061,243.24245124089038,225.66209785392567,239.9124776556061,-14.250379801680424,62.689424931673926,247.488533115674,204.98149150751652,232.47395223574773,222.09950290350554,221.26700950718447
2025-10-10 21:00:00+00:00,-27.486656699551304,-106.2878552126989,-462.2836415633991,-162.59428340379856,-312.8063773214684,-214.29176284018322,-162.59428340379856,-51.69747943638467,173.52141244105925,-260.99303937534125,-241.29273974705436,-152.29379315937928,-227.21613269927943,-189.66310921986195
2025-10-11 00:00:00+00:00,49.330830423341965,-36.30276402017962,-134.9520737796883,-125.74287660128469,-363.4357038657665,-122.22051756871542,-125.74287660128469,3.5223590325692697,154.24897974520565,-165.1083545667298,-143.6999559558494,-119.03762851597222,-121.33992781057313,-61.91672099445266
2025-12-01 17:00:00+00:00,-1.0279874736252026,-7.308168349533517,-4.438610672030663,-159.6275943320524,-294.3365713134316,-93.34778642813468,-7.308168349533517,-86.03961807860117,130.97719961618395,-116.42773616676205,-114.85769094778496,-115.57508036716068,-76.77783445215525,-43.10059020681045
2025-12-01 20:00:00+00:00,-1.046718041521899,-2.491538432582985,1.2233009272133444,-186.02773560057352,-270.94695282383617,-91.85792879426025,-2.491538432582985,-89.36639036167726,128.2945576524196,-114.56073148244484,-114.19952638467956,-115.12823622462864,-68.31547709268193,-47.08567278686627
2025-12-01 18:00:00+00:00,-4.978941761635269,-9.234128161184074,-14.504998114404088,-165.7440328505011,-249.0944492033087,-88.71131001820666,-14.504998114404088,-74.20631190380257,112.3511241354283,-109.6444020823495,-108.58060548246229,-107.2628879941573,-69.45312931013304,-48.61552522193114
2025-12-01 19:00:00+00:00,-1.5026009770835458,-5.313423020885111,-10.34866627126263,-163.99670761572338,-250.02360557320634,-86.2370006916322,-10.34866627126263,-75.88833442036957,114.41176423195043,-107.42060062026937,-106.46789510931897,-105.2090842967246,-66.79707396060941,-45.29034947123867
2025-12-01 21:00:00+00:00,2.49543326236612,2.9399067881019647,-3.8939587106767704,-184.62703909611912,-225.3294634925229,-81.68302424977014,-3.8939587106767704,-77.78906553909337,113.50105900807218,-102.72763862780421,-102.83875700923817,-101.13029063454348,-55.9470205381829,-45.77141443908195
2025-10-11 01:00:00+00:00,12.690929750140967,-39.00767762336166,-92.8993575961723,-76.15261054954026,-88.6201861316227,-56.79778043011119,-76.15261054954026,19.354830119429067,44.25993512153631,-74.16995797517423,-61.24530613179857,-47.77238613859591,-51.95907290025392,-48.84217900473331
