scenario,h,model,q,target,n,beta_standardized,ci95_low,ci95_high,bootstrap_sign_tail,B,successful,block_calendar_days,refit_residual_stages,projection,note
clock_FXUTC_USNY_quote,1,M0,0.1,e_origin,661,0.3853195189078329,0.16964426028267315,0.522760748221166,0.004,499,499,5,True,sequential,percentile sensitivity intervals; sign-tail statistic is not a calibrated null-imposed p-value
clock_FXUTC_USNY_quote,1,M0,0.1,downside,661,-0.2500845185844786,-0.4993557116611451,-0.06808672668927661,0.008,499,499,5,True,sequential,percentile sensitivity intervals; sign-tail statistic is not a calibrated null-imposed p-value
clock_FXUTC_USNY_quote,1,M1,0.1,e_origin,661,0.40357480498944126,0.1707626271505637,0.5527534241366717,0.004,499,499,5,True,sequential,percentile sensitivity intervals; sign-tail statistic is not a calibrated null-imposed p-value
clock_FXUTC_USNY_quote,1,M1,0.1,downside,661,-0.1596318616863414,-0.5495116976720272,0.16494735976584426,0.44,499,499,5,True,sequential,percentile sensitivity intervals; sign-tail statistic is not a calibrated null-imposed p-value
clock_FXUTC_USNY_quote,1,M1,0.1,btc_vol,661,-0.09365076569272235,-0.46130689091300353,0.19043577972715253,0.448,499,499,5,True,sequential,percentile sensitivity intervals; sign-tail statistic is not a calibrated null-imposed p-value
clock_FXUTC_USNY_quote,1,M2,0.1,e_origin,661,0.43517339518788245,0.17953175157273185,0.5622145907353374,0.004,499,499,5,True,sequential,percentile sensitivity intervals; sign-tail statistic is not a calibrated null-imposed p-value
clock_FXUTC_USNY_quote,1,M2,0.1,downside,661,-0.033010998599438596,-0.5204726281444066,0.17824364160814846,0.672,499,499,5,True,sequential,percentile sensitivity intervals; sign-tail statistic is not a calibrated null-imposed p-value
clock_FXUTC_USNY_quote,1,M2,0.1,btc_vol,661,-0.1757641965956101,-0.3950653891605909,0.19676541288623337,0.368,499,499,5,True,sequential,percentile sensitivity intervals; sign-tail statistic is not a calibrated null-imposed p-value
clock_FXUTC_USNY_quote,1,M2,0.1,account_ls,661,-0.1698071425546019,-0.2331754371017654,0.05836633047616163,0.232,499,499,5,True,sequential,percentile sensitivity intervals; sign-tail statistic is not a calibrated null-imposed p-value
clock_FXUTC_USNY_quote,6,M0,0.1,e_origin,220,0.1793649142012262,-0.25405376825726184,0.3290113342919197,0.54,499,499,5,True,sequential,percentile sensitivity intervals; sign-tail statistic is not a calibrated null-imposed p-value
clock_FXUTC_USNY_quote,6,M0,0.1,downside,220,-0.17594296624884803,-0.4719426355814671,0.22439582822409385,0.26,499,499,5,True,sequential,percentile sensitivity intervals; sign-tail statistic is not a calibrated null-imposed p-value
