scenario,h,model,target,n,beta,effect_bp_per_predictor_sd
clock_FXUTC_USNY_quote,1,M0,downside,220,-0.3054431344554659,-2.8384261682686684
clock_FXUTC_USNY_quote,1,M1,downside,220,-0.5202180847541028,-4.83428978557691
clock_FXUTC_USNY_quote,1,M2,downside,220,-0.2576399638141345,-2.3942002054999727
clock_FXUTC_USNY_quote,1,M2,account_ls,220,-0.09061134056269071,-0.842034314025627
clock_FXUTC_USNY_quote,3,M0,downside,220,-0.5616220106937957,-5.279732691528975
clock_FXUTC_USNY_quote,3,M1,downside,220,-0.009271199302322716,-0.08715729283060775
clock_FXUTC_USNY_quote,3,M2,downside,220,0.014993499296819604,0.14095186244578156
clock_FXUTC_USNY_quote,3,M2,account_ls,220,-0.04365553448609806,-0.41039978527139437
clock_FXUTC_USNY_quote,6,M0,downside,220,-0.17594296624884803,-1.3946367253302023
clock_FXUTC_USNY_quote,6,M1,downside,220,0.0738609711782144,0.5854694005101657
clock_FXUTC_USNY_quote,6,M2,downside,220,0.020324710212318697,0.16110668075075182
clock_FXUTC_USNY_quote,6,M2,account_ls,220,0.1400631807781037,1.1102305476845717
clock_FXUTC_USNY_quote,12,M0,downside,220,-0.06977903830275181,-0.5679612337380087
clock_FXUTC_USNY_quote,12,M1,downside,220,0.2247774163457792,1.8295588734010426
clock_FXUTC_USNY_quote,12,M2,downside,220,0.21851232332103984,1.778564619963846
clock_FXUTC_USNY_quote,12,M2,account_ls,220,0.0785378236169829,0.6392527079989955
clock_FXKST_USNY_quote,1,M0,downside,576,-0.5113365012792055,-4.410582215905856
clock_FXKST_USNY_quote,1,M1,downside,576,0.15143265476987924,1.3061969414750287
clock_FXKST_USNY_quote,1,M2,downside,576,0.13392049337903145,1.155144107579309
clock_FXKST_USNY_quote,1,M2,account_ls,576,0.030134069017403804,0.25992431318426173
clock_FXKST_USNY_quote,3,M0,downside,576,-0.37234886766013636,-3.4721158563120356
clock_FXKST_USNY_quote,3,M1,downside,576,-0.6677348878284718,-6.22656087666193
clock_FXKST_USNY_quote,3,M2,downside,576,-0.6513662313877635,-6.07392479660224
clock_FXKST_USNY_quote,3,M2,account_ls,576,-0.006889980302885504,-0.0642483754809268
clock_FXKST_USNY_quote,6,M0,downside,576,-0.30122954065621244,-3.047342344286996
clock_FXKST_USNY_quote,6,M1,downside,576,-0.36489443334813476,-3.6913984449003188
clock_FXKST_USNY_quote,6,M2,downside,576,-0.438652708013287,-4.437562692732808
clock_FXKST_USNY_quote,6,M2,account_ls,576,0.058728546742705716,0.5941183156127963
clock_FXKST_USNY_quote,12,M0,downside,576,-0.3024939861703293,-2.546718297547841
clock_FXKST_USNY_quote,12,M1,downside,576,-0.14909636247275937,-1.2552528373023426
clock_FXKST_USNY_quote,12,M2,downside,576,-0.015995093499228934,-0.13466382522572745
clock_FXKST_USNY_quote,12,M2,account_ls,576,-0.10093966870500838,-0.8498182211619674
