scenario,h,model,q,target,n,beta_standardized,ci95_low,ci95_high,bootstrap_sign_tail,B,successful,block_calendar_days,refit_residual_stages,projection,note
archived,1,M0,0.1,e_origin,714,0.5601139548356601,0.2640788662058546,0.6098826604363831,0.004,499,499,5,True,sequential,percentile sensitivity intervals; sign-tail statistic is not a calibrated null-imposed p-value
archived,1,M0,0.1,downside,714,-0.11502607599628197,-0.35626345076882154,-0.026912453889572047,0.004,499,499,5,True,sequential,percentile sensitivity intervals; sign-tail statistic is not a calibrated null-imposed p-value
archived,1,M1,0.1,e_origin,714,0.5203066022715264,0.25863787031873275,0.606061271038395,0.004,499,499,5,True,sequential,percentile sensitivity intervals; sign-tail statistic is not a calibrated null-imposed p-value
archived,1,M1,0.1,downside,714,0.058412566516993975,-0.1236930576901926,0.2919054661250593,0.44,499,499,5,True,sequential,percentile sensitivity intervals; sign-tail statistic is not a calibrated null-imposed p-value
archived,1,M1,0.1,btc_vol,714,-0.2691292026052228,-0.5241657303434437,-0.12600100475376355,0.008,499,499,5,True,sequential,percentile sensitivity intervals; sign-tail statistic is not a calibrated null-imposed p-value
archived,1,M2,0.1,e_origin,714,0.5105786092568475,0.23619623784808438,0.6034514295104111,0.004,499,499,5,True,sequential,percentile sensitivity intervals; sign-tail statistic is not a calibrated null-imposed p-value
archived,1,M2,0.1,downside,714,0.1173491427155228,-0.07375031049598209,0.32489140049485155,0.18,499,499,5,True,sequential,percentile sensitivity intervals; sign-tail statistic is not a calibrated null-imposed p-value
archived,1,M2,0.1,btc_vol,714,-0.2751691231671555,-0.4807808488219457,-0.03979794722355535,0.024,499,499,5,True,sequential,percentile sensitivity intervals; sign-tail statistic is not a calibrated null-imposed p-value
archived,1,M2,0.1,account_ls,714,-0.1505218861387693,-0.32343008628016,-0.02196779920578291,0.024,499,499,5,True,sequential,percentile sensitivity intervals; sign-tail statistic is not a calibrated null-imposed p-value
archived,6,M0,0.1,e_origin,708,0.3389678353255046,0.1814058174658061,0.570858026218348,0.004,499,499,5,True,sequential,percentile sensitivity intervals; sign-tail statistic is not a calibrated null-imposed p-value
archived,6,M0,0.1,downside,708,-0.318809618105609,-0.5001440078984408,-0.051523374999013626,0.024,499,499,5,True,sequential,percentile sensitivity intervals; sign-tail statistic is not a calibrated null-imposed p-value
archived,6,M1,0.1,e_origin,708,0.3900548747113471,0.1727483753956485,0.5173819462462603,0.004,499,499,5,True,sequential,percentile sensitivity intervals; sign-tail statistic is not a calibrated null-imposed p-value
archived,6,M1,0.1,downside,708,0.13014024405364072,-0.15132051219085402,0.5526258457533951,0.332,499,499,5,True,sequential,percentile sensitivity intervals; sign-tail statistic is not a calibrated null-imposed p-value
archived,6,M1,0.1,btc_vol,708,-0.4052492942651455,-0.7710860149360722,-0.14891098016014248,0.008,499,499,5,True,sequential,percentile sensitivity intervals; sign-tail statistic is not a calibrated null-imposed p-value
archived,6,M2,0.1,e_origin,708,0.27838411394378276,0.11919466851895433,0.41702685835158604,0.004,499,499,5,True,sequential,percentile sensitivity intervals; sign-tail statistic is not a calibrated null-imposed p-value
archived,6,M2,0.1,downside,708,0.340284940625818,-0.012635908304648589,0.6438006063699543,0.06,499,499,5,True,sequential,percentile sensitivity intervals; sign-tail statistic is not a calibrated null-imposed p-value
archived,6,M2,0.1,btc_vol,708,-0.4535609664374817,-0.7274643260733593,-0.14053358407711003,0.004,499,499,5,True,sequential,percentile sensitivity intervals; sign-tail statistic is not a calibrated null-imposed p-value
archived,6,M2,0.1,account_ls,708,-0.220294079555324,-0.5366021436807114,-0.08832504616929063,0.004,499,499,5,True,sequential,percentile sensitivity intervals; sign-tail statistic is not a calibrated null-imposed p-value
archived,12,M0,0.1,e_origin,702,0.28938815919700406,0.08714070350498239,0.4877755085881568,0.004,499,499,5,True,sequential,percentile sensitivity intervals; sign-tail statistic is not a calibrated null-imposed p-value
archived,12,M0,0.1,downside,702,-0.5524184704541487,-0.767288986224605,-0.17457721445755053,0.008,499,499,5,True,sequential,percentile sensitivity intervals; sign-tail statistic is not a calibrated null-imposed p-value
archived,12,M1,0.1,e_origin,702,0.29911464714340896,0.10644217317706738,0.5155662247846675,0.004,499,499,5,True,sequential,percentile sensitivity intervals; sign-tail statistic is not a calibrated null-imposed p-value
archived,12,M1,0.1,downside,702,-0.49727191327995096,-0.6880974512558126,0.19352723610752687,0.316,499,499,5,True,sequential,percentile sensitivity intervals; sign-tail statistic is not a calibrated null-imposed p-value
archived,12,M1,0.1,btc_vol,702,-0.1499054831965696,-0.604390567061639,0.11090948023564819,0.26,499,499,5,True,sequential,percentile sensitivity intervals; sign-tail statistic is not a calibrated null-imposed p-value
archived,12,M2,0.1,e_origin,702,0.23838453604506538,0.05599577382830885,0.4097151911669674,0.016,499,499,5,True,sequential,percentile sensitivity intervals; sign-tail statistic is not a calibrated null-imposed p-value
archived,12,M2,0.1,downside,702,0.013494192015169555,-0.5231373224312107,0.4107707435519229,0.872,499,499,5,True,sequential,percentile sensitivity intervals; sign-tail statistic is not a calibrated null-imposed p-value
archived,12,M2,0.1,btc_vol,702,-0.25905508197606714,-0.5195421024976135,0.055409419825983894,0.128,499,499,5,True,sequential,percentile sensitivity intervals; sign-tail statistic is not a calibrated null-imposed p-value
archived,12,M2,0.1,account_ls,702,-0.34604192257351607,-0.5329421826710214,-0.18678314488472506,0.004,499,499,5,True,sequential,percentile sensitivity intervals; sign-tail statistic is not a calibrated null-imposed p-value
