scenario,h,model,n,q,target,beta_standardized,beta_raw,effect_bp_per_predictor_sd,status,h_is_elapsed_hours
archived,1,M0,714,0.1,e_origin,0.5601139548356601,0.5605442205213972,5.28362281505018,estimated,False
archived,1,M0,714,0.1,downside,-0.11502607599628197,-6.77923939016923,-1.085054914652089,estimated,False
archived,1,M0,714,0.25,e_origin,0.41787338706694993,0.4181943870668346,3.941850301439168,estimated,False
archived,1,M0,714,0.25,downside,-0.19448511396334744,-11.46228047824994,-1.834601649276664,estimated,False
archived,1,M0,714,0.5,e_origin,0.3931564629110851,0.3934584759812041,3.708692560482491,estimated,False
archived,1,M0,714,0.5,downside,-0.15740265061468384,-9.276768245129052,-1.4847982785594536,estimated,False
archived,1,M0,714,0.75,e_origin,0.32447844890274136,0.32472770522124356,3.060844531391183,estimated,False
archived,1,M0,714,0.75,downside,-0.09396032122552847,-5.5376966070340945,-0.8863390969830536,estimated,False
archived,1,M0,714,0.9,e_origin,0.3197220847628024,0.31996768736002057,3.01597717204492,estimated,False
archived,1,M0,714,0.9,downside,-0.07208524567843644,-4.248455254346663,-0.6799888583508573,estimated,False
archived,1,M1,714,0.1,e_origin,0.5203066022715264,0.5207062889336549,4.908115234139587,estimated,False
archived,1,M1,714,0.1,downside,0.058412566516993975,3.4426347972235933,0.5510128188564396,estimated,False
archived,1,M1,714,0.1,btc_vol,-0.2691292026052228,-0.13441352730421377,-2.53872838340268,estimated,False
archived,1,M1,714,0.25,e_origin,0.43319715139018383,0.43352992272678975,4.086401227356459,estimated,False
archived,1,M1,714,0.25,downside,-0.02887030039848315,-1.7015157299962287,-0.27233704239262113,estimated,False
archived,1,M1,714,0.25,btc_vol,-0.18265495991383382,-0.09122494773501673,-1.7230063724549893,estimated,False
archived,1,M1,714,0.5,e_origin,0.4125274662817312,0.41284435967749955,3.8914215828107954,estimated,False
archived,1,M1,714,0.5,downside,-0.14531931319411232,-8.564618097462604,-1.3708146923158055,estimated,False
archived,1,M1,714,0.5,btc_vol,-0.04558702497854023,-0.02276792249728154,-0.43002793122258187,estimated,False
archived,1,M1,714,0.75,e_origin,0.3399815922403156,0.3402427576900609,3.2070875612893293,estimated,False
archived,1,M1,714,0.75,downside,-0.0165087872665816,-0.9729708672766665,-0.1557293909524411,estimated,False
archived,1,M1,714,0.75,btc_vol,-0.030335411638207525,-0.015150677225086992,-0.2861576142708302,estimated,False
archived,1,M1,714,0.9,e_origin,0.28333543643910414,0.28355308771310045,2.672737508782633,estimated,False
archived,1,M1,714,0.9,downside,-0.21033106977383054,-12.396186350243523,-1.9840784707765147,estimated,False
archived,1,M1,714,0.9,btc_vol,0.1430074631618941,0.07142345523393072,1.3490067307934284,estimated,False
archived,1,M2,714,0.1,e_origin,0.5105786092568475,0.5109708231153632,4.816349897116184,estimated,False
archived,1,M2,714,0.1,downside,0.1173491427155228,6.916152914104253,1.1069686845424784,estimated,False
archived,1,M2,714,0.1,btc_vol,-0.2751691231671555,-0.1374300971134645,-2.595703686029236,estimated,False
archived,1,M2,714,0.1,account_ls,-0.1505218861387693,-0.00021859795128382258,-1.4198911933921226,estimated,False
archived,1,M2,714,0.25,e_origin,0.410892226487975,0.41120786373298135,3.8759961676648667,estimated,False
archived,1,M2,714,0.25,downside,-0.019493985040316734,-1.1489081072448006,-0.18388912332220808,estimated,False
archived,1,M2,714,0.25,btc_vol,-0.12846097361197226,-0.06415837604010213,-1.2117879320091585,estimated,False
