scenario,h,model,q,target,n,beta_standardized,ci95_low,ci95_high,bootstrap_sign_tail,B,successful,block_calendar_days,refit_residual_stages,projection,note
clock_FXKST_USNY_quote,1,M0,0.1,e_origin,1660,0.4815355328043865,0.17515335139442262,0.6105712991291867,0.004,499,499,5,True,sequential,percentile sensitivity intervals; sign-tail statistic is not a calibrated null-imposed p-value
clock_FXKST_USNY_quote,1,M0,0.1,downside,1660,-0.32385393078989333,-0.6299925743870148,-0.08733996772749436,0.004,499,499,5,True,sequential,percentile sensitivity intervals; sign-tail statistic is not a calibrated null-imposed p-value
clock_FXKST_USNY_quote,1,M1,0.1,e_origin,1660,0.46962037998890904,0.18689108156743126,0.6093776890956711,0.004,499,499,5,True,sequential,percentile sensitivity intervals; sign-tail statistic is not a calibrated null-imposed p-value
clock_FXKST_USNY_quote,1,M1,0.1,downside,1660,-0.32781624181583224,-0.6859462543812389,0.0572534298697686,0.184,499,499,5,True,sequential,percentile sensitivity intervals; sign-tail statistic is not a calibrated null-imposed p-value
clock_FXKST_USNY_quote,1,M1,0.1,btc_vol,1660,-0.006600744804844608,-0.22965196171170085,0.16770562464544486,0.888,499,499,5,True,sequential,percentile sensitivity intervals; sign-tail statistic is not a calibrated null-imposed p-value
clock_FXKST_USNY_quote,1,M2,0.1,e_origin,1660,0.47001756010984996,0.1805456771070894,0.6067693086740517,0.004,499,499,5,True,sequential,percentile sensitivity intervals; sign-tail statistic is not a calibrated null-imposed p-value
clock_FXKST_USNY_quote,1,M2,0.1,downside,1660,-0.33751300847410776,-0.7055340246824826,0.06647213153800434,0.236,499,499,5,True,sequential,percentile sensitivity intervals; sign-tail statistic is not a calibrated null-imposed p-value
clock_FXKST_USNY_quote,1,M2,0.1,btc_vol,1660,-0.0005909740282855142,-0.23220117739925122,0.17676966017408197,0.908,499,499,5,True,sequential,percentile sensitivity intervals; sign-tail statistic is not a calibrated null-imposed p-value
clock_FXKST_USNY_quote,1,M2,0.1,account_ls,1660,-0.0037096047024464834,-0.09501343045049994,0.1008231425181543,0.996,499,499,5,True,sequential,percentile sensitivity intervals; sign-tail statistic is not a calibrated null-imposed p-value
clock_FXKST_USNY_quote,6,M0,0.1,e_origin,1522,0.2904693832365193,0.10910448791444112,0.4391600507813844,0.004,499,499,5,True,sequential,percentile sensitivity intervals; sign-tail statistic is not a calibrated null-imposed p-value
clock_FXKST_USNY_quote,6,M0,0.1,downside,1522,-0.2980200055000938,-0.7826599481079427,-0.048297055378433394,0.008,499,499,5,True,sequential,percentile sensitivity intervals; sign-tail statistic is not a calibrated null-imposed p-value
clock_FXKST_USNY_quote,6,M1,0.1,e_origin,1522,0.29545051948962386,0.11081181227067251,0.4227120632029692,0.004,499,499,5,True,sequential,percentile sensitivity intervals; sign-tail statistic is not a calibrated null-imposed p-value
clock_FXKST_USNY_quote,6,M1,0.1,downside,1522,-0.23810052855444222,-0.848092336950651,0.1024134589180871,0.32,499,499,5,True,sequential,percentile sensitivity intervals; sign-tail statistic is not a calibrated null-imposed p-value
clock_FXKST_USNY_quote,6,M1,0.1,btc_vol,1522,-0.06411512124428059,-0.24760222250565625,0.171310366569643,0.552,499,499,5,True,sequential,percentile sensitivity intervals; sign-tail statistic is not a calibrated null-imposed p-value
clock_FXKST_USNY_quote,6,M2,0.1,e_origin,1522,0.2871127236790143,0.11362036809348788,0.42181168593846075,0.004,499,499,5,True,sequential,percentile sensitivity intervals; sign-tail statistic is not a calibrated null-imposed p-value
