scenario,h,model,n,min_hours,median_hours,max_hours
archived,1,M0,714,1.0,1.0,94.0
archived,1,M1,714,1.0,1.0,94.0
archived,1,M2,714,1.0,1.0,94.0
archived,3,M0,711,24.0,24.0,118.0
archived,3,M1,711,24.0,24.0,118.0
archived,3,M2,711,24.0,24.0,118.0
archived,6,M0,708,27.0,49.0,142.0
archived,6,M1,708,27.0,49.0,142.0
archived,6,M2,708,27.0,49.0,142.0
archived,12,M0,702,73.0,122.0,238.0
archived,12,M1,702,73.0,122.0,238.0
archived,12,M2,702,73.0,122.0,238.0
quote_only,1,M0,714,1.0,1.0,94.0
quote_only,1,M1,714,1.0,1.0,94.0
quote_only,1,M2,714,1.0,1.0,94.0
quote_only,3,M0,711,24.0,24.0,118.0
quote_only,3,M1,711,24.0,24.0,118.0
quote_only,3,M2,711,24.0,24.0,118.0
quote_only,6,M0,708,27.0,49.0,142.0
quote_only,6,M1,708,27.0,49.0,142.0
quote_only,6,M2,708,27.0,49.0,142.0
quote_only,12,M0,702,73.0,122.0,238.0
quote_only,12,M1,702,73.0,122.0,238.0
quote_only,12,M2,702,73.0,122.0,238.0
clock_UTC_oldquote,1,M0,1349,1.0,1.0,1.0
clock_UTC_oldquote,1,M1,1349,1.0,1.0,1.0
clock_UTC_oldquote,1,M2,1349,1.0,1.0,1.0
clock_UTC_oldquote,3,M0,937,3.0,3.0,3.0
clock_UTC_oldquote,3,M1,937,3.0,3.0,3.0
clock_UTC_oldquote,3,M2,937,3.0,3.0,3.0
clock_UTC_oldquote,6,M0,322,6.0,6.0,6.0
clock_UTC_oldquote,6,M1,322,6.0,6.0,6.0
clock_UTC_oldquote,6,M2,322,6.0,6.0,6.0
clock_UTC_oldquote,12,M0,763,12.0,12.0,12.0
clock_UTC_oldquote,12,M1,763,12.0,12.0,12.0
clock_UTC_oldquote,12,M2,763,12.0,12.0,12.0
clock_UTC_quote,1,M0,1349,1.0,1.0,1.0
clock_UTC_quote,1,M1,1349,1.0,1.0,1.0
clock_UTC_quote,1,M2,1349,1.0,1.0,1.0
clock_UTC_quote,3,M0,937,3.0,3.0,3.0
clock_UTC_quote,3,M1,937,3.0,3.0,3.0
clock_UTC_quote,3,M2,937,3.0,3.0,3.0
clock_UTC_quote,6,M0,322,6.0,6.0,6.0
clock_UTC_quote,6,M1,322,6.0,6.0,6.0
clock_UTC_quote,6,M2,322,6.0,6.0,6.0
clock_UTC_quote,12,M0,763,12.0,12.0,12.0
clock_UTC_quote,12,M1,763,12.0,12.0,12.0
clock_UTC_quote,12,M2,763,12.0,12.0,12.0
clock_NY_quote,1,M0,1350,1.0,1.0,1.0
clock_NY_quote,1,M1,1350,1.0,1.0,1.0
clock_NY_quote,1,M2,1350,1.0,1.0,1.0
clock_NY_quote,3,M0,940,3.0,3.0,3.0
clock_NY_quote,3,M1,940,3.0,3.0,3.0
clock_NY_quote,3,M2,940,3.0,3.0,3.0
clock_NY_quote,6,M0,323,6.0,6.0,6.0
clock_NY_quote,6,M1,323,6.0,6.0,6.0
clock_NY_quote,6,M2,323,6.0,6.0,6.0
clock_NY_quote,12,M0,768,12.0,12.0,12.0
clock_NY_quote,12,M1,768,12.0,12.0,12.0
clock_NY_quote,12,M2,768,12.0,12.0,12.0
clock_FXUTC_USNY_quote,1,M0,661,1.0,1.0,1.0
clock_FXUTC_USNY_quote,1,M1,661,1.0,1.0,1.0
clock_FXUTC_USNY_quote,1,M2,661,1.0,1.0,1.0
clock_FXUTC_USNY_quote,3,M0,337,3.0,3.0,3.0
clock_FXUTC_USNY_quote,3,M1,337,3.0,3.0,3.0
clock_FXUTC_USNY_quote,3,M2,337,3.0,3.0,3.0
clock_FXUTC_USNY_quote,6,M0,220,6.0,6.0,6.0
clock_FXUTC_USNY_quote,6,M1,220,6.0,6.0,6.0
clock_FXUTC_USNY_quote,6,M2,220,6.0,6.0,6.0
clock_FXUTC_USNY_quote,12,M0,731,12.0,12.0,12.0
clock_FXUTC_USNY_quote,12,M1,731,12.0,12.0,12.0
clock_FXUTC_USNY_quote,12,M2,731,12.0,12.0,12.0
clock_FXKST_USNY_quote,1,M0,1660,1.0,1.0,1.0
clock_FXKST_USNY_quote,1,M1,1660,1.0,1.0,1.0
clock_FXKST_USNY_quote,1,M2,1660,1.0,1.0,1.0
clock_FXKST_USNY_quote,3,M0,1656,3.0,3.0,3.0
clock_FXKST_USNY_quote,3,M1,1656,3.0,3.0,3.0
clock_FXKST_USNY_quote,3,M2,1656,3.0,3.0,3.0
