definition,reference,cohort,h,group,outcome,n,outcome_n,days,status,mean,ci_low,ci_high,bootstrap_valid_fraction
EQ,linear,full12,12,both,e_now,260,260,69,adequate,4.320217120056525,2.8664383839232808,5.722571285674585,1.0
EQ,linear,full12,12,both,delta_e,260,260,69,adequate,-5.886489218394752,-6.9982628977091235,-4.853197011667843,1.0
EQ,linear,full12,12,both,target,260,260,69,adequate,-1.5662720983382272,-3.0052336191665785,-0.2958730537976688,1.0
EQ,linear,full12,12,both,local_logreturn_bp,260,260,69,adequate,-2.577567398791846,-8.24554691752148,3.330674418544658,1.0
EQ,linear,full12,12,both,local_change_krw,260,260,69,adequate,-0.3769230769230769,-1.2062465002081926,0.49038562053545487,1.0
EQ,linear,full12,12,both,delta_log_volume,260,260,69,adequate,0.05764810472418311,-0.0229676962116375,0.13060400536526778,1.0
EQ,linear,full12,12,both,delta_local_bp,260,260,69,adequate,-2.6183565454146622,-8.283944765397408,3.297946168518543,1.0
EQ,linear,full12,12,both,delta_quote_bp,260,260,69,adequate,-0.02090664866839526,-0.37308268326661065,0.3552478098145668,1.0
EQ,linear,full12,12,both,delta_fx_bp,260,260,69,adequate,-1.032581987376821,-7.13421325888106,5.968403714226488,1.0
EQ,linear,full12,12,both,delta_market_bp,260,260,69,adequate,-2.195668282421611,-8.048400315457444,3.2701518876798668,1.0
EQ,linear,full12,12,both,delta_g_bp,260,260,69,adequate,-0.01897575451327767,-0.0798060513686636,0.04714761266027861,1.0
EQ,linear,full12,12,both,fall10,260,260,69,adequate,0.34615384615384615,0.2960274368231047,0.39793528323426364,1.0
EQ,linear,full12,12,both,local_down,260,260,69,adequate,0.46923076923076923,0.392517217630854,0.5441339869281046,1.0
EQ,linear,full12,12,ml_only,e_now,9,9,5,limited,-8.752516366001155,-18.81286025652112,-0.47042039761066634,0.9994997498749375
EQ,linear,full12,12,ml_only,delta_e,9,9,5,limited,3.2308741764731934,-5.524267722512119,13.793616625899201,0.9994997498749375
EQ,linear,full12,12,ml_only,target,9,9,5,limited,-5.521642189527961,-8.049721662339977,-1.444799662865151,0.9994997498749375
EQ,linear,full12,12,ml_only,local_logreturn_bp,9,9,5,limited,-6.697146576357685,-33.91960297836338,12.84426200620371,0.9994997498749375
EQ,linear,full12,12,ml_only,local_change_krw,9,9,5,limited,-1.0,-5.006818181818182,1.8888888888888888,0.9994997498749375
EQ,linear,full12,12,ml_only,delta_log_volume,9,9,5,limited,-0.19405224331355658,-0.4513498430826619,0.011785836501727686,0.9994997498749375
EQ,linear,full12,12,ml_only,delta_local_bp,9,9,5,limited,-6.756471064573873,-33.896221699084926,12.78122005781619,0.9994997498749375
EQ,linear,full12,12,ml_only,delta_quote_bp,9,9,5,limited,-0.43663992392678025,-1.5574069902501473,0.9916496576173124,0.9994997498749375
EQ,linear,full12,12,ml_only,delta_fx_bp,9,9,5,limited,32.197906671561604,9.522520501762953,67.46131617361945,0.9994997498749375
EQ,linear,full12,12,ml_only,delta_market_bp,9,9,5,limited,-21.672176149540306,-46.24531338956805,1.3050981410568685,0.9994997498749375
EQ,linear,full12,12,ml_only,delta_g_bp,9,9,5,limited,-0.10174535704675815,-0.28598305522618683,0.09532768507539562,0.9994997498749375
EQ,linear,full12,12,ml_only,fall10,9,9,5,limited,0.2222222222222222,0.0,0.5454545454545454,0.9994997498749375
EQ,linear,full12,12,ml_only,local_down,9,9,5,limited,0.3333333333333333,0.0,0.8333333333333334,0.9994997498749375
EQ,linear,full12,12,reference_only,e_now,126,126,47,adequate,-6.966009377646577,-8.168958316970468,-5.798444186886727,1.0
EQ,linear,full12,12,reference_only,delta_e,126,126,47,adequate,6.255017551296016,3.8869088188975804,9.060693014886667,1.0
EQ,linear,full12,12,reference_only,target,126,126,47,adequate,-0.7109918263505602,-2.8285392641531475,1.6568606387179976,1.0
EQ,linear,full12,12,reference_only,local_logreturn_bp,126,126,47,adequate,-4.603499892041084,-13.280469830549862,2.682555074879629,1.0
EQ,linear,full12,12,reference_only,local_change_krw,126,126,47,adequate,-0.6746031746031746,-1.9473684210526316,0.39101562499999964,1.0
EQ,linear,full12,12,reference_only,delta_log_volume,126,126,47,adequate,0.04684030446022592,-0.047739542324324896,0.1650760895899523,1.0
EQ,linear,full12,12,reference_only,delta_local_bp,126,126,47,adequate,-4.675151809239991,-13.487979382711282,2.713016061536015,1.0
EQ,linear,full12,12,reference_only,delta_quote_bp,126,126,47,adequate,-0.06151418468648183,-0.7008551008356837,0.46292776479622033,1.0
EQ,linear,full12,12,reference_only,delta_fx_bp,126,126,47,adequate,-0.9146012269957164,-9.690224643708282,8.82967080083981,1.0
