definition,variant,information,calibration,threshold_bp,sample,strategy,fold,n,events,alarms,true_positives,false_positives,false_negatives,alarm_rate,recall,precision,cost,missed_severity_bp
EQ,original,F,calibrated,-10.0,full,linear,2026-01,137,17.0,113.0,14.0,99.0,3.0,0.8248175182481752,0.8235294117647058,0.12389380530973451,0.09197080291970801,0.1097120422447766
EQ,original,F,calibrated,-10.0,full,linear,2026-02,128,27.0,112.0,27.0,85.0,0.0,0.875,1.0,0.24107142857142858,0.06640625,0.0
EQ,original,F,calibrated,-10.0,full,linear,2026-03,105,31.0,66.0,29.0,37.0,2.0,0.6285714285714286,0.9354838709677419,0.4393939393939394,0.05238095238095238,0.10114824817545078
EQ,original,F,calibrated,-10.0,full,threshold,2025-12,139,29.0,95.0,25.0,70.0,4.0,0.6834532374100719,0.8620689655172413,0.2631578947368421,0.0762589928057554,0.5552840493979184
EQ,original,F,calibrated,-10.0,full,threshold,2026-01,137,17.0,70.0,13.0,57.0,4.0,0.5109489051094891,0.7647058823529411,0.18571428571428572,0.06788321167883213,0.09578449490434646
EQ,original,F,calibrated,-10.0,full,threshold,2026-02,128,27.0,96.0,25.0,71.0,2.0,0.75,0.9259259259259259,0.2604166666666667,0.06953125000000002,0.09856861040995565
EQ,original,F,calibrated,-10.0,full,threshold,2026-03,105,31.0,69.0,30.0,39.0,1.0,0.6571428571428571,0.967741935483871,0.43478260869565216,0.04571428571428572,0.0663911197172979
EQ,original,F,calibrated,-10.0,full,historical,2025-12,139,29.0,139.0,29.0,110.0,0.0,1.0,1.0,0.20863309352517986,0.07913669064748201,0.0
EQ,original,F,calibrated,-10.0,full,historical,2026-01,137,17.0,137.0,17.0,120.0,0.0,1.0,1.0,0.12408759124087591,0.08759124087591241,0.0
EQ,original,F,calibrated,-10.0,full,historical,2026-02,128,27.0,128.0,27.0,101.0,0.0,1.0,1.0,0.2109375,0.07890625,0.0
EQ,original,F,calibrated,-10.0,full,historical,2026-03,105,31.0,105.0,31.0,74.0,0.0,1.0,1.0,0.29523809523809524,0.07047619047619046,0.0
EQ,original,F,calibrated,-10.0,full,state_hist,2025-12,139,29.0,82.0,25.0,57.0,4.0,0.5899280575539568,0.8620689655172413,0.3048780487804878,0.06690647482014389,0.5552840493979184
EQ,original,F,calibrated,-10.0,full,state_hist,2026-01,137,17.0,48.0,12.0,36.0,5.0,0.35036496350364965,0.7058823529411765,0.25,0.05912408759124089,0.08899846028838804
EQ,original,F,calibrated,-10.0,full,state_hist,2026-02,128,27.0,77.0,27.0,50.0,0.0,0.6015625,1.0,0.35064935064935066,0.0390625,0.0
EQ,original,F,calibrated,-10.0,full,state_hist,2026-03,105,31.0,86.0,29.0,57.0,2.0,0.819047619047619,0.9354838709677419,0.3372093023255814,0.07142857142857142,0.0889033933520328
EQ,original,F,calibrated,-10.0,full,always_alarm,2025-12,139,29.0,139.0,29.0,110.0,0.0,1.0,1.0,0.20863309352517986,0.07913669064748201,0.0
EQ,original,F,calibrated,-10.0,full,always_alarm,2026-01,137,17.0,137.0,17.0,120.0,0.0,1.0,1.0,0.12408759124087591,0.08759124087591241,0.0
EQ,original,F,calibrated,-10.0,full,always_alarm,2026-02,128,27.0,128.0,27.0,101.0,0.0,1.0,1.0,0.2109375,0.07890625,0.0
EQ,original,F,calibrated,-10.0,full,always_alarm,2026-03,105,31.0,105.0,31.0,74.0,0.0,1.0,1.0,0.29523809523809524,0.07047619047619046,0.0
EQ,original,F,calibrated,-10.0,full,never_alarm,2025-12,139,29.0,0.0,0.0,0.0,29.0,0.0,0.0,,0.18776978417266188,1.821135061848711
EQ,original,F,calibrated,-10.0,full,never_alarm,2026-01,137,17.0,0.0,0.0,0.0,17.0,0.0,0.0,,0.11167883211678832,0.6150721689403652
EQ,original,F,calibrated,-10.0,full,never_alarm,2026-02,128,27.0,0.0,0.0,0.0,27.0,0.0,0.0,,0.18984375,2.0715455088394963
EQ,original,F,calibrated,-10.0,full,never_alarm,2026-03,105,31.0,0.0,0.0,0.0,31.0,0.0,0.0,,0.2657142857142857,3.0795363062255
EQ,original,F,calibrated,-10.0,nonoverlap,ml_selected,2025-12,40,7.0,22.0,6.0,16.0,1.0,0.55,0.8571428571428571,0.2727272727272727,0.0625,0.5133872441683853
EQ,original,F,calibrated,-10.0,nonoverlap,ml_selected,2026-01,37,5.0,10.0,3.0,7.0,2.0,0.2702702702702703,0.6,0.3,0.06756756756756757,0.17784711905464531
EQ,original,F,calibrated,-10.0,nonoverlap,ml_selected,2026-02,36,9.0,26.25,9.0,17.25,0.0,0.7291666666666666,1.0,0.34285714285714286,0.04791666666666668,0.0
EQ,original,F,calibrated,-10.0,nonoverlap,ml_selected,2026-03,25,9.0,16.25,8.0,8.25,1.0,0.65,0.8888888888888888,0.49230769230769234,0.069,0.27884270281265117
EQ,original,F,calibrated,-10.0,nonoverlap,linear,2025-12,40,7.0,26.0,6.0,20.0,1.0,0.65,0.8571428571428571,0.23076923076923078,0.07250000000000001,0.5133872441683853
EQ,original,F,calibrated,-10.0,nonoverlap,linear,2026-01,37,5.0,32.0,5.0,27.0,0.0,0.8648648648648649,1.0,0.15625,0.07297297297297299,0.0
EQ,original,F,calibrated,-10.0,nonoverlap,linear,2026-02,36,9.0,31.0,9.0,22.0,0.0,0.8611111111111112,1.0,0.2903225806451613,0.061111111111111116,0.0
EQ,original,F,calibrated,-10.0,nonoverlap,linear,2026-03,25,9.0,15.0,8.0,7.0,1.0,0.6,0.8888888888888888,0.5333333333333333,0.064,0.27884270281265117
EQ,original,F,calibrated,-10.0,nonoverlap,threshold,2025-12,40,7.0,27.0,6.0,21.0,1.0,0.675,0.8571428571428571,0.2222222222222222,0.07500000000000001,0.5133872441683853
EQ,original,F,calibrated,-10.0,nonoverlap,threshold,2026-01,37,5.0,20.0,4.0,16.0,1.0,0.5405405405405406,0.8,0.2,0.06756756756756759,0.1620286806601867
EQ,original,F,calibrated,-10.0,nonoverlap,threshold,2026-02,36,9.0,26.0,8.0,18.0,1.0,0.7222222222222222,0.8888888888888888,0.3076923076923077,0.07500000000000001,0.08081392224099569
EQ,original,F,calibrated,-10.0,nonoverlap,threshold,2026-03,25,9.0,15.0,8.0,7.0,1.0,0.6,0.8888888888888888,0.5333333333333333,0.064,0.27884270281265117
