definition,variant,information,calibration,threshold_bp,sample,reference,n,block_days,reference_cost,ml_cost,difference,difference_lo,difference_hi,improvement_pct,improvement_lo,improvement_hi,ratio_valid_fraction,p_centered_boot
EQ,original,F,calibrated,-20.0,full,threshold,509,5,0.039096267190569745,0.026866404715127704,0.012229862475442043,0.0008395915678524372,0.02480326449952511,31.28140703517588,2.868027285730004,54.83688334769496,1.0,0.046
EQ,original,F,calibrated,-20.0,full,historical,509,5,0.06129666011787818,0.026866404715127704,0.03443025540275049,0.024031972594918644,0.04669645673134684,56.1698717948718,40.23135702907212,72.0506000306725,1.0,0.0005
EQ,original,F,calibrated,-20.0,full,state_hist,509,5,0.026326129666011788,0.026866404715127704,-0.0005402750491159138,-0.004384413012476922,0.0034300364163014265,-2.05223880597015,-20.99525460331894,14.315070179758674,1.0,0.8065
EQ,original,F,calibrated,-20.0,nonoverlap,linear,138,5,0.04782608695652174,0.024818840579710146,0.023007246376811598,0.005,0.04423234552332912,48.10606060606061,16.65833333333333,74.99999999999999,1.0,0.022
EQ,original,F,calibrated,-20.0,nonoverlap,threshold,138,5,0.0391304347826087,0.024818840579710146,0.01431159420289855,0.00033199449992763136,0.032116788321167884,36.57407407407407,0.8849789915966398,69.45323488045005,1.0,0.089
EQ,original,F,calibrated,-20.0,nonoverlap,historical,138,5,0.0746376811594203,0.024818840579710146,0.049818840579710144,0.01978940217391304,0.08321902987317423,66.74757281553399,37.18377010897767,87.2243186582809,1.0,0.004
EQ,original,F,calibrated,-20.0,nonoverlap,state_hist,138,5,0.021739130434782608,0.024818840579710146,-0.0030797101449275364,-0.01231114718614719,0.004166666666666667,-14.166666666666668,-90.0,21.440476190476186,1.0,0.5415
EQ,original,R,raw,-5.0,full,linear,509,5,0.06463654223968567,0.06321218074656189,0.0014243614931237724,-0.006532089816124469,0.00903313315565401,2.203647416413374,-10.371082621082625,14.2395582710734,1.0,0.7405
EQ,original,R,raw,-5.0,full,threshold,509,5,0.06385068762278978,0.06321218074656189,0.0006385068762278991,-0.011068417530946806,0.014446191853458664,1.000000000000002,-19.40775491474666,20.324024724257917,1.0,0.9195
EQ,original,R,raw,-5.0,full,historical,509,5,0.06777996070726916,0.06321218074656189,0.004567779960707268,-0.008229562445331287,0.016717355056263507,6.739130434782607,-12.364720045510628,24.519758258982414,1.0,0.483
EQ,original,R,raw,-5.0,full,state_hist,509,5,0.07779960707269157,0.06321218074656189,0.014587426326129667,-8.447035432776282e-19,0.03128576987547892,18.749999999999996,-1.1163161555761574e-15,33.62593224373215,1.0,0.072
EQ,original,R,raw,-5.0,nonoverlap,linear,138,5,0.06739130434782609,0.060144927536231886,0.007246376811594203,-0.01313868613138686,0.027089710884353736,10.75268817204301,-21.352327447833055,34.457282913165265,1.0,0.4715
