definition,reference,seed,group,n,delta_e_mean,local_return_mean
EQ,linear,20260925,both,260,-5.886489218394752,-2.577567398791846
EQ,linear,20260925,ml_only,9,3.2308741764731934,-6.697146576357685
EQ,linear,20260925,neither,114,7.907133888163598,11.44710311652904
EQ,linear,20260925,reference_only,126,6.255017551296016,-4.603499892041084
EQ,linear,20260926,both,264,-5.6822238724382075,-2.8452428898100663
EQ,linear,20260926,ml_only,8,2.172553071023936,-10.075802126024675
EQ,linear,20260926,neither,115,7.94009309800624,11.524363940045987
EQ,linear,20260926,reference_only,122,6.211082926265159,-4.090691698140975
EQ,linear,20260927,both,261,-5.903196167100298,-2.6001753565780574
EQ,linear,20260927,ml_only,7,1.0477794043747939,-2.807323888346364
EQ,linear,20260927,neither,116,7.958247198347288,10.899540545823411
EQ,linear,20260927,reference_only,125,6.387033714350726,-4.572501936129467
EQ,linear,20260928,both,263,-5.761396676643724,-2.7787352872804347
EQ,linear,20260928,ml_only,10,3.9052572400492402,6.86158744865354
EQ,linear,20260928,neither,113,7.88883680033997,10.407783731066868
EQ,linear,20260928,reference_only,123,6.283677566162292,-4.222773410799206
EQ,threshold,20260925,both,245,-6.355389912999751,-2.661459095718573
EQ,threshold,20260925,ml_only,24,2.3192166454401075,-3.266015184252035
EQ,threshold,20260925,neither,155,7.242488847355893,7.68330973426668
EQ,threshold,20260925,reference_only,85,6.670114157338649,-5.482167528520019
EQ,threshold,20260926,both,247,-6.229610711375962,-3.022626767736964
EQ,threshold,20260926,ml_only,25,2.2394867181747045,-3.4064691314809865
EQ,threshold,20260926,neither,154,7.28740131737895,7.777210212183839
EQ,threshold,20260926,reference_only,83,6.609674944562757,-4.4753362258339955
EQ,threshold,20260927,both,246,-6.392103325031733,-2.79517434483072
EQ,threshold,20260927,ml_only,22,1.7753488261478187,-0.4856430207700203
EQ,threshold,20260927,neither,157,7.2559827812450575,7.15422159774667
EQ,threshold,20260927,reference_only,84,6.932697531507766,-5.124152732701128
EQ,threshold,20260928,both,249,-6.165755426834781,-2.889326921667711
EQ,threshold,20260928,ml_only,24,2.461597821877233,2.385454059460053
EQ,threshold,20260928,neither,155,7.220442729714016,6.808243528788679
EQ,threshold,20260928,reference_only,81,6.730398468774154,-4.920979196049282
CAP,linear,20260925,both,212,-4.416146651434835,-3.367321149784289
CAP,linear,20260925,ml_only,14,-3.648092717199995,1.4396692994465183
CAP,linear,20260925,neither,249,3.8749531809463473,4.10904142967224
CAP,linear,20260925,reference_only,34,3.013242266400742,-9.851402247421614
CAP,linear,20260926,both,212,-4.416146651434835,-3.367321149784289
CAP,linear,20260926,ml_only,14,-4.134135268567846,-3.9404503476317996
CAP,linear,20260926,neither,249,3.9022808745975515,4.411538116656564
CAP,linear,20260926,reference_only,34,3.013242266400742,-9.851402247421614
CAP,linear,20260927,both,212,-4.416146651434835,-3.367321149784289
CAP,linear,20260927,ml_only,13,-4.877365906045233,2.0745908082341056
CAP,linear,20260927,neither,250,3.9087832031737144,4.065348022694383
CAP,linear,20260927,reference_only,34,3.013242266400742,-9.851402247421614
