definition,variant,information,calibration,threshold_bp,sample,strategy,n,events,alarms,true_positives,false_positives,false_negatives,alarm_rate,recall,precision,cost,missed_severity_bp
CAP,original,B,calibrated,-10.0,nonoverlap,ml_selected,138,20.0,58.0,17.0,41.0,3.0,0.42028985507246375,0.85,0.29310344827586204,0.04927536231884058,0.016919974439875772
CAP,original,B,calibrated,-10.0,nonoverlap,linear,138,20.0,62.0,17.0,45.0,3.0,0.4492753623188406,0.85,0.27419354838709675,0.05217391304347827,0.038113742327921564
CAP,original,B,calibrated,-10.0,nonoverlap,threshold,138,20.0,58.0,17.0,41.0,3.0,0.42028985507246375,0.85,0.29310344827586204,0.04927536231884058,0.016919974439875772
CAP,original,B,calibrated,-10.0,nonoverlap,historical,138,20.0,108.0,16.0,92.0,4.0,0.782608695652174,0.8,0.14814814814814814,0.0927536231884058,0.08113014972794688
CAP,original,B,calibrated,-10.0,nonoverlap,state_hist,138,20.0,61.0,17.0,44.0,3.0,0.4420289855072464,0.85,0.2786885245901639,0.05144927536231885,0.038113742327921564
CAP,original,B,calibrated,-10.0,nonoverlap,always_alarm,138,20.0,138.0,20.0,118.0,0.0,1.0,1.0,0.14492753623188406,0.08550724637681159,0.0
CAP,original,B,calibrated,-10.0,nonoverlap,never_alarm,138,20.0,0.0,0.0,0.0,20.0,0.0,0.0,,0.13043478260869565,0.8843931053213695
CAP,original,B,calibrated,-20.0,full,ml_selected,509,12.0,28.0,6.0,22.0,6.0,0.0550098231827112,0.5,0.21428571428571427,0.01493123772102161,0.02854047833869812
CAP,original,B,calibrated,-20.0,full,linear,509,12.0,62.0,4.0,58.0,8.0,0.12180746561886051,0.3333333333333333,0.06451612903225806,0.025540275049115914,0.08781626088587004
CAP,original,B,calibrated,-20.0,full,threshold,509,12.0,67.0,6.0,61.0,6.0,0.13163064833005894,0.5,0.08955223880597014,0.022593320235756387,0.06754694192632832
CAP,original,B,calibrated,-20.0,full,historical,509,12.0,18.0,0.0,18.0,12.0,0.03536345776031434,0.0,0.0,0.024754420432220044,0.11729322720000396
CAP,original,B,calibrated,-20.0,full,state_hist,509,12.0,21.0,3.0,18.0,9.0,0.0412573673870334,0.25,0.14285714285714285,0.01944990176817289,0.08767155192822096
CAP,original,B,calibrated,-20.0,full,always_alarm,509,12.0,509.0,12.0,497.0,0.0,1.0,1.0,0.023575638506876228,0.09764243614931238,0.0
CAP,original,B,calibrated,-20.0,full,never_alarm,509,12.0,0.0,0.0,0.0,12.0,0.0,0.0,,0.021218074656188607,0.11729322720000396
CAP,original,B,calibrated,-20.0,nonoverlap,ml_selected,138,4.0,5.0,1.0,4.0,3.0,0.036231884057971016,0.25,0.2,0.022463768115942025,0.07053750393465522
CAP,original,B,calibrated,-20.0,nonoverlap,linear,138,4.0,18.0,1.0,17.0,3.0,0.13043478260869565,0.25,0.05555555555555555,0.0318840579710145,0.12036045680581281
CAP,original,B,calibrated,-20.0,nonoverlap,threshold,138,4.0,21.0,2.0,19.0,2.0,0.15217391304347827,0.5,0.09523809523809523,0.026811594202898553,0.056785222804914826
CAP,original,B,calibrated,-20.0,nonoverlap,historical,138,4.0,4.0,0.0,4.0,4.0,0.028985507246376812,0.0,0.0,0.028985507246376812,0.1341127379355532
CAP,original,B,calibrated,-20.0,nonoverlap,state_hist,138,4.0,5.0,1.0,4.0,3.0,0.036231884057971016,0.25,0.2,0.02246376811594203,0.07053750393465522
CAP,original,B,calibrated,-20.0,nonoverlap,always_alarm,138,4.0,138.0,4.0,134.0,0.0,1.0,1.0,0.028985507246376812,0.09710144927536231,0.0
