definition,strategy,threshold_bp,cost
EQ,historical,-21.5,0.05147347740667976
EQ,state_hist,-21.5,0.022986247544204325
EQ,always_alarm,-21.5,0.09390962671905698
EQ,never_alarm,-21.5,0.05481335952848723
EQ,ml_selected,-21.0,0.025098231827111985
EQ,linear,-21.0,0.038310412573673874
EQ,threshold,-21.0,0.03575638506876228
EQ,historical,-21.0,0.051277013752455795
EQ,state_hist,-21.0,0.023575638506876228
EQ,always_alarm,-21.0,0.09351669941060904
EQ,never_alarm,-21.0,0.05834970530451867
EQ,ml_selected,-20.5,0.022642436149312377
EQ,linear,-20.5,0.03732809430255403
EQ,threshold,-20.5,0.036345776031434185
EQ,historical,-20.5,0.05166994106090373
EQ,state_hist,-20.5,0.0243614931237721
EQ,always_alarm,-20.5,0.09332023575638507
EQ,never_alarm,-20.5,0.060117878192534384
EQ,ml_selected,-20.0,0.026866404715127707
EQ,linear,-20.0,0.043222003929273084
EQ,threshold,-20.0,0.039096267190569745
EQ,historical,-20.0,0.06129666011787818
EQ,state_hist,-20.0,0.026326129666011788
EQ,always_alarm,-20.0,0.09233791748526522
EQ,never_alarm,-20.0,0.06895874263261297
EQ,ml_selected,-19.5,0.026227897838899807
EQ,linear,-19.5,0.04420432220039293
EQ,threshold,-19.5,0.038703339882121816
EQ,historical,-19.5,0.06385068762278978
EQ,state_hist,-19.5,0.02848722986247544
EQ,always_alarm,-19.5,0.0919449901768173
EQ,never_alarm,-19.5,0.0724950884086444
EQ,ml_selected,-19.0,0.025736738703339885
EQ,linear,-19.0,0.04420432220039293
EQ,threshold,-19.0,0.042829076620825156
EQ,historical,-19.0,0.06699410609037329
EQ,state_hist,-19.0,0.02888015717092338
EQ,always_alarm,-19.0,0.09174852652259333
EQ,never_alarm,-19.0,0.07426326129666011
EQ,ml_selected,-18.5,0.027357563850687626
EQ,linear,-18.5,0.041650294695481344
EQ,threshold,-18.5,0.04597249508840865
EQ,historical,-18.5,0.0650294695481336
EQ,state_hist,-18.5,0.02770137524557957
EQ,always_alarm,-18.5,0.09135559921414538
EQ,never_alarm,-18.5,0.07779960707269155
EQ,ml_selected,-18.0,0.02912573673870334
EQ,linear,-18.0,0.04538310412573674
EQ,threshold,-18.0,0.052455795677799615
EQ,historical,-18.0,0.06954813359528489
EQ,state_hist,-18.0,0.02927308447937132
EQ,always_alarm,-18.0,0.09056974459724951
EQ,never_alarm,-18.0,0.08487229862475443
EQ,ml_selected,-17.5,0.030500982318271124
EQ,linear,-17.5,0.04675834970530453
EQ,threshold,-17.5,0.0481335952848723
EQ,historical,-17.5,0.07956777996070727
EQ,state_hist,-17.5,0.03025540275049116
EQ,always_alarm,-17.5,0.08958742632612966
EQ,never_alarm,-17.5,0.09371316306483302
EQ,ml_selected,-17.0,0.029813359528487234
EQ,linear,-17.0,0.04538310412573674
EQ,threshold,-17.0,0.04774066797642437
EQ,historical,-17.0,0.08212180746561887
EQ,state_hist,-17.0,0.02770137524557957
EQ,always_alarm,-17.0,0.08899803536345775
EQ,never_alarm,-17.0,0.09901768172888016
EQ,ml_selected,-16.5,0.03511787819253438
EQ,linear,-16.5,0.05343811394891945
EQ,threshold,-16.5,0.05029469548133596
EQ,historical,-16.5,0.08722986247544204
EQ,state_hist,-16.5,0.03261296660117879
EQ,always_alarm,-16.5,0.08781925343811395
EQ,never_alarm,-16.5,0.10962671905697446
EQ,ml_selected,-16.0,0.03654223968565816
EQ,linear,-16.0,0.04931237721021611
EQ,threshold,-16.0,0.050491159135559925
EQ,historical,-16.0,0.08742632612966601
EQ,state_hist,-16.0,0.03320235756385069
EQ,always_alarm,-16.0,0.08781925343811395
EQ,never_alarm,-16.0,0.10962671905697446
EQ,ml_selected,-15.5,0.04115913555992142
EQ,linear,-15.5,0.05481335952848723
EQ,threshold,-15.5,0.05088408644400786
EQ,historical,-15.5,0.09371316306483302
EQ,state_hist,-15.5,0.03673870333988213
EQ,always_alarm,-15.5,0.08742632612966601
EQ,never_alarm,-15.5,0.1131630648330059
EQ,ml_selected,-15.0,0.041797642436149314
EQ,linear,-15.0,0.05520628683693517
EQ,threshold,-15.0,0.05147347740667977
EQ,historical,-15.0,0.08998035363457761
EQ,state_hist,-15.0,0.03457760314341847
EQ,always_alarm,-15.0,0.08703339882121806
EQ,never_alarm,-15.0,0.11669941060903734
EQ,ml_selected,-14.5,0.04263261296660118
EQ,linear,-14.5,0.0575638506876228
EQ,threshold,-14.5,0.05402750491159137
EQ,historical,-14.5,0.09194499017681729
EQ,state_hist,-14.5,0.033595284872298625
EQ,always_alarm,-14.5,0.08605108055009823
EQ,never_alarm,-14.5,0.1255402750491159
EQ,ml_selected,-14.0,0.04597249508840865
EQ,linear,-14.0,0.057170923379174864
EQ,threshold,-14.0,0.05559921414538311
EQ,historical,-14.0,0.08840864440078586
EQ,state_hist,-14.0,0.03732809430255403
EQ,always_alarm,-14.0,0.08546168958742632
EQ,never_alarm,-14.0,0.13084479371316307
EQ,ml_selected,-13.5,0.04577603143418468
EQ,linear,-13.5,0.05972495088408645
EQ,threshold,-13.5,0.05913555992141454
EQ,historical,-13.5,0.08801571709233792
EQ,state_hist,-13.5,0.0406679764243615
EQ,always_alarm,-13.5,0.0850687622789784
EQ,never_alarm,-13.5,0.1343811394891945
EQ,ml_selected,-13.0,0.04494106090373281
EQ,linear,-13.0,0.060903732809430254
EQ,threshold,-13.0,0.0575638506876228
EQ,historical,-13.0,0.08821218074656188
EQ,state_hist,-13.0,0.043222003929273084
EQ,always_alarm,-13.0,0.08487229862475443
