definition,variant,information,reference,state,n,share,difference_bp,difference_lo,difference_hi,bootstrap_valid_fraction,contribution_bp,too_high_contribution_bp,too_low_contribution_bp
EQ,original,R,historical,3,98,0.1925343811394892,0.34369067315320173,0.1276896109992324,0.5516548654505787,1.0,0.06617227105896616,-0.03412853523729024,0.10030080629625637
EQ,original,R,historical,4,9,0.01768172888015717,-0.23678862270864398,-0.5675806043605991,0.09675140513378164,0.9979989994997499,-0.00418683222864007,0.0021879003152222736,-0.006374732543862344
EQ,original,R,historical,5,133,0.26129666011787817,0.6343753456447446,0.3098093450085726,1.035740858110095,1.0,0.16576015907809633,0.2144108736103452,-0.048650714532248854
EQ,original,R,state_hist,0,11,0.021611001964636542,-0.13723352296005228,-0.6131941320336309,0.9432111023936945,0.992496248124062,-0.0029657539343036837,0.008293670296793364,-0.011259424231097047
EQ,original,R,state_hist,1,248,0.48722986247544203,0.047307697927051154,-0.04444004605055075,0.142774789187284,1.0,0.02304972315502689,0.005777395446307703,0.017272327708719174
EQ,original,R,state_hist,2,10,0.019646365422396856,-0.12124594624808469,-0.46109440967036097,0.17178638011874434,0.9979989994997499,-0.002382042165974159,-0.003615030907407498,0.001232988741433339
EQ,original,R,state_hist,3,98,0.1925343811394892,-0.09132221441338954,-0.17692442723993282,-0.006010738132677045,1.0,-0.017582666036369696,-0.00036989160211320523,-0.017212774434256492
EQ,original,R,state_hist,4,9,0.01768172888015717,-0.1248948781640846,-0.2919662412321202,0.25968075951180225,0.9979989994997499,-0.002208357374217606,0.0017416958976123188,-0.003950053271829925
EQ,original,R,state_hist,5,133,0.26129666011787817,0.041988251285231024,-0.1273514429167326,0.18236589479151968,1.0,0.010971389825021074,-0.02198924055318282,0.03296063037820389
EQ,original,B,linear,0,11,0.021611001964636542,0.4646470965786176,0.16896548947321569,0.5721617115474467,0.992496248124062,0.01004148931702317,-0.0019576486161011247,0.011999137933124295
EQ,original,B,linear,1,248,0.48722986247544203,0.09985318320648509,-0.08032993862712479,0.3007820619809488,1.0,0.04865145272143085,0.023530326565488004,0.025121126155942846
EQ,original,B,linear,2,10,0.019646365422396856,-0.09358470532893717,-0.8301543516595624,0.6234499184128482,0.9979989994997499,-0.0018385993188396303,-0.008854620174882895,0.007016020856043266
EQ,original,B,linear,3,98,0.1925343811394892,0.15441456015676122,0.030511087020760285,0.2711415666257736,1.0,0.029730111778708445,-0.013839511880978931,0.04356962365968738
EQ,original,B,linear,4,9,0.01768172888015717,-0.26016264645428566,-0.4396100857028066,-0.12717037773480744,0.9979989994997499,-0.004600125379348862,0.0,-0.004600125379348862
EQ,original,B,linear,5,133,0.26129666011787817,0.13670398492820596,-0.10245173807587367,0.4227628665196424,1.0,0.03572029468654497,0.04004987200022423,-0.004329577313679247
EQ,original,B,threshold,0,11,0.021611001964636542,0.4280694306769393,-0.042588072312476966,0.6045659942979704,0.992496248124062,0.009251009307360182,-0.0019576486161011247,0.011208657923461308
EQ,original,B,threshold,1,248,0.48722986247544203,0.226044985466122,-0.021663711692006947,0.6071081042957763,1.0,0.11013586718192192,-0.015598254675339731,0.12573412185726165
EQ,original,B,threshold,2,10,0.019646365422396856,-0.10106083182429933,-0.4508981779202339,0.21931551810727554,0.9979989994997499,-0.001985478031911578,-0.002647353277656308,0.0006618752457447305
EQ,original,B,threshold,3,98,0.1925343811394892,0.03700197406679771,-0.0810567752383541,0.1525476027441131,1.0,0.007124152177890326,-0.0031019232730465965,0.010226075450936921
EQ,original,B,threshold,4,9,0.01768172888015717,0.12023527542196162,-0.06991971012986559,0.2004477444857144,0.9979989994997499,0.0021259675418421504,0.0,0.0021259675418421504
EQ,original,B,threshold,5,133,0.26129666011787817,0.18953982446775272,-0.03603676809207118,0.45754743696801764,1.0,0.04952612309275268,0.05544208512176893,-0.0059159620290162715
EQ,original,B,historical,0,11,0.021611001964636542,0.8501619632057249,0.44250697520444215,1.0007831202009527,0.992496248124062,0.01837285185709818,-0.0019576486161011247,0.020330500473199307
EQ,original,B,historical,1,248,0.48722986247544203,0.7040952546636712,0.49010241624563866,0.9212301534334012,1.0,0.34305623409939184,-0.15477867582035088,0.4978349099197427
EQ,original,B,historical,2,10,0.019646365422396856,-0.18683354827271348,-1.5189702479384455,0.8116958247468367,0.9979989994997499,-0.003670600162528752,-0.015715533277119133,0.01204493311459038
EQ,original,B,historical,3,98,0.1925343811394892,0.3879056041077795,0.1998080378864875,0.5786691314594639,1.0,0.07468516542743102,-0.023037642770947428,0.09772280819837846
EQ,original,B,historical,4,9,0.01768172888015717,-0.26784173776282527,-0.7254743936283458,-0.15540976082016847,0.9979989994997499,-0.0047359049899124315,0.0021879003152222736,-0.006923805305134706
EQ,original,B,historical,5,133,0.26129666011787817,0.6313394037597904,0.3375451883818559,1.0124422312947996,1.0,0.1649668776032458,0.22039078825875769,-0.05542391065551187
EQ,original,B,state_hist,0,11,0.021611001964636542,0.08027819569598185,-0.588844965758671,0.7703613747588166,0.992496248124062,0.0017348922449033407,0.006336021680692239,-0.004601129435788899
EQ,original,B,state_hist,1,248,0.48722986247544203,-0.0027501789721545745,-0.07068827078558725,0.07271663057080242,1.0,-0.001339969322385726,-0.02336322356225495,0.02202325423986923
EQ,original,B,state_hist,2,10,0.019646365422396856,-0.3354025193078432,-0.8989999691884765,0.14272600021320508,0.9979989994997499,-0.0065894404579144045,-0.007369567749594581,0.0007801272916801773
EQ,original,B,state_hist,3,98,0.1925343811394892,-0.047107283458811634,-0.12139334876265867,0.0301201348774736,1.0,-0.009069771667904795,0.010721000864229602,-0.0197907725321344
EQ,original,B,state_hist,4,9,0.01768172888015717,-0.15594799321826588,-0.3214743937017718,-0.09430649225427404,0.9979989994997499,-0.0027574301354899664,0.0017416958976123188,-0.004499126033102286
EQ,original,B,state_hist,5,133,0.26129666011787817,0.03895230940027678,-0.06556731452234418,0.1463261711103676,1.0,0.010178108350170552,-0.016009325904770322,0.026187434254940876
EQ,own_scale,F,linear,0,11,0.021611001964636542,0.6353787806662301,0.34363918288313533,0.7298627069849135,0.992496248124062,0.01373117207726627,-0.0009905612326644529,0.014721733309930722
EQ,own_scale,F,linear,1,248,0.48722986247544203,0.2820247923697148,0.06399136262720603,0.5304803887036594,1.0,0.13741090080096124,0.019501538284893427,0.11790936251606782
EQ,own_scale,F,linear,2,10,0.019646365422396856,0.08950776444469624,-0.34601980807165844,0.4606950031588958,0.9979989994997499,0.001758502248422323,-0.0046221003746028015,0.0063806026230251245
EQ,own_scale,F,linear,3,98,0.1925343811394892,0.3089871045963087,0.10137446286261893,0.5082063771445973,1.0,0.059490640963532904,-0.01535597408185602,0.07484661504538892
EQ,own_scale,F,linear,4,9,0.01768172888015717,-0.1867088527899009,-0.2934057530100941,-0.07504910225124606,0.9979989994997499,-0.0033013353145562043,0.0,-0.0033013353145562043
EQ,own_scale,F,linear,5,133,0.26129666011787817,0.3705925964675874,0.11747572956964411,0.6954242472251112,1.0,0.09683460772139317,0.0890979681503851,0.007736639571008064
EQ,own_scale,F,threshold,0,11,0.021611001964636542,0.42636902587892234,0.16665454301291138,0.5211076141392894,0.992496248124062,0.00921426185592956,-0.0009905612326644529,0.010204823088594014
EQ,own_scale,F,threshold,1,248,0.48722986247544203,0.1194841949566653,-0.013652687392077641,0.24638132192702036,1.0,0.05821626787672494,-0.002654214898557108,0.060870482775282043
EQ,own_scale,F,threshold,2,10,0.019646365422396856,-0.3282193289338081,-0.8024979255737229,0.018071310586011257,0.9979989994997499,-0.006448316874927467,-0.005577054439769979,-0.0008712624351574882
EQ,own_scale,F,threshold,3,98,0.1925343811394892,0.16666069127441493,0.01607751987460615,0.3331890132231335,1.0,0.032087913054798946,0.02528611340421566,0.006801799650583297
EQ,own_scale,F,threshold,4,9,0.01768172888015717,0.01816756851606704,-0.31709520565210764,0.33744722331901583,0.9979989994997499,0.0003212340209127767,0.0007082980429045095,-0.00038706402199173277
EQ,own_scale,F,threshold,5,133,0.26129666011787817,0.1274823887017,-0.09261379388049472,0.3836920663268073,1.0,0.03331072239160334,0.025523410120768576,0.007787312270834757
EQ,own_scale,F,historical,0,11,0.021611001964636542,1.1116028535564177,0.4473515420545291,1.2649658720900026,0.992496248124062,0.02402285145210333,-0.0009905612326644529,0.02501341268476778
EQ,own_scale,F,historical,1,248,0.48722986247544203,0.7329353487812864,0.48399798303670305,0.9902512079377725,1.0,0.35710798919009634,-0.1656262289613422,0.5227342181514385
EQ,own_scale,F,historical,2,10,0.019646365422396856,-0.057109666909895364,-1.2158952970698211,0.7792691723203422,0.9979989994997499,-0.0011219973852631701,-0.01314286903911951,0.01202087165385634
EQ,own_scale,F,historical,3,98,0.1925343811394892,0.3898615424597864,0.16343814576206034,0.6111477090489581,1.0,0.07506175080758166,-0.032884308116873436,0.1079460589244551
EQ,own_scale,F,historical,4,9,0.01768172888015717,-0.16449205451730622,-0.5268458629150569,0.020034258983676834,0.9979989994997499,-0.0029085039109150415,0.0021879003152222736,-0.005096404226137315
EQ,own_scale,F,historical,5,133,0.26129666011787817,0.6466086174838871,0.35936056225492613,1.031832737469851,1.0,0.16895667215197835,0.22604014945629422,-0.05708347730431589
EQ,own_scale,F,state_hist,0,11,0.021611001964636542,0.34171908604667434,-0.272602854890152,1.1227225587323488,0.992496248124062,0.007384891839908483,0.007303109064128912,8.178277577957201e-05
EQ,own_scale,F,state_hist,1,248,0.48722986247544203,0.026089915145460576,-0.07543314144252444,0.12686557583427802,1.0,0.012711785768318709,-0.034210776703246244,0.046922562471564955
EQ,own_scale,F,state_hist,2,10,0.019646365422396856,-0.20567863794502497,-0.6044092678978313,0.06552040084279104,0.9979989994997499,-0.0040408376806488205,-0.004796903511594958,0.0007560658309461382
EQ,own_scale,F,state_hist,3,98,0.1925343811394892,-0.045151345106804894,-0.10815538903752434,0.019014486637600168,1.0,-0.008693186287754184,0.0008743355183035903,-0.009567521806057775
EQ,own_scale,F,state_hist,4,9,0.01768172888015717,-0.05259830997274687,-0.25004304642840564,0.11450553389815532,0.9979989994997499,-0.0009300290564925773,0.0017416958976123188,-0.002671724954104896
EQ,own_scale,F,state_hist,5,133,0.26129666011787817,0.05422152312437341,-0.06102848649746384,0.1700068750780693,1.0,0.014167902898903071,-0.010359964707233788,0.024527867606136854
CAP,original,F,linear,0,64,0.12573673870333987,0.43327073746001266,0.14484751332953788,0.721544772437037,1.0,0.054478049503812985,-0.0013309935016113956,0.05580904300542438
CAP,original,F,linear,1,186,0.3654223968565815,0.07538607467377514,-0.048317572027499985,0.21873882489294408,1.0,0.027547760096900152,-0.02185143537402957,0.04939919547092971
CAP,original,F,linear,2,36,0.07072691552062868,0.3062163650122316,0.08679833744344517,0.6191991368982053,1.0,0.0216577389792541,-0.001877094786382737,0.02353483376563684
CAP,original,F,linear,3,91,0.1787819253438114,0.12141440890143623,-0.02174493991768552,0.2821247915936341,1.0,0.021706701787879562,-0.004614660685981213,0.026321362473860778
CAP,original,F,linear,4,27,0.05304518664047151,0.20819592079840402,-0.03520901445757622,0.6619909855549656,1.0,0.011043791476536165,0.01087820248328682,0.00016558899324934477
CAP,original,F,linear,5,105,0.206286836935167,0.076578017694251,-0.12186350832819193,0.28363828008471537,1.0,0.01579703704891229,0.022301327634255626,-0.006504290585343339
CAP,original,F,threshold,0,64,0.12573673870333987,0.24724484750969178,-0.0908988519546793,0.5713443975641451,1.0,0.03108776078707323,-0.004262112331848785,0.035349873118922015
CAP,original,F,threshold,1,186,0.3654223968565815,0.15644275923812134,0.018046964427913856,0.2979418939785319,1.0,0.057167688051651414,0.007791651186961766,0.04937603686468965
CAP,original,F,threshold,2,36,0.07072691552062868,0.20317649393108514,-0.10711030690908184,0.624934598935259,1.0,0.014370046722041386,-0.0013373048890074363,0.015707351611048817
CAP,original,F,threshold,3,91,0.1787819253438114,0.11098889748369291,-0.03325338166788652,0.28251441276995415,1.0,0.01984280878392152,0.013926137767110719,0.005916671016810803
CAP,original,F,threshold,4,27,0.05304518664047151,0.14046219260566253,-0.15000800324485075,0.7077276729012969,1.0,0.0074508432226972265,-0.0019099840609181522,0.009360827283615382
CAP,original,F,threshold,5,105,0.206286836935167,0.11111699648390158,-0.09418704422408221,0.3700366908943893,1.0,0.02292197373440013,-0.008496920931183824,0.03141889466558395
CAP,original,F,historical,0,64,0.12573673870333987,0.5915858968887986,0.42340579704380177,0.7941623529605032,1.0,0.07438408133768784,-0.004759528958053866,0.07914361029574171
CAP,original,F,historical,1,186,0.3654223968565815,0.5150699594129594,0.39466447616118894,0.6522087027024616,1.0,0.1882180991175058,-0.0869168484522483,0.27513494756975415
CAP,original,F,historical,2,36,0.07072691552062868,0.24503889359972048,0.06850582257268473,0.3999306550280837,1.0,0.017330845126895752,-0.001877094786382737,0.019207939913278488
CAP,original,F,historical,3,91,0.1787819253438114,0.2006861213233489,0.09409935017759957,0.3061708869306847,1.0,0.03587905115997004,-0.013152983931051269,0.04903203509102131
CAP,original,F,historical,4,27,0.05304518664047151,0.5172192642465556,-0.07100013627707581,1.5784659348980488,1.0,0.027435992406005895,0.04075575107392891,-0.013319758667923013
CAP,original,F,historical,5,105,0.206286836935167,0.54758060715326,0.2562849036561463,0.8644321693367426,1.0,0.11295867141668428,0.1611101087666315,-0.048151437349947264
CAP,original,F,state_hist,0,64,0.12573673870333987,0.15929340829031424,0.10013792831829031,0.22642936499821148,1.0,0.020029033655363678,0.004705521966762743,0.015323511688600935
CAP,original,F,state_hist,1,186,0.3654223968565815,0.13201623249500893,0.045734311072256735,0.23547375865698345,1.0,0.04824168810230189,0.034274268478109486,0.013967419624192401
CAP,original,F,state_hist,2,36,0.07072691552062868,0.05611839055496924,-0.03234061865869435,0.14035705788951955,1.0,0.003969080667934956,-0.001877094786382737,0.005846175454317694
CAP,original,F,state_hist,3,91,0.1787819253438114,0.016161172671200416,-0.0732783696864951,0.13464160847313392,1.0,0.002889325565970998,0.0014352330778218075,0.001454092488149191
CAP,original,F,state_hist,4,27,0.05304518664047151,-0.19651139160007597,-0.6393871961123248,0.05159307270687028,1.0,-0.010423983444404815,-0.01642948932103039,0.006005505876625572
CAP,original,F,state_hist,5,105,0.206286836935167,0.19615896351546824,0.016975186032354397,0.35539406872286833,1.0,0.040465012120086775,0.008945786508759655,0.03151922561132712
CAP,original,R,linear,0,64,0.12573673870333987,0.44572582316437864,0.1577244214016854,0.7258163932060913,1.0,0.056044111360550555,-0.003484239535204364,0.05952835089575492
CAP,original,R,linear,1,186,0.3654223968565815,0.07043470550173465,-0.058452369325946066,0.2136686032139916,1.0,0.02573841890633133,-0.03771166626913798,0.06345008517546932
CAP,original,R,linear,2,36,0.07072691552062868,0.28012454504075746,0.03844245091175919,0.574077497165985,1.0,0.019812345032352196,-0.002594785958939082,0.02240713099129128
CAP,original,R,linear,3,91,0.1787819253438114,0.12348975977349982,-0.012208498110215946,0.27610743019558776,1.0,0.02207773701255105,-0.007037253124736456,0.029114990137287508
CAP,original,R,linear,4,27,0.05304518664047151,0.22031119626856197,-0.06848331587933988,0.7277768451566315,1.0,0.011686448525051421,0.01336602190975854,-0.0016795733847071183
CAP,original,R,linear,5,105,0.206286836935167,0.1250457915819144,-0.03230933265994958,0.29648623363092586,1.0,0.02579530081748725,0.033967284861561226,-0.008171984044073979
CAP,original,R,threshold,0,64,0.12573673870333987,0.3201951652442358,0.0028497244645326707,0.647456600589443,1.0,0.04026029582638721,0.0015961653996947227,0.03866413042669249
CAP,original,R,threshold,1,186,0.3654223968565815,0.12659357710482982,-0.004164321222244795,0.2835010248973783,1.0,0.04626012837229538,0.016258222877134125,0.030001905495161258
CAP,original,R,threshold,2,36,0.07072691552062868,0.19544074512719742,-0.10636667860569059,0.5737977197916403,1.0,0.013822921069900013,-0.0024683866168618623,0.016291307686761878
CAP,original,R,threshold,3,91,0.1787819253438114,0.09043507421717002,-0.06683036896790996,0.2598937828151722,1.0,0.016168156687156134,-0.006052533829459407,0.02222069051661554
CAP,original,R,threshold,4,27,0.05304518664047151,0.10867930404608506,-0.18663037228729484,0.6381696929066758,1.0,0.005764913967081132,-0.0019893330292308008,0.007754246996311932
CAP,original,R,threshold,5,105,0.206286836935167,0.11277922799567826,-0.09072594628923848,0.3504758107906398,1.0,0.0232648702152185,-0.014747112194078687,0.038011982409297186
CAP,original,R,historical,0,64,0.12573673870333987,0.6040409825931645,0.4174927178229543,0.8344160744311264,1.0,0.0759501431944254,-0.006912774991646834,0.08286291818607223
CAP,original,R,historical,1,186,0.3654223968565815,0.5197705284306787,0.39589272672475206,0.6600984648768987,1.0,0.1899357923145506,-0.09710420056472192,0.2870399928792725
CAP,original,R,historical,2,36,0.07072691552062868,0.21894707362824617,0.01614202636806022,0.39148964361292005,1.0,0.015485451179993835,-0.002594785958939082,0.01808023713893292
CAP,original,R,historical,3,91,0.1787819253438114,0.21941797083566178,0.10878869945316054,0.3315930852064863,1.0,0.03922796728103187,-0.010690333583969161,0.04991830086500103
CAP,original,R,historical,4,27,0.05304518664047151,0.5293345397167136,-0.11845658451194555,1.6473686543949753,1.0,0.028078649454521154,0.04324357050040063,-0.015164921045879475
CAP,original,R,historical,5,105,0.206286836935167,0.5458428735319021,0.25719381820314524,0.8605846293744912,1.0,0.11260019984449847,0.16376392852817487,-0.05116372868367643
CAP,original,R,state_hist,0,64,0.12573673870333987,0.17174849399468015,0.11462329289848017,0.24722176800104043,1.0,0.021595095512101238,0.0025522759331697733,0.019042819578931464
CAP,original,R,state_hist,1,186,0.3654223968565815,0.13671680151272833,0.05695586830406611,0.22780912632758488,1.0,0.0499593812993467,0.024086916365635872,0.02587246493371082
CAP,original,R,state_hist,2,36,0.07072691552062868,0.03002657058349487,-0.0547713786565948,0.09852951051868446,1.0,0.002123686721033036,-0.002594785958939082,0.004718472679972117
CAP,original,R,state_hist,3,91,0.1787819253438114,0.03489302218351331,-0.06295246166696311,0.16463234706271407,1.0,0.006238241687032832,0.003897883424903914,0.0023403582621289195
CAP,original,R,state_hist,4,27,0.05304518664047151,-0.18439611612991794,-0.6606389987275859,0.09346091040624468,1.0,-0.009781326395889557,-0.013941669894558669,0.004160343498669111
CAP,original,R,state_hist,5,105,0.206286836935167,0.19442122989411043,-0.028635760633708852,0.3867194648625958,1.0,0.04010654054790097,0.01159960627030302,0.028506934277597953
CAP,original,B,linear,0,64,0.12573673870333987,0.4636267166518385,0.16752961000313163,0.7541200918531245,1.0,0.05829491132753962,-0.0012741167139943567,0.05956902804153398
CAP,original,B,linear,1,186,0.3654223968565815,0.04997237512621687,-0.08141821710824568,0.2042535906487167,1.0,0.018261025095238387,-0.026209724419394086,0.04447074951463247
CAP,original,B,linear,2,36,0.07072691552062868,0.28230064469268545,0.03588178159206108,0.5959733385838264,1.0,0.01996625384859858,-0.0025033203101527996,0.02246957415875138
CAP,original,B,linear,3,91,0.1787819253438114,0.120867995775386,-0.02288148249787003,0.2830650711679191,1.0,0.02160901299717117,-0.004985570995218054,0.026594583992389224
CAP,original,B,linear,4,27,0.05304518664047151,0.2112547540483943,-0.06425928183403175,0.6965077806659742,1.0,0.01120604785718398,0.011257800682082826,-5.1752824898846436e-05
CAP,original,B,linear,5,105,0.206286836935167,0.13090922434886776,-0.014634626545438734,0.2766522540145454,1.0,0.027004849816564074,0.03235517555637598,-0.00535032573981191
CAP,original,B,threshold,0,64,0.12573673870333987,0.294808928165609,-0.022370097098485187,0.6006375382704352,1.0,0.03706831316817088,0.00473937968837701,0.03232893347979387
CAP,original,B,threshold,1,186,0.3654223968565815,0.10739182704785805,-0.007779119671809628,0.2296732842026748,1.0,0.03924337884263575,0.022245763223357026,0.016997615619278716
CAP,original,B,threshold,2,36,0.07072691552062868,0.16006818666120728,-0.13137475013635422,0.542919545058663,1.0,0.01132112911552743,-0.0025033203101527996,0.013824449425680231
CAP,original,B,threshold,3,91,0.1787819253438114,0.09321876782099033,-0.043195044588490855,0.2525506393459813,1.0,0.01666583078921438,-0.000679620460676704,0.017345451249891085
CAP,original,B,threshold,4,27,0.05304518664047151,0.1970860944070815,-0.054248728868049594,0.7307729582675626,1.0,0.010454468662065227,0.00404892632151886,0.0064055423405463665
CAP,original,B,threshold,5,105,0.206286836935167,0.11839307740042433,-0.017903918310386176,0.3063220809168438,1.0,0.02442293345195394,-0.002162734006289377,0.02658566745824332
CAP,original,B,historical,0,64,0.12573673870333987,0.6219418760806243,0.44777848590840497,0.8350723491453514,1.0,0.07820094316141446,-0.004702652170436828,0.08290359533185129
CAP,original,B,historical,1,186,0.3654223968565815,0.5017466543667897,0.376007384242504,0.642641681629663,1.0,0.18334946505348304,-0.0854514091916114,0.26880087424509447
CAP,original,B,historical,2,36,0.07072691552062868,0.22112317328017436,0.03377309620046062,0.3872370145532574,1.0,0.01563935999624023,-0.0025033203101527996,0.01814268030639303
CAP,original,B,historical,3,91,0.1787819253438114,0.21835718043290214,0.13102936964325715,0.30833545485961894,1.0,0.039038317130440266,-0.008601569555311632,0.04763988668575189
