definition,variant,information,reference,state,n,share,difference_bp,difference_lo,difference_hi,bootstrap_valid_fraction,contribution_bp,too_high_contribution_bp,too_low_contribution_bp
EQ,original,F,linear,0,11,0.021611001964636542,0.7910802350460874,0.3887848918294528,0.9203396194428993,0.992496248124062,0.017096036513766132,-0.0016074084855197085,0.018703444999285834
EQ,original,F,linear,1,248,0.48722986247544203,0.3127103359548009,0.09467301322653057,0.567450953571259,1.0,0.15236181398190693,0.028548314824460852,0.12381349915744608
EQ,original,F,linear,2,10,0.019646365422396856,0.11193544288504045,-0.43042943654987953,0.5680302852560122,0.9979989994997499,0.002199124614637337,-0.005619720325989324,0.007818844940626662
EQ,original,F,linear,3,98,0.1925343811394892,0.3118977089565488,0.10255100278336883,0.5112736998823914,1.0,0.060051032372773636,-0.014801837202883934,0.07485286957565758
EQ,original,F,linear,4,9,0.01768172888015717,-0.17558569012081524,-0.2705383033528609,-0.05196538696439751,0.9979989994997499,-0.0031046585679515466,0.0,-0.0031046585679515466
EQ,original,F,linear,5,133,0.26129666011787817,0.37204221254339914,0.12518498268072462,0.6896241074342979,1.0,0.09721338756045596,0.0829917354505349,0.014221652109921058
EQ,original,F,threshold,0,11,0.021611001964636542,0.4991671815818133,0.16247940024381574,0.6254250995835623,0.992496248124062,0.010787502941846652,-0.0016074084855197085,0.012394911427366359
EQ,original,F,threshold,1,248,0.48722986247544203,0.2060143038465446,0.08127256109559562,0.33080678214698545,1.0,0.10037632093112585,0.002821221839235766,0.09755509909189007
EQ,original,F,threshold,2,10,0.019646365422396856,-0.018680823867283508,-0.24522358138940895,0.2545189679903302,0.9979989994997499,-0.00036701029208808465,-0.001157418584202276,0.0007904082921141914
EQ,original,F,threshold,3,98,0.1925343811394892,0.20662527263779149,0.07051096032480461,0.3470411700841419,1.0,0.03978246899509542,0.01050029474123087,0.029282174253864545
EQ,original,F,threshold,4,9,0.01768172888015717,0.017649814972014517,-0.2674671421397656,0.45920536192047096,0.9979989994997499,0.0003120792431200995,0.0,0.0003120792431200995
EQ,original,F,threshold,5,133,0.26129666011787817,0.24037042693865887,-0.04284439987331271,0.6068955694817741,1.0,0.06280798975018002,0.06474490639555865,-0.0019369166453786296
EQ,original,F,historical,0,11,0.021611001964636542,1.0955681381393882,0.491624616316062,1.2569985987741874,0.992496248124062,0.02367632518572352,-0.0016074084855197085,0.02528373367124323
EQ,original,F,historical,1,248,0.48722986247544203,0.74843886213865,0.49641372673716366,1.0025491649077207,1.0,0.3646617638710908,-0.1632460125236652,0.527907776394756
EQ,original,F,historical,2,10,0.019646365422396856,-0.024377124846191457,-1.1180932624470934,0.7748579187378184,0.9979989994997499,-0.0004789219026756671,-0.012313205615043267,0.0118342837123676
EQ,original,F,historical,3,98,0.1925343811394892,0.3981895400467721,0.17771027828060876,0.6152880314159463,1.0,0.07666517666912312,-0.030861159872782262,0.10752633654190538
EQ,original,F,historical,4,9,0.01768172888015717,-0.17745647282717758,-0.4898396790702816,-0.020724466782302886,0.9979989994997499,-0.003137737240559132,0.0021879003152222736,-0.0053256375557814055
EQ,original,F,historical,5,133,0.26129666011787817,0.6363918987668776,0.34609025231899043,1.0135893391870654,1.0,0.16628707767385997,0.21561556032416077,-0.049328482650300806
EQ,original,F,state_hist,0,11,0.021611001964636542,0.3256843706296452,-0.27614986738905856,1.0192937246837626,0.992496248124062,0.007038365573528679,0.006686261811273656,0.00035210376225502346
EQ,original,F,state_hist,1,248,0.48722986247544203,0.041593428502824076,-0.05860335881246694,0.1441726326268487,1.0,0.020265560449313106,-0.03183056026556928,0.05209612071488238
EQ,original,F,state_hist,2,10,0.019646365422396856,-0.17294609588132115,-0.5080822475015545,0.055075259406829405,0.9979989994997499,-0.0033977621980613194,-0.003967240087518715,0.0005694778894573952
EQ,original,F,state_hist,3,98,0.1925343811394892,-0.03682334751981916,-0.09992286050434777,0.027451471001429667,1.0,-0.007089760426212727,0.002897483762394767,-0.009987244188607493
EQ,original,F,state_hist,4,9,0.01768172888015717,-0.0655627282826182,-0.26292815392191204,0.14343386523554297,0.9979989994997499,-0.0011592623861366674,0.0017416958976123188,-0.0029009582837489865
EQ,original,F,state_hist,5,133,0.26129666011787817,0.04400480440736395,-0.08415837480356267,0.16721062722806357,1.0,0.011498308420784687,-0.020784553839367254,0.032282862260151944
EQ,original,R,linear,0,11,0.021611001964636542,0.24713537792258344,0.12404191807217657,0.4516623750084645,0.992496248124062,0.005340843137816145,0.0,0.005340843137816145
EQ,original,R,linear,1,248,0.48722986247544203,0.17145581808319688,0.004448389897801572,0.37987127639430107,1.0,0.08353839466529042,0.06090630457321541,0.022632090092075043
EQ,original,R,linear,2,10,0.019646365422396856,0.12057186773082132,-0.358718822180099,0.46945143510046566,0.9979989994997499,0.0023687989731006154,-0.005100083332695813,0.007468882305796428
EQ,original,R,linear,3,98,0.1925343811394892,0.1301457001056181,-0.010305271722545578,0.2561929118672441,1.0,0.025057521827800737,-0.0213542712531064,0.04641179308090714
EQ,original,R,linear,4,9,0.01768172888015717,-0.22999282016784223,-0.368134354952407,0.030315300071319023,0.9979989994997499,-0.004066670690590531,0.0,-0.004066670690590531
EQ,original,R,linear,5,133,0.26129666011787817,0.16792574534669816,-0.130038665123372,0.4935937924067691,1.0,0.04387843640689755,0.040450576107453735,0.003427860299443827
EQ,original,R,threshold,0,11,0.021611001964636542,-0.3317108551545914,-0.46137385526617825,0.01405714514297344,0.992496248124062,-0.007168603942437143,0.0015247984334231057,-0.008693402375860247
EQ,original,R,threshold,1,248,0.48722986247544203,0.12818037083828632,0.0014995904336595114,0.24878862028516574,1.0,0.0624533044555894,0.09574649412930647,-0.03329318967371709
EQ,original,R,threshold,2,10,0.019646365422396856,0.2351973321600199,-0.00040324972846573706,0.48670590253322105,0.9979989994997499,0.004620772733988603,0.0033071067310620505,0.0013136660029265533
EQ,original,R,threshold,3,98,0.1925343811394892,0.029591948460353942,-0.07458980116429183,0.13483207561956986,1.0,0.005697467483525906,-0.0001434180769706687,0.005840885560496574
EQ,original,R,threshold,4,9,0.01768172888015717,0.006411713216097187,-0.07670327550660914,0.20207663449760446,0.9979989994997499,0.00011337017474435105,0.0,0.00011337017474435105
EQ,original,R,threshold,5,133,0.26129666011787817,0.09292334780998883,-0.1613947645372717,0.3800669369720124,1.0,0.024280560429722032,0.011867932144818072,0.012412628284903958
EQ,original,R,historical,0,11,0.021611001964636542,0.6326502445496908,0.16662325657190857,0.6905127950557812,0.992496248124062,0.013672205677891158,0.0,0.013672205677891158
EQ,original,R,historical,1,248,0.48722986247544203,0.754153131562877,0.5575292016275838,0.9573208800249847,1.0,0.3674459265768045,-0.12563805681178822,0.4930839833885928
EQ,original,R,historical,2,10,0.019646365422396856,0.027323024787044913,-1.0884627548669494,0.8876351991358441,0.9979989994997499,0.0005367981294114914,-0.01196099643493205,0.01249779456434354
