method,scope,algorithm,period,n,mse,baseline_mse,skill
sequential_ols,mean_market,ridge,all,907,94.13173811560439,94.96183104849509,0.008741332425095893
sequential_ols,mean_market,ridge,2026-01,346,76.35545200253343,75.92352274466931,-0.0056890044382778004
sequential_ols,mean_market,ridge,2026-02,324,102.364884909936,99.3977303955044,-0.02985133063526968
sequential_ols,mean_market,ridge,2026-03,237,108.82817454496774,116.69188710205077,0.06738868272998244
sequential_ols,mean_market,lightgbm,all,907,95.71943822735312,94.96183104849509,-0.007978017804554982
sequential_ols,mean_market,lightgbm,2026-01,346,76.08763034869696,75.92352274466931,-0.0021614856383778136
sequential_ols,mean_market,lightgbm,2026-02,324,99.81079799001294,99.3977303955044,-0.004155704490081957
sequential_ols,mean_market,lightgbm,2026-03,237,118.78696971643856,116.69188710205077,-0.017953969778169654
sequential_ols,all_references,ridge,all,907,49.57892348219695,94.96183104849509,0.477906829146144
sequential_ols,all_references,ridge,2026-01,346,46.941104851841736,75.92352274466931,0.3817317327371045
sequential_ols,all_references,ridge,2026-02,324,49.2066236053129,99.3977303955044,0.5049522417713228
sequential_ols,all_references,ridge,2026-03,237,53.938883002084474,116.69188710205077,0.5377666404956396
sequential_ols,all_references,lightgbm,all,907,85.80687873071481,94.96183104849509,0.09640665324897768
sequential_ols,all_references,lightgbm,2026-01,346,68.81394827873274,75.92352274466931,0.09364126174500709
sequential_ols,all_references,lightgbm,2026-02,324,80.37357276004094,99.3977303955044,0.19139428596373553
sequential_ols,all_references,lightgbm,2026-03,237,118.04293388212469,116.69188710205077,-0.011577898118078966
pca_1,mean_market,ridge,all,907,92.72046454588913,93.79695477790032,0.011476814301276561
pca_1,mean_market,ridge,2026-01,346,75.57267231081534,75.53011598098644,-0.00056343525064384
pca_1,mean_market,ridge,2026-02,324,100.71161717465893,97.54059333307983,-0.032509786266634144
pca_1,mean_market,ridge,2026-03,237,106.83018041767866,115.34711229627187,0.07383740874862355
pca_1,mean_market,lightgbm,all,907,94.14592080265253,93.79695477790032,-0.003720440877622355
pca_1,mean_market,lightgbm,2026-01,346,75.23658994051583,75.53011598098644,0.0038862119653636507
pca_1,mean_market,lightgbm,2026-02,324,97.86258477263242,97.54059333307983,-0.003301101916133087
pca_1,mean_market,lightgbm,2026-03,237,116.67093916563063,115.34711229627187,-0.011476896499658107
pca_1,all_references,ridge,all,907,49.762361452026354,93.79695477790032,0.46946719571165696
pca_1,all_references,ridge,2026-01,346,47.10669364363361,75.53011598098644,0.3763190611875664
pca_1,all_references,ridge,2026-02,324,49.53951817088797,97.54059333307983,0.4921138320153402
pca_1,all_references,ridge,2026-03,237,53.944058856215044,115.34711229627187,0.532332818894864
pca_1,all_references,lightgbm,all,907,84.74389464271239,93.79695477790032,0.09651763382536749
pca_1,all_references,lightgbm,2026-01,346,68.16139160194041,75.53011598098644,0.09756008293302498
pca_1,all_references,lightgbm,2026-02,324,79.18887817345899,97.54059333307983,0.18814438719840199
pca_1,all_references,lightgbm,2026-03,237,116.54714944501285,115.34711229627187,-0.010403703437834144
pca_2,mean_market,ridge,all,907,51.64846515848084,51.60538010990975,-0.0008348945105980388
pca_2,mean_market,ridge,2026-01,346,50.01351762960499,47.199192384518376,-0.0596265550935513
pca_2,mean_market,ridge,2026-02,324,51.71685036039439,49.83974858131326,-0.03766274575038531
pca_2,mean_market,ridge,2026-03,237,53.94186194991989,60.451817106748074,0.10768832879469381
