datetime_utc,BTC_BINANCE_CLOSE,ETH_BINANCE_CLOSE,XRP_BINANCE_CLOSE,SOL_BINANCE_CLOSE,DOGE_BINANCE_CLOSE,USDT_BINANCE_CLOSE,BTC_UPBIT_CLOSE,ETH_UPBIT_CLOSE,XRP_UPBIT_CLOSE,SOL_UPBIT_CLOSE,DOGE_UPBIT_CLOSE,USDT_UPBIT_CLOSE,USDKRW,BTC_KP,ETH_KP,XRP_KP,SOL_KP,DOGE_KP,USDT_KP,MKT_KP_EQ,RESIDUAL_RAW,BTC_KP_pct,ETH_KP_pct,XRP_KP_pct,SOL_KP_pct,DOGE_KP_pct,USDT_KP_pct,MKT_KP_EQ_pct,RESIDUAL_RAW_pct,VIX,SPY,DXY,XAUUSD,VIX_ret,SPY_ret,DXY_ret,XAUUSD_ret,USDKRW_ret,BTC_RET,BTC_VOL_24,BTC_RET_POS,BTC_RET_NEG,BTC_RET_ABS,BTC_DOWNSIDE_24,BTC_BIG_UP,BTC_BIG_DOWN,BTC_VOL_RATIO,BTC_VOL_RATIO_LOG,ETH_VOL_RATIO,ETH_VOL_RATIO_LOG,XRP_VOL_RATIO,XRP_VOL_RATIO_LOG,SOL_VOL_RATIO,SOL_VOL_RATIO_LOG,DOGE_VOL_RATIO,DOGE_VOL_RATIO_LOG,USDT_VOL_RATIO,USDT_VOL_RATIO_LOG,RESIDUAL_OLS,DEPEG_GLOBAL,RESIDUAL_FINAL,RESIDUAL_FINAL_lag1,BTC_DOWNSIDE_24_lag1,DXY_ret_lag1,USDKRW_ret_lag1,HIGH_STRESS,HIGH_STRESS_lag1,FUNDING,FUNDING_lag1,OI,OI_VALUE,TOPTRADER_ACCOUNT_LS,TOPTRADER_POSITION_LS,ACCOUNT_LS,TAKER_LONG_SHORT_VOL_RATIO,OI_RET,OI_VALUE_RET,OI_lag1,OI_VALUE_lag1,OI_RET_lag1,OI_VALUE_RET_lag1,TOPTRADER_ACCOUNT_LS_lag1,TOPTRADER_POSITION_LS_lag1,ACCOUNT_LS_lag1,TAKER_LONG_SHORT_VOL_RATIO_lag1,COIN_VOL_RATIO_LOG_MEAN,VOL_RATIO_DISPERSION,USDT_RELATIVE_VOLUME_PRESSURE
2025-06-03 09:00:00+00:00,105198.11,2614.49,2.199,159.89,0.19481,0.9994,147280000.0,3657000.0,3076.0,223900.0,272.6,1398.5,1378.93,0.0152982040735494,0.0143685018974917,0.014422519187929,0.0155248868259312,0.0147811348656512,0.0148010441155514,0.0148790493701105,-7.800525455903262e-05,1.5298204073549426,1.4368501897491726,1.4422519187929028,1.5524886825931228,1.4781134865651246,1.4801044115551498,1.487904937011053,-0.0078005254559032,18.32,593.835,99.156,3345.94,-0.0322262043777481,0.0067501893160795,0.0027772605801965,-0.0077079531399348,9.428044086678966e-05,0.0009812974150715,0.0032136951744097,0.0009812974150715,0.0,0.0009812974150715,4.800511220439667e-06,0,0,12.730428937973397,2.54399510705062,16.23085241696694,2.7869139012173685,1.9076212845844351,0.6458570651614183,15.210237319735322,2.72196870902491,2.8194231322662437,1.0365323009979976,10.874272045118028,2.386399636354323,-5.5058086817093635e-05,0.0006000000000000449,5.65876341089496e-05,,,,,0,,,,81094.012,8529281665.9324,1.24873534,1.542184,1.09751417,1.284923,,,,,,,,,,,1.9470534166904627,1.0227853358364036,0.4393462196638602
2025-06-03 10:00:00+00:00,105280.99,2611.46,2.2018,161.23,0.19532,0.9993,147320000.0,3654000.0,3080.0,225650.0,273.3,1398.0,1377.81,0.0155993577369679,0.0155371902308221,0.015274589296393,0.0157811548645576,0.0155553153895433,0.0153644446620724,0.0155495215036568,-0.0001850768415843,1.5599357736967967,1.5537190230822118,1.5274589296393026,1.5781154864557667,1.5555315389543356,1.536444466207243,1.554952150365683,-0.0185076841584396,17.98,594.96,99.21,3346.48,-0.0187333302025098,0.0018926733975703,0.0005444481547636,0.0001613766025361,-0.0008125540033683,0.0007875366654808,0.0031775426731163,0.0007875366654808,0.0,0.0007875366654808,4.62486711668076e-06,0,0,12.71169440384518,2.5425223889710304,16.16926408227134,2.783112161252871,2.5380700208277003,0.9314039578902324,17.189089185626024,2.84427483286162,3.255578925274983,1.1803701170731484,14.172263647604431,2.651286790245682,-0.00015489427854434995,0.0007000000000000339,6.39490659940943e-06,5.65876341089496e-05,4.800511220439667e-06,0.0027772605801965,9.428044086678966e-05,0,0.0,,,81220.522,8542352157.2456,1.25256041,1.540275,1.11061919,0.205001,0.0015588256023661984,0.0015312528375979184,81094.012,8529281665.9324,,,1.24873534,1.542184,1.09751417,1.284923,2.0563366916097805,0.9244209978592222,0.5949500986359015
2025-06-03 11:00:00+00:00,105287.24,2601.78,2.2149,160.56,0.19503,0.9993,147193000.0,3640000.0,3095.0,224400.0,272.8,1397.5,1378.62,0.0140674460216074,0.0148135049470712,0.0135891560838936,0.013773462377262,0.0146082062182668,0.0144049377309762,0.0141703551296202,0.000234582601356,1.4067446021607477,1.4813504947071232,1.358915608389366,1.377346237726207,1.460820621826686,1.4404937730976286,1.417035512962026,0.0234582601356026,17.98,596.055,99.234,3350.43,0.0,0.0018387682917886,0.0002418818418998,0.0011796486612656,0.0005877167374581,5.936318125243645e-05,0.0030921108685356,5.936318125243645e-05,0.0,5.936318125243645e-05,4.2240497465652416e-06,0,0,7.874220886474532,2.0635942447664486,9.148548951159109,2.213595282138792,2.318932989953764,0.8411071617600617,10.590445538306993,2.359952230334278,1.714364136764889,0.5390422461325355,17.80396322446967,2.879421085574619,0.00024988190020258476,0.0007000000000000339,0.00041117108534634414,6.39490659940943e-06,4.62486711668076e-06,0.0005444481547636,-0.0008125540033683,0,0.0,,,81184.893,8539765828.266301,1.22899779,1.538951,1.09016848,0.922879,-0.0004387661651747976,-0.0003028112791696458,81220.522,8542352157.2456,0.0015588256023661984,0.0015312528375979184,1.25256041,1.540275,1.11061919,0.205001,1.6034582330264233,0.8471180680664651,1.2759628525481959
2025-06-03 12:00:00+00:00,105307.94,2609.76,2.2249,161.15,0.19549,0.9993,147281000.0,3647000.0,3108.0,225100.0,273.3,1396.5,1377.36,0.0154022945697367,0.014583339498172,0.0141986955901098,0.014139547151506,0.0150036841848326,0.0146063736164365,0.0146655121988714,-5.913858243489223e-05,1.540229456973674,1.4583339498172032,1.4198695590109889,1.4139547151506004,1.5003684184832666,1.4606373616436574,1.4665512198871469,-0.0059138582434892,17.84,596.745,99.211,3348.69,-0.0078169018916112,0.001156941778948,-0.0002318022636291,-0.0005194712258109,-0.00091437534945,0.0001965856964698,0.0030855973874584,0.0001965856964698,0.0,0.0001965856964698,4.2240497465652416e-06,0,0,15.756526832710946,2.757254681507701,8.31928807616165,2.1185766834029542,1.128933535377354,0.1212734130868159,16.481299443761724,2.802226371115671,3.01852328848136,1.104767734474328,43.445696917921246,3.771511811546355,-3.8495799569517736e-05,0.0007000000000000339,0.00012279338557424164,0.00041117108534634414,4.2240497465652416e-06,0.0002418818418998,0.0005877167374581,0,0.0,,,81538.761,8582541674.3292,1.23083305,1.525425,1.09924831,0.472227,0.004349319218590608,0.004996515224195974,81184.893,8539765828.266301,-0.0004387661651747976,-0.0003028112791696458,1.22899779,1.538951,1.09016848,0.922879,1.7808197767174938,1.1534639980562285,1.990692034828861
2025-06-04 09:00:00+00:00,105825.31,2643.43,2.2592,157.54,0.19632,0.9993,146946000.0,3674000.0,3137.0,218750.0,272.6,1389.0,1366.64,0.0160476868467958,0.016991234283384,0.0160280816921349,0.0160219551331988,0.0160315132393782,0.0170732461268225,0.0162240942389783,0.0008491518878442,1.6047686846795806,1.6991234283384005,1.6028081692134988,1.6021955133198815,1.6031513239378237,1.7073246126822594,1.622409423897837,0.0849151887844224,17.82,597.58,98.876,3354.74,-0.0011217051091998,0.0013982795906448,-0.0033823554233824,0.0018050465635273,-0.0078134508294152,0.0036862459097655,0.0033327987308206,0.0036862459097655,0.0,0.0036862459097655,4.387021248042062e-06,0,0,22.999814934626905,3.1354861695762084,6.93313589444405,1.9363122208708143,1.2525417806087231,0.2251749111919603,11.694243222724896,2.459096688470389,2.597862215171458,0.9546888818810568,8.807122773619183,2.175560800184788,0.0008866140977974168,0.0007000000000000339,0.0010479032829411763,0.00012279338557424164,4.2240497465652416e-06,-0.0002318022636291,-0.00091437534945,0,0.0,2.611e-05,,82608.445,8739413772.868626,1.11357133,1.434712,1.03963205,1.384201,0.013033412730910854,0.01811301130438281,81538.761,8582541674.3292,0.004349319218590608,0.004996515224195974,1.23083305,1.525425,1.09924831,0.472227,1.7421517743980857,1.1634437713281418,0.4334090257867025
2025-06-04 10:00:00+00:00,105705.13,2638.45,2.2555,156.64,0.19546,0.9993,146911000.0,3669000.0,3133.0,217650.0,271.8,1390.0,1366.46,0.0170945495985475,0.0176581617264774,0.0165310300736698,0.0168551061840982,0.0176410906093864,0.0179395529888206,0.0171559876384359,0.0007835653503847,1.7094549598547504,1.7658161726477497,1.653103007366985,1.6855106184098243,1.7641090609386456,1.7939552988820662,1.715598763843591,0.0783565350384752,17.61,596.97,98.791,3377.65,-0.0118544995345488,-0.0010213051827427,-0.0008600323295162,0.0068059302666192,-0.0001317185615308,-0.0011362904831173,0.0033423716892726,0.0,-0.0011362904831173,0.0011362904831173,4.440819417293024e-06,0,0,13.958840096396242,2.6361130062315574,18.069533070272065,2.894227264218925,1.8067387803936823,0.5915234413339056,18.27311886140692,2.9054310652573307,5.818038488180855,1.760963175413943,10.05458785666182,2.3080290334896514,0.0008310840813823515,0.0007000000000000339,0.000992373266526111,0.0010479032829411763,4.387021248042062e-06,-0.0033823554233824,-0.0078134508294152,0,0.0,2.611e-05,2.611e-05,83113.545,8779184022.096,1.08733312,1.43694,1.00244622,0.757323,0.006095769958573527,0.0045403539728638975,82608.445,8739413772.868626,0.013033412730910854,0.01811301130438281,1.11357133,1.434712,1.03963205,1.384201,2.1576515904911324,0.992567664015984,0.15037744299851896
2025-06-04 11:00:00+00:00,105084.36,2624.4,2.253,155.92,0.19381,0.9993,146320000.0,3651000.0,3134.0,217000.0,269.8,1391.0,1364.31,0.0205929088508094,0.0196913646774026,0.0195880530475853,0.0201049274099163,0.0203582996035422,0.0202771965810169,0.0200671107178512,0.0002100858631656,2.0592908850809444,1.9691364677402623,1.9588053047585368,2.010492740991632,2.0358299603542296,2.02771965810169,2.006711071785121,0.0210085863165686,17.86,595.91,98.737,3371.97,0.0140966529402386,-0.0017772119224046,-0.0005467579416107,-0.0016830581101761,-0.0015746477691251,-0.0058899691311129,0.0035640112726108,0.0,-0.0058899691311129,0.0058899691311129,5.886308432520667e-06,0,0,51.59457444870789,3.9434165206163834,17.28872903078808,2.850054788074147,1.6923328434582825,0.5261079578298705,12.47748241659819,2.523925613151914,2.697031144149111,0.9921515917917384,17.270736883512257,2.84901355966246,0.00028901995833280694,0.0007000000000000339,0.0004503091434765663,0.000992373266526111,4.440819417293024e-06,-0.0008600323295162,-0.0001317185615308,0,0.0,2.611e-05,2.611e-05,82333.913,8660696075.078701,1.11545155,1.398517,1.02223585,0.866544,-0.0094245965479125,-0.013588369819455437,83113.545,8779184022.096,0.006095769958573527,0.0045403539728638975,1.08733312,1.43694,1.00244622,0.757323,2.167131294292811,1.3984286522459317,0.6818822653696492
2025-06-04 12:00:00+00:00,105039.19,2616.73,2.2382,155.67,0.19261,0.9993,146110000.0,3642000.0,3114.0,216650.0,267.8,1390.5,1363.77,0.0199701075723148,0.0205631789477134,0.0201841788622756,0.0204991217256718,0.0195079313599817,0.0203142992016804,0.0201449036935915,0.0001693955080889,1.997010757231488,2.0563178947713423,2.018417886227564,2.049912172567181,1.9507931359981745,2.031429920168049,2.01449036935915,0.0169395508088986,17.53,597.318,98.747,3375.08,-0.0186498765152101,0.0023599859431593,0.00010127402735,0.0009218844443896,-0.0003958828238559,-0.0004299375362322,0.003564189028642,0.0,-0.0004299375362322,0.0004299375362322,5.8940103610648925e-06,0,0,11.070675523925829,2.4042997677969176,25.14307059553014,3.2245823355417507,1.8496675834251517,0.615005938309962,11.076522350939529,2.4048277648087804,2.515333822830101,0.9224055274791192,9.596770710975225,2.261426657610496,0.00024916910560477193,0.0007000000000000339,0.0004104582907485313,0.0004503091434765663,5.886308432520667e-06,-0.0005467579416107,-0.0015746477691251,0,0.0,2.611e-05,2.611e-05,81977.41,8607628050.0,1.15955428,1.390826,1.06487961,0.933267,-0.004339366915274923,-0.006146304847771233,82333.913,8660696075.078701,-0.0094245965479125,-0.013588369819455437,1.11545155,1.398517,1.02223585,0.866544,1.914224266787306,1.1033558734611593,0.34720239082319004
2025-06-05 09:00:00+00:00,104900.0,2609.69,2.2062,153.01,0.18964,0.9994,145020000.0,3611000.0,3050.0,211450.0,262.2,1383.5,1354.16,0.0208981842795703,0.0218063230691876,0.0209041703591263,0.0205114766262166,0.021016497670238,0.0222799361663432,0.0210273304008678,0.0012526057654754,2.089818427957036,2.1806323069187616,2.0904170359126395,2.0511476626216663,2.101649767023805,2.227993616634328,2.1027330400867816,0.1252605765475457,18.08,596.15,98.523,3377.63,0.030892656030887,-0.0019573216422976,-0.0022710001142822,0.0007552523716274,-0.0070715876034483,0.0021437642863357,0.0024950193278529,0.0021437642863357,0.0,0.0021437642863357,4.236207221221497e-06,0,0,8.226969499885797,2.107417720860825,12.701712498278528,2.5417368267582643,0.9953962967937942,-0.00461433288428,16.16714105567584,2.782980852494864,1.8702040595236136,0.6260475476529426,12.707636437834386,2.54220310707722,0.0013419020645760865,0.0006000000000000449,0.0014535477855021298,0.0004104582907485313,5.8940103610648925e-06,0.00010127402735,-0.0003958828238559,0,0.0,2.871e-05,2.611e-05,81413.163,8534183659.3728,1.20811554,1.404955,1.14064192,0.804643,-0.00690675395370377,-0.008569087245358986,81977.41,8607628050.0,-0.004339366915274923,-0.006146304847771233,1.15955428,1.390826,1.06487961,0.933267,1.6107137229765232,1.231521549660847,0.931489384100697
2025-06-05 10:00:00+00:00,104659.24,2596.69,2.1999,151.93,0.18854,0.9994,144748000.0,3592000.0,3043.0,210000.0,260.6,1384.5,1355.4,0.0203931012191695,0.0205839665191678,0.0205435243770015,0.0197841921037993,0.0197728077666898,0.0220829266041253,0.0202155183971656,0.0018674082069597,2.03931012191696,2.058396651916783,2.0543524377001576,1.9784192103799336,1.977280776668988,2.2082926604125364,2.0215518397165644,0.1867408206959721,17.23,598.68,98.69,3367.92,-0.0481543044241918,0.0042349184088052,0.0016936007252761,-0.0028789369900437,0.0009152778211714,-0.0022977760935738,0.0025217330870504,0.0,-0.0022977760935738,0.0022977760935738,4.402399675978846e-06,0,0,6.927899095209553,1.935556606374845,12.869047291722284,2.5548249933608083,1.7329560477919903,0.5498286484914752,11.454356202622025,2.4383701120233026,2.6978636432688297,0.9924602165783676,12.364104180465874,2.514797450347754,0.0019479438425509046,0.0006000000000000449,0.002059589563476948,0.0014535477855021298,4.236207221221497e-06,-0.0022710001142822,-0.0070715876034483,0,0.0,2.871e-05,2.871e-05,81248.625,8499283897.452783,1.19559916,1.401937,1.11272148,1.459505,-0.00202306956220788,-0.004097792846902593,81413.163,8534183659.3728,-0.00690675395370377,-0.008569087245358986,1.20811554,1.404955,1.14064192,0.804643,1.6942081153657598,0.8880796782563544,0.8205893349819942
